election_cycle,race_type,name_incumbent,name_challenger,name_third,votes_ec_prob_incumbent,votes_ec_prob_challenger,votes_ec_prob_third,votes_ec_total,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,0.001825,0.0,,99,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.00355,0.002825,,264,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.00335,0.001375,,251,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.001425,0.00495,,252,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.00225,0.0028,,253,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.0021,0.003375,,254,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.003,0.002425,,255,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.0029,0.002475,,256,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.0024,0.001475,,257,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.003225,0.005525,,258,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.0108,0.003525,,259,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.0003,0.0,,26,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.010975,0.00105,,260,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.0026,0.001925,,261,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.00195,0.004,,262,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.0022,0.003175,,263,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.004875,0.0018,,265,1,2020-08-21,09:33:03 21 Aug 2020,40000
2020,President,Trump,Biden,,0.0007,0.0,,25,1,2020-08-21,09:33:03 21 Aug 2020,40000
