cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,scenario_id,probability,scenario_description,timestamp,simulations
2020,President,polls-plus,8/21/2020,Trump,Biden,"",9,.78585,Biden majority (at least 50 percent of the vote),09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",8,.12235,Trump majority (at least 50 percent of the vote),09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",6,.1078875,Biden wins popular vote but loses Electoral College,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",5,.0011375,Trump wins popular vote but loses Electoral College,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",4,.836925,Biden wins popular vote,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",3,.163075,Trump wins popular vote,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",2,.0487,Recount (1+ decisive states within 0.5 ppt),09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",1,.0034,Electoral College deadlock (No candidate gets 270 electoral votes),09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",14,.8724,Biden wins at least one state Trump won in 2016,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",13,.416875,Trump wins at least one state Clinton won in 2016,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",12,.000625,Map exactly the same as in 2016,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",11,.306575,Biden landslide (double-digit popular vote margin),09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",10,.0106,Trump landslide (double-digit popular vote margin),09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,"",9,.780675,Biden majority (at least 50 percent of the vote),19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,"",8,.12705,Trump majority (at least 50 percent of the vote),19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,"",6,.1086625,Biden wins popular vote but loses Electoral College,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,"",5,.00095,Trump wins popular vote but loses Electoral College,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,"",4,.8323,Biden wins popular vote,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,"",3,.1677,Trump wins popular vote,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,"",2,.04735,Recount (1+ decisive states within 0.5 ppt),19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,"",1,.003525,Electoral College deadlock (No candidate gets 270 electoral votes),19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,"",14,.869975,Biden wins at least one state Trump won in 2016,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,"",13,.4183,Trump wins at least one state Clinton won in 2016,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,"",12,.000325,Map exactly the same as in 2016,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,"",11,.302375,Biden landslide (double-digit popular vote margin),19:00:04 20 Aug 2020,40000
