date_start,date_end,pollster,poll_sponsor,poll_type,poll_subject,question_text,population,party,sample_size,pct_approve,pct_disapprove,poll_url
2021-10-09,2021-10-12,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,I,460.0,36.0,54.0,
2021-10-09,2021-10-12,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,D,498.0,82.0,11.0,
2021-10-09,2021-10-12,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,R,393.0,15.0,82.0,
2021-10-09,2021-10-12,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,all,1500.0,45.0,46.0,
2021-10-07,2021-10-11,Global Strategy Group/GBAO/Navigator Research,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling The coronavirus pandemic?,rv,all,1001.0,52.0,45.0,
2021-10-05,2021-10-05,Redfield & Wilton Strategies,,0,Biden,"To what extent, if at all, do you approve or disapprove of the Joe Biden administration’s performance in the following policy areas:  The Coronavirus Pandemic?",rv,I,328.0,37.0,31.0,
2021-10-03,2021-10-05,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,D,504.0,85.0,11.0,
2021-10-05,2021-10-05,Redfield & Wilton Strategies,,0,Biden,"To what extent, if at all, do you approve or disapprove of the Joe Biden administration’s performance in the following policy areas:  The Coronavirus Pandemic?",rv,all,1500.0,46.0,32.0,
2021-10-05,2021-10-05,Redfield & Wilton Strategies,,0,Biden,"To what extent, if at all, do you approve or disapprove of the Joe Biden administration’s performance in the following policy areas:  The Coronavirus Pandemic?",rv,R,500.0,18.0,61.0,
2021-10-05,2021-10-05,Redfield & Wilton Strategies,,0,Biden,"To what extent, if at all, do you approve or disapprove of the Joe Biden administration’s performance in the following policy areas:  The Coronavirus Pandemic?",rv,D,601.0,77.0,6.0,
2021-10-03,2021-10-05,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,I,444.0,40.0,51.0,
2021-10-03,2021-10-05,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,R,391.0,13.0,85.0,
2021-10-03,2021-10-05,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,all,1500.0,45.0,45.0,
2021-10-01,2021-10-04,Quinnipiac,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling - the response to the coronavirus?,a,all,1326.0,48.0,50.0,
2021-10-02,2021-10-04,Morning Consult,Politico,0,Biden,Do you approve or disapprove of how President Biden is handling each of the following? Coronavirus,rv,R,694.0,19.0,79.0,
2021-10-02,2021-10-04,Morning Consult,Politico,0,Biden,Do you approve or disapprove of how President Biden is handling each of the following? Coronavirus,rv,all,1998.0,49.0,46.0,
2021-10-02,2021-10-04,Morning Consult,Politico,0,Biden,Do you approve or disapprove of how President Biden is handling each of the following? Coronavirus,rv,D,745.0,82.0,13.0,
2021-10-02,2021-10-04,Morning Consult,Politico,0,Biden,Do you approve or disapprove of how President Biden is handling each of the following? Coronavirus,rv,I,559.0,44.0,47.0,
2021-10-01,2021-10-04,Quinnipiac,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling - the response to the coronavirus?,a,R,318.24,13.0,84.0,
2021-10-01,2021-10-04,Quinnipiac,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling - the response to the coronavirus?,a,I,490.62,42.0,56.0,
2021-10-01,2021-10-04,YouGov,Yahoo News,0,Biden,Do you approve or disapprove of the way President Biden is handling each of the following issues? Coronavirus,a,all,1640.0,47.0,44.0,
2021-10-01,2021-10-04,Quinnipiac,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling - the response to the coronavirus?,a,D,384.54,87.0,10.0,
2021-10-01,2021-10-04,YouGov,Yahoo News,0,Biden,Do you approve or disapprove of the way President Biden is handling each of the following issues? Coronavirus,a,R,407.0,19.0,75.0,
2021-10-01,2021-10-04,YouGov,Yahoo News,0,Biden,Do you approve or disapprove of the way President Biden is handling each of the following issues? Coronavirus,a,D,562.0,81.0,16.0,
2021-10-01,2021-10-04,YouGov,Yahoo News,0,Biden,Do you approve or disapprove of the way President Biden is handling each of the following issues? Coronavirus,a,I,493.0,42.0,50.0,
2021-09-29,2021-10-02,IBD/TIPP,,0,Biden,How would you grade his performance:  HANDLING THE CORONAVIRUS SITUATION,a,all,1308.0,45.0,32.0,
2021-09-26,2021-09-28,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,D,493.0,81.0,14.0,
2021-09-24,2021-09-28,Ipsos,ABC News,0,Biden,Do you approve or disapprove of the way Joe Biden is handling the response to the coronavirus (COVID-19)?,a,all,1101.0,57.0,42.0,
2021-09-26,2021-09-28,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,R,358.0,13.0,81.0,
2021-09-26,2021-09-28,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,all,1500.0,43.0,46.0,
2021-09-26,2021-09-28,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,I,475.0,35.0,54.0,
2021-09-27,2021-09-28,HarrisX,Hill.TV,0,Biden,Do you approve or disapprove of the job President Joe Biden is doing on handling the coronavirus outbreak?,rv,all,935.0,52.0,37.0,
2021-09-23,2021-09-27,Global Strategy Group/GBAO/Navigator Research,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling The coronavirus pandemic?,rv,all,1000.0,51.0,47.0,
2021-09-23,2021-09-27,AP-NORC,,0,Biden,"Overall, do you approve or disapprove of the way Joe Biden is handling the coronavirus pandemic?",a,all,1099.0,57.0,43.0,
2021-09-23,2021-09-27,AP-NORC,,0,Biden,"Overall, do you approve or disapprove of the way Joe Biden is handling the coronavirus pandemic?",a,R,395.64,23.0,77.0,
2021-09-23,2021-09-27,AP-NORC,,0,Biden,"Overall, do you approve or disapprove of the way Joe Biden is handling the coronavirus pandemic?",a,D,505.54,86.0,13.0,
2021-09-23,2021-09-27,AP-NORC,,0,Biden,"Overall, do you approve or disapprove of the way Joe Biden is handling the coronavirus pandemic?",a,I,208.81,50.0,48.0,
2021-09-23,2021-09-27,Global Strategy Group/GBAO/Navigator Research,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling The coronavirus pandemic?,rv,R,370.0,16.0,83.0,
2021-09-23,2021-09-27,Global Strategy Group/GBAO/Navigator Research,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling The coronavirus pandemic?,rv,D,420.0,84.0,14.0,
2021-09-23,2021-09-27,Global Strategy Group/GBAO/Navigator Research,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling The coronavirus pandemic?,rv,I,219.0,40.0,54.0,
2021-08-26,2021-09-27,PureSpectrum,"Northeastern,Harvard,Rutgers,Northwestern",0,Biden,Do you approve or disapprove of the way President Biden is handling the coronavirus (COVID-19) outbreak?,a,all,21079.0,49.0,31.0,
2021-09-17,2021-09-23,Echelon Insights,,0,Biden,Do you approve or disapprove of how Joe Biden is handling the spread of the coronavirus in the United States?,rv,I,192.0,51.0,46.0,
2021-09-17,2021-09-23,Echelon Insights,,0,Biden,Do you approve or disapprove of how Joe Biden is handling the spread of the coronavirus in the United States?,rv,D,421.0,83.0,12.0,
2021-09-17,2021-09-23,Echelon Insights,,0,Biden,Do you approve or disapprove of how Joe Biden is handling the spread of the coronavirus in the United States?,rv,R,366.0,22.0,74.0,
2021-09-17,2021-09-23,Echelon Insights,,0,Biden,Do you approve or disapprove of how Joe Biden is handling the spread of the coronavirus in the United States?,rv,all,1005.0,53.0,42.0,
2021-09-18,2021-09-21,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,R,363.0,13.0,81.0,
2021-09-18,2021-09-21,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,all,1500.0,46.0,42.0,
2021-09-18,2021-09-21,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,D,535.0,86.0,8.0,
2021-09-18,2021-09-21,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,I,450.0,40.0,48.0,
2021-09-14,2021-09-20,YouGov,Yahoo News,0,Biden,Do you approve or disapprove of the way President Biden is handling each of the following issues? Coronavirus,a,all,3201.0,47.0,44.0,
2021-09-17,2021-09-20,American Research Group,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling the coronavirus outbreak?,a,all,1100.0,59.0,37.0,
2021-09-17,2021-09-20,American Research Group,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling the coronavirus outbreak?,a,R,289.0,15.0,80.0,
2021-09-17,2021-09-20,American Research Group,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling the coronavirus outbreak?,a,D,354.0,92.0,4.0,
2021-09-17,2021-09-20,American Research Group,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling the coronavirus outbreak?,a,I,348.0,62.0,35.0,
2021-09-18,2021-09-20,Morning Consult,Politico,0,Biden,Do you approve or disapprove of how President Biden is handling each of the following? Coronavirus,rv,all,1998.0,49.0,45.0,
2021-09-18,2021-09-20,Morning Consult,Politico,0,Biden,Do you approve or disapprove of how President Biden is handling each of the following? Coronavirus,rv,D,775.0,80.0,14.0,
2021-09-18,2021-09-20,Morning Consult,Politico,0,Biden,Do you approve or disapprove of how President Biden is handling each of the following? Coronavirus,rv,I,572.0,44.0,47.0,
2021-09-18,2021-09-20,Morning Consult,Politico,0,Biden,Do you approve or disapprove of how President Biden is handling each of the following? Coronavirus,rv,R,650.0,17.0,80.0,
2021-09-14,2021-09-20,YouGov,Yahoo News,0,Biden,Do you approve or disapprove of the way President Biden is handling each of the following issues? Coronavirus,a,R,769.0,18.0,78.0,
2021-09-14,2021-09-20,YouGov,Yahoo News,0,Biden,Do you approve or disapprove of the way President Biden is handling each of the following issues? Coronavirus,a,D,1092.0,81.0,13.0,
2021-09-14,2021-09-20,YouGov,Yahoo News,0,Biden,Do you approve or disapprove of the way President Biden is handling each of the following issues? Coronavirus,a,I,956.0,41.0,50.0,
2021-09-19,2021-09-20,Redfield & Wilton Strategies,,0,Biden,"To what extent, if at all, do you approve or disapprove of the Joe Biden administration’s performance in the following policy areas:  The Coronavirus Pandemic?",a,all,1500.0,49.0,28.0,
2021-09-19,2021-09-20,Redfield & Wilton Strategies,,0,Biden,"To what extent, if at all, do you approve or disapprove of the Joe Biden administration’s performance in the following policy areas:  The Coronavirus Pandemic?",a,R,558.0,23.0,52.0,
2021-09-19,2021-09-20,Redfield & Wilton Strategies,,0,Biden,"To what extent, if at all, do you approve or disapprove of the Joe Biden administration’s performance in the following policy areas:  The Coronavirus Pandemic?",a,D,592.0,82.0,7.0,
2021-09-19,2021-09-20,Redfield & Wilton Strategies,,0,Biden,"To what extent, if at all, do you approve or disapprove of the Joe Biden administration’s performance in the following policy areas:  The Coronavirus Pandemic?",a,I,263.0,36.0,27.0,
2021-09-07,2021-09-16,Marquette,,0,Biden,"Overall, how much do you approve or disapprove of the way Joe Biden is handling the response to the coronavirus?",a,I,579.0,55.0,45.0,
2021-09-07,2021-09-16,Marquette,,0,Biden,"Overall, how much do you approve or disapprove of the way Joe Biden is handling the response to the coronavirus?",a,D,426.0,92.0,8.0,
2021-09-07,2021-09-16,Marquette,,0,Biden,"Overall, how much do you approve or disapprove of the way Joe Biden is handling the response to the coronavirus?",a,R,378.0,18.0,81.0,
2021-09-07,2021-09-16,Marquette,,0,Biden,"Overall, how much do you approve or disapprove of the way Joe Biden is handling the response to the coronavirus?",a,all,1411.0,56.0,43.0,
2021-09-15,2021-09-16,Ipsos,Reuters,0,Biden,Do you approve or disapprove of the way Joe Biden is handling the response to the coronavirus (COVID-19)?,a,all,1005.0,48.0,46.0,
2021-09-12,2021-09-15,Fox News,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling the following issues? The coronavirus pandemic,rv,R,390.78,20.0,79.0,
2021-09-12,2021-09-15,Fox News,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling the following issues? The coronavirus pandemic,rv,all,1002.0,55.0,44.0,
2021-09-12,2021-09-15,Fox News,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling the following issues? The coronavirus pandemic,rv,I,160.32,48.0,49.0,
2021-09-12,2021-09-15,Fox News,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling the following issues? The coronavirus pandemic,rv,D,440.88,89.0,11.0,
2021-09-12,2021-09-14,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,I,430.0,38.0,52.0,
2021-09-12,2021-09-14,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,D,552.0,85.0,8.0,
2021-09-12,2021-09-14,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,R,369.0,17.0,77.0,
2021-09-12,2021-09-14,YouGov,Economist,0,Biden,Do you approve or disapprove of the way Joe Biden is handling COVID-19?,a,all,1500.0,47.0,44.0,
2021-09-10,2021-09-13,Quinnipiac,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling - the response to the coronavirus?,a,I,435.6,44.0,53.0,
2021-09-10,2021-09-13,Quinnipiac,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling - the response to the coronavirus?,a,all,1210.0,48.0,49.0,
2021-09-10,2021-09-13,Quinnipiac,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling - the response to the coronavirus?,a,R,302.5,12.0,86.0,
2021-09-10,2021-09-13,Quinnipiac,,0,Biden,Do you approve or disapprove of the way Joe Biden is handling - the response to the coronavirus?,a,D,338.8,92.0,6.0,
