date_modeled,date_start,date_end,poll_subject,pollster,poll_grade,poll_type,poll_weight,poll_influence,poll_multi_version,population,party,sample_size,pct_concern_very,pct_concern_some,pct_concern_not_very,pct_concern_none,pct_concern_very_adjusted,pct_concern_some_adjusted,pct_concern_not_very_adjusted,pct_concern_none_adjusted,timestamp,poll_url
2020-08-26,2020-08-21,2020-08-24,0,Ipsos,B-,0,0.66228987,0.66228987,False,a,all,1084.0,52.0,34.0,9.0,4.0,52.32171,34.046551,8.9559142,3.4825218,05:35:16 26 Aug 2020,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-08/topline-axios-w22.pdf
2020-08-26,2020-08-17,2020-08-23,0,SurveyMonkey,D-,0,0.29247357,0.26030517,False,a,all,42315.0,64.0,27.0,6.0,3.0,60.304904,28.917974,7.2252672,3.2333185,05:35:16 26 Aug 2020,https://www.surveymonkey.com/curiosity/nbc-poll-covid-aug23/
2020-08-26,2020-08-21,2020-08-23,0,Morning Consult,B/C,0,0.56399596,0.54373982,False,a,all,2200.0,57.0,27.0,5.0,3.0,53.922201,30.623071,8.2399658,3.5969915,05:35:16 26 Aug 2020,https://assets.morningconsult.com/wp-uploads/2020/08/24113947/200878_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
2020-08-26,2020-08-21,2020-08-23,1,L̩ger,,0,0.52708955,0.52708955,False,a,all,1003.0,25.0,36.0,17.0,16.0,28.606517,35.506764,17.174022,13.78514,05:35:18 26 Aug 2020,https://projects.fivethirtyeight.com/polls/20200824_National.pdf
2020-08-26,2020-08-19,2020-08-21,1,YouGov,B,0,0.73937277,0.68332525,False,rv,all,2226.0,32.0,36.0,20.0,12.0,35.565329,33.678574,18.278795,12.3838,05:35:18 26 Aug 2020,https://drive.google.com/file/d/11UTgWRN1SvFmO3W9PVVOnPyGYqea4X6H/view
2020-08-26,2020-08-17,2020-08-19,1,AP-NORC,,0,1.4114853,1.2128621,False,a,all,1075.0,42.0,31.0,17.0,9.0,37.138411,32.400808,17.947558,10.883511,05:35:18 26 Aug 2020,https://apnorc.org/wp-content/uploads/2020/08/August-Topline-trump-1.pdf
2020-08-26,2020-08-16,2020-08-18,1,YouGov,B,0,0.44568565,0.36153897,False,a,all,1500.0,26.0,37.0,23.0,14.0,29.565329,34.678574,21.278795,14.3838,05:35:18 26 Aug 2020,https://docs.cdn.yougov.com/c6n58wb53l/econTabReport.pdf
2020-08-26,2020-08-14,2020-08-17,0,Ipsos,B-,0,0.57073153,0.43023934,False,a,all,1141.0,56.0,32.0,7.0,4.0,56.32171,32.046551,6.9559142,3.4825218,05:35:16 26 Aug 2020,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-08/topline-axios-w21.pdf
2020-08-26,2020-08-14,2020-08-17,0,Morning Consult,B/C,0,0.46281955,0.34738712,False,a,all,2200.0,61.0,25.0,5.0,2.0,57.922201,28.623071,8.2399658,2.5969915,05:35:16 26 Aug 2020,https://assets.morningconsult.com/wp-uploads/2020/08/17130704/200822_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
2020-08-26,2020-08-14,2020-08-17,1,YouGov,B,0,0.29003761,0.22430022,False,a,all,1000.0,36.0,34.0,18.0,7.0,39.565329,31.678574,16.278795,7.3838004,05:35:18 26 Aug 2020,https://docs.cdn.yougov.com/atqbvkhvpc/tabs_HP_Coronavirus_20200814.pdf
2020-08-26,2020-08-10,2020-08-16,0,SurveyMonkey,D-,0,0.17936551,0.11425932,False,a,all,34269.0,65.0,25.0,6.0,3.0,61.304904,26.917974,7.2252672,3.2333185,05:35:16 26 Aug 2020,https://www.surveymonkey.com/curiosity/nbc-poll-covid-aug16/
2020-08-26,2020-08-14,2020-08-16,0,Harris Insights & Analytics,C,0,0.57366946,0.40857299,False,a,all,1967.0,50.0,37.0,8.0,4.0,51.889098,34.918654,8.1078267,3.0838011,05:35:16 26 Aug 2020,https://theharrispoll.com/wp-content/uploads/2020/08/COVID-Tracker-W25-Banner-1.pdf
2020-08-26,2020-08-14,2020-08-16,1,L̩ger,,0,0.47636537,0.35301895,False,a,all,1001.0,27.0,37.0,19.0,13.0,30.606517,36.506764,19.174022,10.78514,05:35:18 26 Aug 2020,https://leger360.com/wp-content/uploads/2020/08/Legers-Weekly-Survey-august-17th-2020.pdf
2020-08-26,2020-08-12,2020-08-15,1,ABC News/The Washington Post,A+,0,2.1075382,1.5213304,False,a,all,1001.0,31.0,34.0,15.0,14.0,34.527117,33.396483,13.922691,12.27942,05:35:18 26 Aug 2020,https://www.washingtonpost.com/context/washington-post-abc-news-poll-aug-12-15-2020/b16f1e30-c98f-4b77-ba12-9d4f0baddceb//
