date_start,date_end,pollster,poll_sponsor,poll_type,poll_subject,question_text,population,party,sample_size,pct_concern_very,pct_concern_some,pct_concern_not_very,pct_concern_none,poll_url
2021-04-17,2021-04-20,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1500,20.0,31.0,31.0,17.0,https://docs.cdn.yougov.com/e89wuts0a9/econTabReport.pdf
2021-04-10,2021-04-13,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1500,16.0,34.0,29.0,20.0,https://docs.cdn.yougov.com/wvjmyy0dlk/econTabReport.pdf
2021-04-09,2021-04-11,Léger,Association for Canadian Studies,0,1,Are you personally afraid of contracting the COVID-19 (Coronavirus)?,a,all,1002,20.0,30.0,22.0,20.0,https://2g2ckk18vixp3neolz4b6605-wpengine.netdna-ssl.com/wp-content/uploads/2021/04/Legers-North-American-Tracker-April-12th-2021.pdf
2021-04-06,2021-04-06,Data for Progress,,0,1,How worried are you personally about experiencing coronavirus (COVID-19)?,a,all,1244,22.34,34.16,22.65,17.25,https://docs.google.com/spreadsheets/d/1DzzQ2QJL7UdG1Cgeu9EaNXEqQr2pLBOqeiS7E6FlZKM/edit#gid=0
2021-04-03,2021-04-06,YouGov,Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1500,18.0,32.0,31.0,19.0,https://docs.cdn.yougov.com/4243y0nkbo/econTabReport.pdf
2021-03-08,2021-03-30,Public Religion Research Institute,Interfaith Youth Core,0,1,"How worried, if at all, are you about each of the following? You or someone in your family will get sick with COVID-19",a,all,5625,23.0,39.0,27.0,11.0,https://www.prri.org/wp-content/uploads/2021/04/Topline-IFYC-PRRI-Survey-on-Religion-and-COVID-19-Vaccine-Trust-4-22-release.pdf
2021-03-27,2021-03-30,YouGov,The Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",rv,all,1254,20.0,32.0,27.0,21.0,https://docs.cdn.yougov.com/1kbp8xdx49/econTabReport.pdf
2021-03-27,2021-03-30,YouGov,The Economist,0,1,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing COVID-19?",a,all,1492,21.0,33.0,27.0,20.0,https://docs.cdn.yougov.com/1kbp8xdx49/econTabReport.pdf
2021-03-25,2021-03-29,Global Strategy Group/GBAO/Navigator Research,,0,1,Please indicate how worried you are about each item in light of the coronavirus pandemic. You personally getting infected with coronavirus,rv,all,1002,22.0,29.0,28.0,21.0,https://navigatorresearch.org/wp-content/uploads/2021/04/Navigator-Toplines-03.29.21.pdf
2021-03-25,2021-03-29,AP-NORC,,0,1,How worried are you about you or someone in your family being infected with … The coronavirus,a,all,1166,35.0,34.0,24.0,7.0,https://apnorc.org/wp-content/uploads/2021/04/Voting-topline.pdf
2021-03-25,2021-03-29,Global Strategy Group/GBAO/Navigator Research,,0,1,Please indicate how worried you are about each item in light of the coronavirus pandemic. Someone close to you getting infected with coronavirus,rv,all,1002,30.0,37.0,22.0,12.0,https://navigatorresearch.org/wp-content/uploads/2021/04/Navigator-Toplines-03.29.21.pdf
