election_cycle,race_type,name_incumbent,name_challenger,name_third,indicator_name,indicator_category,zscore_current,zscore_projected,zscore_projected_lo,zscore_projected_hi,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,S&P 500,0,0.5230193,0.4502226,1.062413,-0.1619673,1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.519978,-0.9077879,-2.132168,1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-1.62591,-1.259602,-0.6474122,-1.871792,1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.810377,-2.198187,-3.422567,1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6025671,0.6602774,1.272467,0.0480875,1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.766504,3.378694,2.154315,1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.4747317,-0.2854921,0.1473915,-0.7183757,1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.5054775,0.4313202,1.049008,-0.1863675,1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.510577,-0.8928892,-2.128264,1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-1.62591,-1.25274,-0.6350527,-1.870428,1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.799992,-2.182304,-3.41768,1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6025671,0.6617064,1.279394,0.0440187,1,2020-09-23,20:53:03 23 Sep 2020,40000
