cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,evprob_inc,evprob_chal,evprob_3rd,total_ev,timestamp,simulations
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001825,0,,99,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001525,.00005,,98,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.002525,.000075,,97,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.00145,0,,96,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.00095,.00005,,95,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.003125,.000025,,94,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001725,.000075,,93,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001725,.000025,,92,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001975,0,,91,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000875,.000025,,90,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.00025,.000025,,9,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001525,.00005,,89,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.0025,0,,88,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.0011,.000075,,87,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.002,.00005,,86,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001125,.000025,,85,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000825,0,,84,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001875,.000025,,83,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001725,0,,82,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.00085,0,,81,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001375,0,,80,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.00035,0,,8,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.0011,.00005,,79,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000875,.000125,,78,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.00165,0,,77,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001375,0,,76,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000825,.00005,,75,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001275,.000025,,74,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.00085,0,,73,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.0011,0,,72,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001125,0,,71,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.00095,.00005,,70,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,0,,7,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000925,0,,69,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001075,.000025,,68,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.0006,0,,67,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001125,0,,66,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.00065,.000025,,65,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000675,0,,64,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.0011,0,,63,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000625,0,,62,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000775,.000025,,61,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000925,0,,60,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000075,.000025,,6,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.0007,.000025,,59,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000875,.00005,,58,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.00085,0,,57,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000575,.000025,,56,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.00085,0,,55,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001,0,,54,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00005,,538,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000375,,537,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,0,,536,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.000025,,535,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.00055,,534,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000075,,533,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.000075,,532,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000025,,531,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00035,,530,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000525,0,,53,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.00025,,529,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00015,,528,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000175,,527,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000075,,526,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.00015,,525,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.0001,,524,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.0001,,523,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.00025,,522,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000075,,521,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.0001,,520,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001125,0,,52,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000225,,519,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000475,,518,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000175,,517,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.0002,,516,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.000325,,515,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00015,,514,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.0007,,513,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.0003,,512,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.000275,,511,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.0003,,510,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.0011,.000025,,51,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.00065,,509,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00015,,508,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00065,,507,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00065,,506,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00025,,505,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000675,,504,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.000375,,503,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.00035,,502,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00085,,501,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.000525,,500,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.00015,0,,50,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000075,0,,5,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000375,,499,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.000725,,498,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00045,,497,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00065,,496,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.001,,495,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00035,,494,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.00005,.00085,,493,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000825,,492,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00025,,491,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.001125,,490,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.00085,0,,49,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00085,,489,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00015,,488,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.0011,,487,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.001125,,486,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000525,,485,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.001,,484,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00085,,483,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.000575,,482,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.00085,,481,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.00005,.000875,,480,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.001125,0,,48,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.0007,,479,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000925,,478,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",.000025,.000775,,477,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000625,,476,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.0011,,475,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,"",0,.000675,,474,09:33:03 21 Aug 2020,40000
