election_cycle,race_type,name_incumbent,name_challenger,name_third,win_ec_incumbent,win_ec_challenger,win_ec_third,win_ec_none,win_pop_incumbent,win_pop_challenger,win_pop_third,votes_ec_incumbent,votes_ec_challenger,votes_ec_third,votes_ec_lo_incumbent,votes_ec_lo_challenger,votes_ec_lo_third,votes_ec_hi_incumbent,votes_ec_hi_challenger,votes_ec_hi_third,voteshare_nat_incumbent,voteshare_nat_challenger,voteshare_nat_third,voteshare_nat_other,voteshare_nat_lo_incumbent,voteshare_nat_lo_challenger,voteshare_nat_lo_third,voteshare_nat_lo_other,voteshare_nat_hi_incumbent,voteshare_nat_hi_challenger,voteshare_nat_hi_third,voteshare_nat_hi_other,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,0.2197,0.7756,,0.0047,0.105025,0.894975,,206.6381,331.3619,,111.0,225,,313,427.0,,45.81521,52.8941,,1.29069,49.25216,42.21351,,0.6933518,49.45233,56.5064,,1.972729,1,2020-09-27,20:00:04 27 Sep 2020,40000
2020,President,Trump,Biden,,0.225325,0.769675,,0.005,0.109125,0.890875,,207.176,330.824,,110.0,222,,316,428.0,,45.85375,52.85458,,1.291674,49.18813,42.22554,,0.6933294,49.51593,56.49204,,1.974954,1,2020-09-26,19:00:04 26 Sep 2020,40000
2020,President,Trump,Biden,,0.2281,0.76685,,0.00505,0.110725,0.889275,,207.5498,330.4502,,110.0,222,,316,428.0,,45.85934,52.84624,,1.294419,49.15376,42.20478,,0.6950172,49.54781,56.51155,,1.978868,1,2020-09-25,22:17:03 25 Sep 2020,40000
2020,President,Trump,Biden,,0.229275,0.766175,,0.00455,0.118775,0.881225,,208.0136,329.9864,,110.5,223,,315,427.5,,45.95837,52.74192,,1.299711,49.02992,42.28753,,0.6993086,49.65797,56.42416,,1.985058,1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,0.22235,0.772925,,0.004725,0.114775,0.885225,,206.3262,331.6738,,109.0,226,,312,429.0,,45.86427,52.83279,,1.302942,49.07958,42.15812,,0.7010441,49.60622,56.55154,,1.989995,1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,0.226,0.7686,,0.0054,0.1187,0.8813,,205.9798,332.0203,,110.0,225,,313,428.0,,45.89769,52.81616,,1.286152,49.03062,42.15979,,0.6867073,49.66927,56.57026,,1.970988,1,2020-09-22,19:00:04 22 Sep 2020,40000
2020,President,Trump,Biden,,0.22535,0.769225,,0.005425,0.119675,0.880325,,206.3478,331.6522,,109.0,226,,312,429.0,,45.87987,52.82855,,1.291579,49.01251,42.10999,,0.6906254,49.68482,56.61564,,1.977731,1,2020-09-21,19:00:04 21 Sep 2020,40000
2020,President,Trump,Biden,,0.225775,0.76835,,0.005875,0.12435,0.87565,,207.4107,330.5893,,111.0,224,,314,427.0,,45.92939,52.77768,,1.29294,48.94392,42.13705,,0.691234,49.75729,56.5852,,1.980419,1,2020-09-20,22:02:03 20 Sep 2020,40000
2020,President,Trump,Biden,,0.223425,0.771425,,0.00515,0.12565,0.87435,,207.3957,330.6043,,110.0,223,,315,428.0,,45.906,52.79246,,1.301542,48.91676,42.07742,,0.697998,49.77435,56.64014,,1.990523,1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,0.22725,0.768,,0.00475,0.127675,0.872325,,207.7489,330.251,,110.0,222,,316,428.0,,45.91582,52.78104,,1.303142,48.88648,42.06271,,0.6987849,49.80641,56.64479,,1.993226,1,2020-09-18,19:20:04 18 Sep 2020,40000
