election_cycle,race_type,name_incumbent,name_challenger,name_third,scenario_id,scenario_probability,scenario_description,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,1,0.005,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-26,19:00:04 26 Sep 2020,40000
2020,President,Trump,Biden,,2,0.051475,Recount (1+ decisive states within 0.5 ppt),1,2020-09-26,19:00:04 26 Sep 2020,40000
2020,President,Trump,Biden,,3,0.109125,Trump wins popular vote,1,2020-09-26,19:00:04 26 Sep 2020,40000
2020,President,Trump,Biden,,4,0.890875,Biden wins popular vote,1,2020-09-26,19:00:04 26 Sep 2020,40000
2020,President,Trump,Biden,,5,0.000775,Trump wins popular vote but loses Electoral College,1,2020-09-26,19:00:04 26 Sep 2020,40000
2020,President,Trump,Biden,,6,0.119475,Biden wins popular vote but loses Electoral College,1,2020-09-26,19:00:04 26 Sep 2020,40000
2020,President,Trump,Biden,,8,0.074625,Trump majority (at least 50 percent of the vote),1,2020-09-26,19:00:04 26 Sep 2020,40000
2020,President,Trump,Biden,,9,0.843775,Biden majority (at least 50 percent of the vote),1,2020-09-26,19:00:04 26 Sep 2020,40000
2020,President,Trump,Biden,,10,0.00275,Trump landslide (double-digit popular vote margin),1,2020-09-26,19:00:04 26 Sep 2020,40000
2020,President,Trump,Biden,,11,0.2974,Biden landslide (double-digit popular vote margin),1,2020-09-26,19:00:04 26 Sep 2020,40000
2020,President,Trump,Biden,,12,0.00115,Map exactly the same as in 2016,1,2020-09-26,19:00:04 26 Sep 2020,40000
2020,President,Trump,Biden,,13,0.365275,Trump wins at least one state Clinton won in 2016,1,2020-09-26,19:00:04 26 Sep 2020,40000
2020,President,Trump,Biden,,14,0.9087,Biden wins at least one state Trump won in 2016,1,2020-09-26,19:00:04 26 Sep 2020,40000
2020,President,Trump,Biden,,1,0.00505,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-25,22:17:03 25 Sep 2020,40000
2020,President,Trump,Biden,,2,0.052725,Recount (1+ decisive states within 0.5 ppt),1,2020-09-25,22:17:03 25 Sep 2020,40000
2020,President,Trump,Biden,,3,0.110725,Trump wins popular vote,1,2020-09-25,22:17:03 25 Sep 2020,40000
2020,President,Trump,Biden,,4,0.889275,Biden wins popular vote,1,2020-09-25,22:17:03 25 Sep 2020,40000
2020,President,Trump,Biden,,5,0.00075,Trump wins popular vote but loses Electoral College,1,2020-09-25,22:17:03 25 Sep 2020,40000
2020,President,Trump,Biden,,6,0.12065,Biden wins popular vote but loses Electoral College,1,2020-09-25,22:17:03 25 Sep 2020,40000
2020,President,Trump,Biden,,8,0.076075,Trump majority (at least 50 percent of the vote),1,2020-09-25,22:17:03 25 Sep 2020,40000
2020,President,Trump,Biden,,9,0.8414,Biden majority (at least 50 percent of the vote),1,2020-09-25,22:17:03 25 Sep 2020,40000
2020,President,Trump,Biden,,10,0.002825,Trump landslide (double-digit popular vote margin),1,2020-09-25,22:17:03 25 Sep 2020,40000
2020,President,Trump,Biden,,11,0.297675,Biden landslide (double-digit popular vote margin),1,2020-09-25,22:17:03 25 Sep 2020,40000
2020,President,Trump,Biden,,12,0.0014,Map exactly the same as in 2016,1,2020-09-25,22:17:03 25 Sep 2020,40000
2020,President,Trump,Biden,,13,0.3656,Trump wins at least one state Clinton won in 2016,1,2020-09-25,22:17:03 25 Sep 2020,40000
2020,President,Trump,Biden,,14,0.90745,Biden wins at least one state Trump won in 2016,1,2020-09-25,22:17:03 25 Sep 2020,40000
2020,President,Trump,Biden,,1,0.00455,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,2,0.052175,Recount (1+ decisive states within 0.5 ppt),1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,3,0.118775,Trump wins popular vote,1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,4,0.881225,Biden wins popular vote,1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,5,0.0012375,Trump wins popular vote but loses Electoral College,1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,6,0.1140125,Biden wins popular vote but loses Electoral College,1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,8,0.0813,Trump majority (at least 50 percent of the vote),1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,9,0.8309,Biden majority (at least 50 percent of the vote),1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,10,0.0034,Trump landslide (double-digit popular vote margin),1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,11,0.2863,Biden landslide (double-digit popular vote margin),1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,12,0.001225,Map exactly the same as in 2016,1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,13,0.3625,Trump wins at least one state Clinton won in 2016,1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,14,0.909525,Biden wins at least one state Trump won in 2016,1,2020-09-24,19:10:02 24 Sep 2020,40000
2020,President,Trump,Biden,,1,0.004725,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,2,0.051225,Recount (1+ decisive states within 0.5 ppt),1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,3,0.114775,Trump wins popular vote,1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,4,0.885225,Biden wins popular vote,1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,5,0.0010375,Trump wins popular vote but loses Electoral College,1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,6,0.110975,Biden wins popular vote but loses Electoral College,1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,8,0.078875,Trump majority (at least 50 percent of the vote),1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,9,0.83625,Biden majority (at least 50 percent of the vote),1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,10,0.003325,Trump landslide (double-digit popular vote margin),1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,11,0.29895,Biden landslide (double-digit popular vote margin),1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,12,0.0011,Map exactly the same as in 2016,1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,13,0.365975,Trump wins at least one state Clinton won in 2016,1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,14,0.919525,Biden wins at least one state Trump won in 2016,1,2020-09-23,20:53:03 23 Sep 2020,40000
2020,President,Trump,Biden,,1,0.0054,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-22,19:00:04 22 Sep 2020,40000
2020,President,Trump,Biden,,2,0.050775,Recount (1+ decisive states within 0.5 ppt),1,2020-09-22,19:00:04 22 Sep 2020,40000
2020,President,Trump,Biden,,3,0.1187,Trump wins popular vote,1,2020-09-22,19:00:04 22 Sep 2020,40000
2020,President,Trump,Biden,,4,0.8813,Biden wins popular vote,1,2020-09-22,19:00:04 22 Sep 2020,40000
2020,President,Trump,Biden,,5,0.001225,Trump wins popular vote but loses Electoral College,1,2020-09-22,19:00:04 22 Sep 2020,40000
2020,President,Trump,Biden,,6,0.111225,Biden wins popular vote but loses Electoral College,1,2020-09-22,19:00:04 22 Sep 2020,40000
2020,President,Trump,Biden,,8,0.082125,Trump majority (at least 50 percent of the vote),1,2020-09-22,19:00:04 22 Sep 2020,40000
2020,President,Trump,Biden,,9,0.83225,Biden majority (at least 50 percent of the vote),1,2020-09-22,19:00:04 22 Sep 2020,40000
2020,President,Trump,Biden,,10,0.003625,Trump landslide (double-digit popular vote margin),1,2020-09-22,19:00:04 22 Sep 2020,40000
2020,President,Trump,Biden,,11,0.297875,Biden landslide (double-digit popular vote margin),1,2020-09-22,19:00:04 22 Sep 2020,40000
2020,President,Trump,Biden,,12,0.0007,Map exactly the same as in 2016,1,2020-09-22,19:00:04 22 Sep 2020,40000
2020,President,Trump,Biden,,13,0.37255,Trump wins at least one state Clinton won in 2016,1,2020-09-22,19:00:04 22 Sep 2020,40000
2020,President,Trump,Biden,,14,0.915725,Biden wins at least one state Trump won in 2016,1,2020-09-22,19:00:04 22 Sep 2020,40000
2020,President,Trump,Biden,,1,0.005425,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-21,19:00:04 21 Sep 2020,40000
2020,President,Trump,Biden,,2,0.05225,Recount (1+ decisive states within 0.5 ppt),1,2020-09-21,19:00:04 21 Sep 2020,40000
2020,President,Trump,Biden,,3,0.119675,Trump wins popular vote,1,2020-09-21,19:00:04 21 Sep 2020,40000
2020,President,Trump,Biden,,4,0.880325,Biden wins popular vote,1,2020-09-21,19:00:04 21 Sep 2020,40000
2020,President,Trump,Biden,,5,0.0009,Trump wins popular vote but loses Electoral College,1,2020-09-21,19:00:04 21 Sep 2020,40000
2020,President,Trump,Biden,,6,0.1092875,Biden wins popular vote but loses Electoral College,1,2020-09-21,19:00:04 21 Sep 2020,40000
2020,President,Trump,Biden,,8,0.082625,Trump majority (at least 50 percent of the vote),1,2020-09-21,19:00:04 21 Sep 2020,40000
2020,President,Trump,Biden,,9,0.8315,Biden majority (at least 50 percent of the vote),1,2020-09-21,19:00:04 21 Sep 2020,40000
2020,President,Trump,Biden,,10,0.003825,Trump landslide (double-digit popular vote margin),1,2020-09-21,19:00:04 21 Sep 2020,40000
2020,President,Trump,Biden,,11,0.30065,Biden landslide (double-digit popular vote margin),1,2020-09-21,19:00:04 21 Sep 2020,40000
2020,President,Trump,Biden,,12,0.0005,Map exactly the same as in 2016,1,2020-09-21,19:00:04 21 Sep 2020,40000
2020,President,Trump,Biden,,13,0.37275,Trump wins at least one state Clinton won in 2016,1,2020-09-21,19:00:04 21 Sep 2020,40000
2020,President,Trump,Biden,,14,0.91875,Biden wins at least one state Trump won in 2016,1,2020-09-21,19:00:04 21 Sep 2020,40000
2020,President,Trump,Biden,,1,0.005875,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-20,22:02:03 20 Sep 2020,40000
2020,President,Trump,Biden,,2,0.05295,Recount (1+ decisive states within 0.5 ppt),1,2020-09-20,22:02:03 20 Sep 2020,40000
2020,President,Trump,Biden,,3,0.12435,Trump wins popular vote,1,2020-09-20,22:02:03 20 Sep 2020,40000
2020,President,Trump,Biden,,4,0.87565,Biden wins popular vote,1,2020-09-20,22:02:03 20 Sep 2020,40000
2020,President,Trump,Biden,,5,0.0013125,Trump wins popular vote but loses Electoral College,1,2020-09-20,22:02:03 20 Sep 2020,40000
2020,President,Trump,Biden,,6,0.105675,Biden wins popular vote but loses Electoral College,1,2020-09-20,22:02:03 20 Sep 2020,40000
2020,President,Trump,Biden,,8,0.0863,Trump majority (at least 50 percent of the vote),1,2020-09-20,22:02:03 20 Sep 2020,40000
2020,President,Trump,Biden,,9,0.826225,Biden majority (at least 50 percent of the vote),1,2020-09-20,22:02:03 20 Sep 2020,40000
2020,President,Trump,Biden,,10,0.004125,Trump landslide (double-digit popular vote margin),1,2020-09-20,22:02:03 20 Sep 2020,40000
2020,President,Trump,Biden,,11,0.295975,Biden landslide (double-digit popular vote margin),1,2020-09-20,22:02:03 20 Sep 2020,40000
2020,President,Trump,Biden,,12,0.000525,Map exactly the same as in 2016,1,2020-09-20,22:02:03 20 Sep 2020,40000
2020,President,Trump,Biden,,13,0.374575,Trump wins at least one state Clinton won in 2016,1,2020-09-20,22:02:03 20 Sep 2020,40000
2020,President,Trump,Biden,,14,0.91865,Biden wins at least one state Trump won in 2016,1,2020-09-20,22:02:03 20 Sep 2020,40000
2020,President,Trump,Biden,,1,0.00515,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,2,0.05005,Recount (1+ decisive states within 0.5 ppt),1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,3,0.12565,Trump wins popular vote,1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,4,0.87435,Biden wins popular vote,1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,5,0.0014,Trump wins popular vote but loses Electoral College,1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,6,0.10175,Biden wins popular vote but loses Electoral College,1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,8,0.08715,Trump majority (at least 50 percent of the vote),1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,9,0.8249,Biden majority (at least 50 percent of the vote),1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,10,0.0046,Trump landslide (double-digit popular vote margin),1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,11,0.299725,Biden landslide (double-digit popular vote margin),1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,12,0.0006,Map exactly the same as in 2016,1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,13,0.3772,Trump wins at least one state Clinton won in 2016,1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,14,0.9169,Biden wins at least one state Trump won in 2016,1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,1,0.00475,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,2,0.05005,Recount (1+ decisive states within 0.5 ppt),1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,3,0.127675,Trump wins popular vote,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,4,0.872325,Biden wins popular vote,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,5,0.0013125,Trump wins popular vote but loses Electoral College,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,6,0.1032625,Biden wins popular vote but loses Electoral College,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,8,0.088875,Trump majority (at least 50 percent of the vote),1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,9,0.82275,Biden majority (at least 50 percent of the vote),1,2020-09-18,19:20:04 18 Sep 2020,40000
