cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,scenario_id,probability,scenario_description,timestamp,simulations
2020,President,polls-plus,11/3/2020,Trump,Biden,"",9,.95445,Biden majority (at least 50 percent of the vote),00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",8,.01415,Trump majority (at least 50 percent of the vote),00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",6,.0806,Biden wins popular vote but loses Electoral College,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",5,.00015,Trump wins popular vote but loses Electoral College,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",4,.9743,Biden wins popular vote,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",3,.0257,Trump wins popular vote,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",2,.0432,Recount (1+ decisive states within 0.5 ppt),00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",1,.0045,Electoral College deadlock (No candidate gets 270 electoral votes),00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",14,.978775,Biden wins at least one state Trump won in 2016,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",13,.241675,Trump wins at least one state Clinton won in 2016,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",12,.0006,Map exactly the same as in 2016,00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",11,.29385,Biden landslide (double-digit popular vote margin),00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/3/2020,Trump,Biden,"",10,0,Trump landslide (double-digit popular vote margin),00:00:48  3 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",9,.954525,Biden majority (at least 50 percent of the vote),23:45:03  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",8,.01415,Trump majority (at least 50 percent of the vote),23:45:03  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",6,.0793,Biden wins popular vote but loses Electoral College,23:45:03  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",5,.0001875,Trump wins popular vote but loses Electoral College,23:45:03  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",4,.974375,Biden wins popular vote,23:45:03  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",3,.025625,Trump wins popular vote,23:45:03  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",2,.043775,Recount (1+ decisive states within 0.5 ppt),23:45:03  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",1,.004125,Electoral College deadlock (No candidate gets 270 electoral votes),23:45:03  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",14,.9781,Biden wins at least one state Trump won in 2016,23:45:03  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",13,.241825,Trump wins at least one state Clinton won in 2016,23:45:03  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",12,.00055,Map exactly the same as in 2016,23:45:03  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",11,.293775,Biden landslide (double-digit popular vote margin),23:45:03  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",10,0,Trump landslide (double-digit popular vote margin),23:45:03  2 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",9,.948875,Biden majority (at least 50 percent of the vote),23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",8,.016525,Trump majority (at least 50 percent of the vote),23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",6,.0764375,Biden wins popular vote but loses Electoral College,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",5,.000325,Trump wins popular vote but loses Electoral College,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",4,.9711,Biden wins popular vote,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",3,.0289,Trump wins popular vote,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",2,.041975,Recount (1+ decisive states within 0.5 ppt),23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",1,.004325,Electoral College deadlock (No candidate gets 270 electoral votes),23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",14,.9771,Biden wins at least one state Trump won in 2016,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",13,.253,Trump wins at least one state Clinton won in 2016,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",12,.0005,Map exactly the same as in 2016,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",11,.274175,Biden landslide (double-digit popular vote margin),23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",10,0,Trump landslide (double-digit popular vote margin),23:11:03  1 Nov 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",9,.94675,Biden majority (at least 50 percent of the vote),22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",8,.017225,Trump majority (at least 50 percent of the vote),22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",6,.0794375,Biden wins popular vote but loses Electoral College,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",5,.0003,Trump wins popular vote but loses Electoral College,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",4,.970475,Biden wins popular vote,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",3,.029525,Trump wins popular vote,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",2,.045175,Recount (1+ decisive states within 0.5 ppt),22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",1,.006075,Electoral College deadlock (No candidate gets 270 electoral votes),22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",14,.98045,Biden wins at least one state Trump won in 2016,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",13,.234,Trump wins at least one state Clinton won in 2016,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",12,.000425,Map exactly the same as in 2016,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",11,.27925,Biden landslide (double-digit popular vote margin),22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",10,.000125,Trump landslide (double-digit popular vote margin),22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",9,.9456,Biden majority (at least 50 percent of the vote),21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",8,.01775,Trump majority (at least 50 percent of the vote),21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",6,.07205,Biden wins popular vote but loses Electoral College,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",5,.0003125,Trump wins popular vote but loses Electoral College,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",4,.969825,Biden wins popular vote,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",3,.030175,Trump wins popular vote,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",2,.0421,Recount (1+ decisive states within 0.5 ppt),21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",1,.004575,Electoral College deadlock (No candidate gets 270 electoral votes),21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",14,.97965,Biden wins at least one state Trump won in 2016,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",13,.23625,Trump wins at least one state Clinton won in 2016,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",12,.000375,Map exactly the same as in 2016,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",11,.2852,Biden landslide (double-digit popular vote margin),21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",10,.00015,Trump landslide (double-digit popular vote margin),21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",9,.945,Biden majority (at least 50 percent of the vote),22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",8,.018025,Trump majority (at least 50 percent of the vote),22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",6,.080775,Biden wins popular vote but loses Electoral College,22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",5,.000175,Trump wins popular vote but loses Electoral College,22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",4,.969475,Biden wins popular vote,22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",3,.030525,Trump wins popular vote,22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",2,.043,Recount (1+ decisive states within 0.5 ppt),22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",1,.0043,Electoral College deadlock (No candidate gets 270 electoral votes),22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",14,.9753,Biden wins at least one state Trump won in 2016,22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",13,.23405,Trump wins at least one state Clinton won in 2016,22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",12,.00065,Map exactly the same as in 2016,22:17:03 29 Oct 2020,40000
