election_cycle,race_type,name_incumbent,name_challenger,name_third,us_state_fips,tipping,vpi,win_state_incumbent,win_state_challenger,win_state_third,win_ec_if_win_state_incumbent,win_ec_if_win_state_challenger,win_state_if_win_ec_incumbent,win_state_if_win_ec_challenger,voteshare_incumbent,voteshare_challenger,voteshare_third,voteshare_other,voteshare_lo_incumbent,voteshare_lo_challenger,voteshare_lo_third,voteshare_lo_other,voteshare_hi_incumbent,voteshare_hi_challenger,voteshare_hi_third,voteshare_hi_other,margin,margin_lo,margin_hi,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,56,2.5e-05,0.0147607,0.99795,0.00205,,0.2864372,0.9756098,0.9998251,0.0028214,68.52846,28.03076,,3.44078,61.63075,21.54302,,1.786647,75.15311,34.78848,,5.337265,40.4977,26.96738,53.50687,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,28,0.002875,0.3317154,0.876625,0.123375,,0.3162413,0.9276596,0.9696572,0.161453,55.88177,43.35465,,0.763576,48.86626,36.39401,,0.4134226,62.81567,50.37829,,1.154559,12.52712,-1.495724,26.45088,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,26,0.068575,1.931757,0.1773,0.8227,,0.9575578,0.8527106,0.5938265,0.9896315,45.95795,52.90297,,1.139072,41.1184,48.02664,,0.6105964,50.83015,57.73568,,1.733537,-6.945018,-16.58544,2.789268,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,25,0.0002625,0.011209,0.00255,0.99745,,0.8137255,0.710211,0.0072578,0.9993299,33.42001,64.97761,,1.602383,27.20525,58.61535,,0.8512793,39.75521,71.21071,,2.45238,-31.5576,-44.00458,-18.88224,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,24,0.00035,0.0173757,0.001875,0.998125,,0.6133333,0.7094803,0.0040224,0.9989772,35.71286,62.91636,,1.370777,30.62372,57.78437,,0.7313129,40.84829,68.02192,,2.092458,-27.2035,-37.40205,-16.96587,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,23,0.0053625,1.002823,0.220475,0.779525,,0.7329629,0.834226,0.5652326,0.9173691,45.14867,53.28225,,1.569079,38.20353,46.35309,,0.8346708,52.08192,60.22135,,2.400761,-8.133588,-22.0352,5.682751,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,22,0.001675,0.1162301,0.92305,0.07695,,0.3057256,0.9502924,0.9870584,0.1031564,57.26674,41.87997,,0.8532889,50.49925,35.18986,,0.4607295,63.93779,48.66429,,1.292516,15.38677,1.837389,28.7479,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,21,0.0001875,0.0140314,0.9763,0.0237,,0.2925074,0.9852321,0.9988632,0.0329395,59.36161,39.44741,,1.190981,53.33837,33.49625,,0.637707,65.30855,45.4568,,1.813824,19.91419,7.898977,31.81722,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,20,0.00015,0.0182425,0.928425,0.071575,,0.3076985,0.9968565,0.999213,0.1006524,55.16267,42.94068,,1.896652,49.79061,37.67889,,1.002886,60.44019,48.27103,,2.910966,12.22199,1.518888,22.70662,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,19,0.0033,0.3000072,0.6905,0.3095,,0.4133237,0.9978998,0.9982511,0.4356903,51.36219,47.24578,,1.392032,45.84955,41.75262,,0.7423477,56.85569,52.72483,,2.125425,4.116414,-6.82625,15.05191,1,2020-09-06,21:06:02  6 Sep 2020,40000
