cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,tipping,vpi,winstate_inc,winstate_chal,winstate_3rd,voteshare_inc,voteshare_chal,voteshare_3rd,voteshare_other,voteshare_inc_hi,voteshare_chal_hi,voteshare_3rd_hi,voteshare_other_hi,voteshare_inc_lo,voteshare_chal_lo,voteshare_3rd_lo,voteshare_other_lo,margin,margin_hi,margin_lo,win_EC_if_win_state_inc,win_EC_if_win_state_chal,win_state_if_win_EC_inc,win_state_if_win_EC_chal,timestamp,simulations
2020,President,polls-plus,8/21/2020,Trump,Biden,,Wyoming,0,0,0.998125,0.001875,,68.65206,28.07257,,3.275368,75.37821,34.78617,,5.161441,61.781,21.48518,,1.627064,40.57949,53.73236,27.14011,0.2685786,0.9733334,0.9998135,0.0025052,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Wisconsin,0.1051875,4.904476,0.27355,0.72645,,47.06221,51.96077,,0.9770187,52.29635,57.23005,,1.513526,41.7951,46.71552,,0.4998459,-4.898562,5.557322,-15.4273,0.8246207,0.9390873,0.8413054,0.9364769,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,West Virginia,0.000125,0.0275461,0.99215,0.00785,,65.96786,32.22914,,1.803009,73.44937,39.85102,,2.816379,58.34131,24.76366,,0.9099903,33.73872,48.64774,18.48886,0.27007,0.977707,0.9993473,0.0105357,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Washington,0.0011375,0.0454484,0.010775,0.989225,,36.72626,61.08248,,2.191258,42.97349,67.33343,,3.432284,30.51361,54.78291,,1.10056,-24.35622,-11.89498,-36.79053,0.7331787,0.7335035,0.0294639,0.9960534,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Virginia,0.01485,0.5007717,0.066725,0.933275,,44.08686,54.90522,,1.007922,48.67969,59.45731,,1.562028,39.5263,50.32571,,0.5153177,-10.81836,-1.668825,-19.90257,0.9733983,0.7787094,0.2422378,0.997632,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Vermont,0.0002625,0.1154803,0.007175,0.992825,,31.22104,66.17104,,2.607921,39.13995,74.15402,,4.095582,23.28893,58.14326,,1.303887,-34.95,-19.08276,-50.76285,0.6689895,0.7313726,0.0179021,0.9967741,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Utah,0.0006375,0.0744075,0.94975,0.05025,,56.95582,39.79736,,3.24682,63.47749,46.33131,,5.115795,50.36383,33.32312,,1.613296,17.15846,29.96381,4.174141,0.2812319,0.9786069,0.9961771,0.067504,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Texas,0.0088125,0.1328735,0.7392,0.2608,,52.01944,46.97551,,1.005053,57.12824,52.07874,,1.557527,46.89849,41.89313,,0.5138817,5.043927,15.2159,-5.154469,0.3625541,0.9995207,0.9995338,0.3578366,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Tennessee,0.00055,0.0305957,0.951475,0.048525,,57.64364,41.27882,,1.077544,63.7928,47.45683,,1.671362,51.47435,35.14,,0.5501308,16.36482,28.63491,4.021353,0.2811424,0.98712,0.997669,0.0657538,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,South Dakota,0.0002875,0.1027645,0.9617,0.0383,,59.72472,38.8391,,1.43618,66.88236,46.01421,,2.236695,52.52932,31.674,,0.7288522,20.88561,35.18501,6.552559,0.2776334,0.9706267,0.9958042,0.0510313,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,South Carolina,0.0009125,0.0586688,0.875075,0.124925,,53.95036,45.16943,,0.8802126,58.90393,50.09669,,1.361946,49.0329,40.21503,,0.4512946,8.780925,18.68213,-1.068409,0.3060881,0.9977987,0.9989744,0.1711109,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Rhode Island,0.0002875,0.0848605,0.01485,0.98515,,37.54292,61.06902,,1.38806,44.15379,67.62442,,2.160633,31.01471,54.44004,,0.7049959,-23.52609,-10.31364,-36.56644,0.9410775,0.7385677,0.0521212,0.9987988,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Pennsylvania,0.2194125,4.960663,0.250975,0.749025,,47.23597,52.04814,,0.715886,51.94205,56.78729,,1.104753,42.48418,47.32061,,0.3685269,-4.812172,4.617277,-14.28934,0.8886343,0.9364173,0.8317949,0.9628333,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Oregon,0.0061125,0.4106452,0.081725,0.918275,,41.58157,56.11806,,2.300371,48.19572,62.77987,,3.605638,34.93476,49.44109,,1.1539,-14.53649,-1.315243,-27.77059,0.7430407,0.7706569,0.2264802,0.9714472,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Oklahoma,7.5E-05,0.0077947,0.991975,0.008025,,63.33574,35.49207,,1.172201,69.51515,41.72861,,1.820407,57.09617,29.33925,,0.5974607,27.84367,40.15687,15.35441,0.2701429,0.9813084,0.9994406,0.0108103,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Ohio,0.0310125,0.778044,0.54055,0.45945,,49.88584,49.07013,,1.044029,54.95569,54.18264,,1.61868,44.78374,43.98904,,0.5333794,0.8157147,10.9424,-9.375795,0.4931089,0.9964088,0.9941259,0.6284361,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,North Dakota,3.75E-05,0.0177714,0.9864,0.0136,,60.94479,36.43264,,2.622565,67.44575,42.9759,,4.118908,54.36091,30.00878,,1.311006,24.51215,37.32358,11.48106,0.2715937,0.9834559,0.9991608,0.0183603,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,North Carolina,0.0398125,1.133135,0.50715,0.49285,,49.67667,49.56466,,0.7586772,54.5964,54.49387,,1.171606,44.74858,44.64252,,0.3901139,0.1120155,9.952074,-9.724863,0.5142956,0.9844781,0.9727739,0.6660489,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,New York,0.0009,0.0166191,0.002975,0.997025,,36.90306,62.02605,,1.070886,42.0984,67.20026,,1.660889,31.74109,56.82242,,0.5468036,-25.12299,-14.72224,-35.42504,0.8319328,0.7301723,0.0092308,0.9993479,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,New Mexico,0.0098,1.712854,0.08575,0.91425,,43.01565,55.21926,,1.76509,48.73586,60.9119,,2.756354,37.35397,49.50159,,0.8913052,-12.20361,-0.7943382,-23.53991,0.9020408,0.7878315,0.2884848,0.9887436,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,New Jersey,0.00655,0.237435,0.039075,0.960925,,40.53476,58.60005,,0.865191,46.80835,64.86156,,1.338348,34.27714,52.3176,,0.4437392,-18.06529,-5.516562,-30.60861,0.7504798,0.7479772,0.1093706,0.9866502,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,New Hampshire,0.0123125,2.287669,0.2748,0.7252,,46.2889,52.70328,,1.007822,53.26581,59.72856,,1.561872,39.28485,45.72314,,0.5152679,-6.414375,7.551237,-20.41254,0.7232533,0.9008549,0.7412587,0.896805,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Nevada,0.0256375,2.987931,0.2103,0.7897,,45.86414,52.45769,,1.678166,51.19078,57.79985,,2.618872,40.57568,47.14694,,0.8484551,-6.593547,4.058716,-17.16466,0.851165,0.883595,0.6675991,0.9578572,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Nebraska,0,0,0.986,0.014,,58.9397,39.31681,,1.743484,64.31532,44.71215,,2.722464,53.53595,33.94991,,0.8803024,19.62289,30.33894,8.852837,0.2718813,0.9964285,0.9998135,0.0191496,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,NE-3,0,0,0.999675,0.000325,,72.69978,25.04,,2.260218,78.93788,31.3536,,3.541828,66.34364,18.87118,,1.134291,47.65978,60.00995,35.10257,0.2681872,0.9230769,0.9999068,0.0004118,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,NE-2,0.0079375,3.750693,0.44345,0.55655,,48.74154,49.97184,,1.286619,54.32884,55.56918,,2.000743,43.15961,44.3688,,0.6545461,-1.230301,9.908733,-12.38737,0.5612245,0.9628964,0.9282051,0.7356464,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,NE-1,7.5E-05,0.0361427,0.943975,0.056025,,56.31007,41.96791,,1.722016,61.95487,47.63626,,2.688197,50.63027,36.34167,,0.8700656,14.34215,25.55718,3.046076,0.2836145,0.9928603,0.9985082,0.0763581,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Montana,0.0009,0.2480078,0.8804,0.1196,,55.22476,42.79055,,1.984699,62.01754,49.63485,,3.104498,48.39504,36.0197,,0.9993263,12.43421,25.94256,-1.163092,0.302107,0.9816054,0.9919813,0.1611586,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Missouri,0.001125,0.0559955,0.874025,0.125975,,54.28431,44.30916,,1.406528,59.88917,49.93374,,2.189837,48.64307,38.7348,,0.7141542,9.975147,21.13127,-1.253149,0.3061697,0.9958325,0.998042,0.1722091,09:33:03 21 Aug 2020,40000
