NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
130123004364,GA-631-0381,1301230,GA-631,6,6,7 Pillars Career Academy,Clayton County,†,4234 Hendrix Dr,Forest Park,GA,30297,,(770)954-5306,†,N,Yes,†,†,†,†,†,†,†,†
130351001338,GA-781-0188,1303510,GA-781,PK,5,A.L. Burruss Elementary School,Marietta City,Cobb County,325 Manning Rd SW,Marietta,GA,30064,,(770)429-3144,13,City: Small,No,No,Yes,Yes,480,38.5,12.5,169,27
130387004127,GA-706-0115,1303870,GA-706,6,8,Aaron Cohn Middle School,Muscogee County,Muscogee County,7352 Garrett Rd,Midland,GA,31820,,(706)569-3801,12,City: Midsize,No,No,–,–,660,37,17.8,222,83
130002603806,GA-891-1898,1300026,GA-891,7,10,Aaron Cohn Regional Youth Detention Center,Department of Juvenile Justice,Muscogee County,7700 Chattsworth Rd,Midland,GA,31820,,(706)568-2498,41,Rural: Fringe,No,No,Yes,Yes,16,–,†,–,–
130228002378,GA-660-0101,1302280,GA-660,PK,5,Abbotts Hill Elementary School,Fulton County,Fulton County,5575 Abbotts Bridge Rd,Duluth,GA,30097,,(470)254-2860,21,Suburb: Large,No,No,–,–,616,41.5,14.8,53,16
130025204345,GA-7830623-0623,1300252,GA-7830623,KG,12,Academy For Classical Education,State Charter Schools II- Academy For Classical Education,†,5665 New Forsyth Rd,Macon,GA,31210,,(478)238-5757,†,N,Yes,†,†,†,†,†,†,†,†
130438001528,GA-721-4060,1304380,GA-721,9,12,Academy of Richmond County High School,Richmond County,Richmond County,910 Russell St,Augusta,GA,30904,,(706)737-7152,12,City: Midsize,No,No,Yes,Yes,1175,71,16.5,1132,0
130129000539,GA-633-0302,1301290,GA-633,2,5,Acworth Intermediate School,Cobb County,Cobb County,4220 Cantrell Rd NW,Acworth,GA,30101,,(770)975-6600,21,Suburb: Large,No,No,Yes,Yes,664,50.7,13.1,346,69
130033000185,GA-608-0177,1300330,GA-608,PK,5,Adairsville Elementary School,Bartow County,Bartow County,118 N Franklin St,Adairsville,GA,30103,,(770)606-5840,32,Town: Distant,No,No,Yes,Yes,712,47.5,15,296,67
130033002352,GA-608-0105,1300330,GA-608,9,12,Adairsville High School,Bartow County,Bartow County,519 Old Highway 41 NW,Adairsville,GA,30103,,(770)606-4151,41,Rural: Fringe,No,No,–,–,977,57.9,16.9,341,82
130033002351,GA-608-0301,1300330,GA-608,6,8,Adairsville Middle School,Bartow County,Bartow County,485 Old Highway 41 NW,Adairsville,GA,30103,,(770)606-5842,41,Rural: Fringe,No,No,Yes,Yes,786,43.5,18.1,323,76
130123000480,GA-631-0177,1301230,GA-631,6,8,Adamson Middle School,Clayton County,Clayton County,3187 Rex Rd,Rex,GA,30273,,(770)968-2925,21,Suburb: Large,No,No,Yes,Yes,568,40.7,14,528,0
130129002022,GA-633-0289,1301290,GA-633,PK,5,Addison Elementary School,Cobb County,Cobb County,3055 Ebenezer Rd,Marietta,GA,30066,,(770)578-2700,21,Suburb: Large,No,No,–,–,597,44,13.6,132,27
130183000833,GA-647-0101,1301830,GA-647,6,8,Albany Middle School,Dougherty County,Dougherty County,1700 Cordell Ave,Albany,GA,31705,,(229)431-3325,13,City: Small,No,No,Yes,Yes,982,61,16.1,982,0
130255003395,GA-667-1005,1302550,GA-667,PK,5,Alcova Elementary School,Gwinnett County,Gwinnett County,770 Ewing Chapel Rd,Dacula,GA,30019,,(678)376-8500,21,Suburb: Large,No,No,Yes,Yes,1426,93.5,15.3,717,153
130393003436,GA-707-0206,1303930,GA-707,9,12,Alcovy High School,Newton County,Newton County,14567 Highway 36,Covington,GA,30014,,(770)784-4995,41,Rural: Fringe,No,No,Yes,Yes,1934,100.8,19.2,932,201
130186001976,GA-648-0187,1301860,GA-648,9,12,Alexander High School,Douglas County,Douglas County,6500 Alexander Pkwy,Douglasville,GA,30135,,(770)651-6000,21,Suburb: Large,No,No,–,–,1828,103.3,17.7,569,130
130042000198,GA-611-1050,1300420,GA-611,PK,5,Alexander II Magnet School,Bibb County,Bibb County,1156 College St,Macon,GA,31201,,(478)779-2679,12,City: Midsize,No,Yes,Yes,Yes,494,34.5,14.3,488,0
130255002904,GA-667-1105,1302550,GA-667,PK,5,Alford Elementary,Gwinnett County,Gwinnett County,2625 Lawrenceville Hwy,Lawrenceville,GA,30044,,(678)924-5300,21,Suburb: Large,No,No,Yes,Yes,935,67,14,630,98
130183002315,GA-647-0299,1301830,GA-647,PK,5,Alice Coachman Elementary School,Dougherty County,Dougherty County,1425 W Oakridge Dr,Albany,GA,31707,,(229)431-3488,13,City: Small,No,No,Yes,Yes,506,30.5,16.6,506,0
130033001078,GA-608-0196,1300330,GA-608,PK,5,Allatoona Elementary School,Bartow County,Bartow County,4150 New Hope Church Road. NW,Acworth,GA,30101,,(770)606-5843,41,Rural: Fringe,No,No,Yes,Yes,438,32.6,13.4,292,37
130129003781,GA-633-0209,1301290,GA-633,9,12,Allatoona High School,Cobb County,Cobb County,3300 Dallas Acworth Hwy NW,Acworth,GA,30101,,(770)975-6503,21,Suburb: Large,No,No,–,–,1731,88.5,19.6,202,88
130387001446,GA-706-4065,1303870,GA-706,KG,5,Allen Elementary School,Muscogee County,Muscogee County,5201 23rd Ave,Columbus,GA,31904,,(706)748-2418,12,City: Midsize,No,No,Yes,Yes,458,32,14.3,432,0
130402002275,GA-710-0299,1304020,GA-710,PK,5,Allgood Elementary School,Paulding County,Paulding County,312 Hart Rd,Dallas,GA,30157,,(770)443-8070,21,Suburb: Large,No,No,Yes,Yes,902,62,14.5,490,96
130174000667,GA-644-2050,1301740,GA-644,PK,5,Allgood Elementary School,DeKalb County,DeKalb County,659 Allgood Rd,Stone Mountain,GA,30083,,(678)676-5102,21,Suburb: Large,No,No,Yes,Yes,587,42.9,13.7,587,0
130222004320,GA-658-0701,1302220,GA-658,9,11,Alliance Academy for Innovation,Forsyth County,Forsyth County,1100 Lanier 400 Pkwy,Cumming,GA,30040,,(470)695-7823,21,Suburb: Large,No,No,–,–,496,30.9,16.1,39,15
130228000974,GA-660-1050,1302280,GA-660,PK,5,Alpharetta Elementary School,Fulton County,Fulton County,192 Mayfield Rd,Alpharetta,GA,30009,,(470)254-7015,13,City: Small,No,No,–,–,567,49.8,11.4,67,10
130228003364,GA-660-0205,1302280,GA-660,9,12,Alpharetta High School,Fulton County,Fulton County,3595 Webb Bridge Rd,Alpharetta,GA,30005,,(470)254-7640,13,City: Small,No,No,–,–,2268,125.5,18.1,202,57
130117000452,GA-629-0105,1301170,GA-629,PK,5,Alps Road Elementary School,Clarke County,Clarke County,205 Alps Rd,Athens,GA,30606,,(706)548-2261,12,City: Midsize,No,No,Yes,Yes,398,38.2,10.4,366,0
130240001061,GA-663-1052,1302400,GA-663,PK,5,Altama Elementary School,Glynn County,Glynn County,5505 Altama Ave,Brunswick,GA,31525,,(912)264-3563,23,Suburb: Small,No,No,Yes,Yes,489,37.7,13,421,39
130006000011,GA-601-1050,1300060,GA-601,PK,5,Altamaha Elementary School,Appling County,Appling County,344 Altamaha School Rd,Baxley,GA,31513,,(912)367-3713,42,Rural: Distant,No,No,Yes,Yes,428,27.3,15.7,387,0
130219000949,GA-657-1050,1302190,GA-657,PK,5,Alto Park Elementary School,Floyd County,Floyd County,528 Burnett Ferry Rd SW,Rome,GA,30165,,(706)236-1892,23,Suburb: Small,No,No,Yes,Yes,447,33.6,13.3,304,0
130228003535,GA-660-0406,1302280,GA-660,KG,8,Amana Academy School,Fulton County,Fulton County,285 S Main St,Alpharetta,GA,30009,,(678)624-0989,13,City: Small,Yes,No,Yes,Yes,694,55.3,12.5,241,73
130135000578,GA-634-0102,1301350,GA-634,PK,5,Ambrose Elementary School,Coffee County,Coffee County,3753 Vickers Xing,Ambrose,GA,31512,,(912)359-5500,42,Rural: Distant,No,No,Yes,Yes,421,28.1,15,411,0
