NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
300171001063,MT-0861-1775,3001710,MT-0861,6,8,Absarokee 6-8,Absarokee Elem,Stillwater County,327 S Woodard Ave,Absarokee,MT,59001,,(406)328-4583,43,Rural: Remote,†,†,Yes,No,62,4.45,13.9,9,6
300174000002,MT-0862-1126,3001740,MT-0862,9,12,Absarokee High School,Absarokee H S,Stillwater County,327 S Woodard Ave,Absarokee,MT,59001,,(406)328-4583,43,Rural: Remote,†,†,Yes,No,86,8.23,10.4,8,5
300171000001,MT-0861-1125,3001710,MT-0861,PK,5,Absarokee School,Absarokee Elem,Stillwater County,327 S Woodard Ave,Absarokee,MT,59001,,(406)328-4581,43,Rural: Remote,†,†,Yes,No,82,6.36,12.9,14,7
300186001007,MT-0577-1730,3001860,MT-0577,7,8,Alberton 7-8,Alberton K-12 Schools,Mineral County,PO Box 330,Alberton,MT,59820,,(406)722-4413,42,Rural: Distant,†,†,Yes,Yes,18,2.49,7.2,–,–
300186000004,MT-0577-0766,3001860,MT-0577,9,12,Alberton High School,Alberton K-12 Schools,Mineral County,PO Box 330,Alberton,MT,59820,,(406)722-3381,42,Rural: Distant,†,†,Yes,Yes,43,4.66,9.2,–,–
300186000003,MT-0577-0765,3001860,MT-0577,PK,6,Alberton School,Alberton K-12 Schools,Mineral County,PO Box 330,Alberton,MT,59820,,(406)722-4413,42,Rural: Distant,†,†,Yes,Yes,77,9.07,8.5,–,–
301746000541,MT-0536-0719,3017460,MT-0536,PK,8,Alder School,Alder Elem,Madison County,PO Box 127,Alder,MT,59710,,(406)842-5285,43,Rural: Remote,†,†,Yes,Yes,24,3,8,13,8
300387000808,MT-0965-1597,3003870,MT-0965,PK,5,Alkali Creek School,Billings Elem,Yellowstone County,415 North 30th Street,Billings,MT,59101,,(406)281-6200,12,City: Midsize,†,†,–,–,336,21.08,15.9,89,17
300195000006,MT-0096-0132,3001950,MT-0096,PK,8,Alzada School,Alzada Elem,Carter County,Box 8,Alzada,MT,59311,,(406)828-4445,43,Rural: Remote,†,†,–,–,5,1,5,†,†
300198000007,MT-0376-0498,3001980,MT-0376,PK,6,Amsterdam School,Amsterdam Elem,Gallatin County,6360 Camp Creek Road,Manhattan,MT,59741,,(406)282-7216,42,Rural: Distant,†,†,Yes,No,139,10.33,13.5,14,16
