NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
780000200001,VI-002-35,7800002,VI-002,KG,6,ALEXANDER HENDERSON ELEMENTARY SCHOOL,Saint Croix School District,St. Croix Island,2133 Hospital Street,Saint Croix,VI,820,,(340)772-1330,33,Town: Remote,†,No,Yes,Yes,321,33,9.7,318,0
780000200002,VI-002-37,7800002,VI-002,KG,6,ALFREDO ANDREWS ELEMENTARY SCHOOL,Saint Croix School District,St. Croix Island,2133 Hospital Street,Saint Croix,VI,820,,(340)778-1925,33,Town: Remote,†,No,Yes,Yes,446,36,12.4,443,0
780000200003,VI-002-46,7800002,VI-002,KG,8,ARTHUR A. RICHARDS JUNIOR HIGH SCHOOL,Saint Croix School District,St. Croix Island,2133 Hospital Street,Saint Croix,VI,820,,(340)772-1500,33,Town: Remote,†,No,Yes,Yes,272,30,9.1,269,0
780003000034,VI-001-9,7800030,VI-001,6,8,BERTHA BOSCHULTE JUNIOR HIGH,Saint Thomas - Saint John School District,St. Thomas Island,1834 Kongens Gade,Saint Thomas,VI,802,,(340)775-4222,33,Town: Remote,†,No,Yes,Yes,439,44,10,436,0
780003000033,VI-001-25,7800030,VI-001,4,8,CANCRYN JUNIOR HIGH SCHOOL,Saint Thomas - Saint John School District,St. Thomas Island,1834 Kongens Gade,Saint Thomas,VI,802,,(340)774-4540,33,Town: Remote,†,No,Yes,Yes,488,44,11.1,485,0
780003000005,VI-001-27,7800030,VI-001,9,12,CHARLOTTE AMALIE HIGH SCHOOL,Saint Thomas - Saint John School District,St. Thomas Island,1834 Kongens Gade,Saint Thomas,VI,802,,(340)774-0780,33,Town: Remote,†,No,Yes,Yes,993,101,9.8,990,0
780000200006,VI-002-34,7800002,VI-002,PK,6,CLAUDE O. MARKOE ELEMENTARY SCHOOL,Saint Croix School District,St. Croix Island,2133 Hospital Street,Saint Croix,VI,820,,(340)772-4510,33,Town: Remote,†,No,Yes,Yes,400,34,11.8,397,0
780000200009,VI-002-45,7800002,VI-002,–,–,ELENA L. CHRISTIAN JUNIOR HIGH SCCHOOL,Saint Croix School District,St. Croix Island,2133 Hospital Street,Saint Croix,VI,820,,(340)773-4445,33,Town: Remote,†,No,Yes,Yes,230,27,8.5,227,0
780000200011,VI-002-32,7800002,VI-002,KG,8,EULALIE RIVERA ELEMENTARY SCHOOL,Saint Croix School District,St. Croix Island,2133 Hospital Street,Saint Croix,VI,820,,(340)692-2121,33,Town: Remote,†,No,Yes,Yes,298,31,9.6,295,0
780003000015,VI-001-28,7800030,VI-001,9,12,IVANNA EUDORA KEAN HIGH SCHOOL,Saint Thomas - Saint John School District,St. Thomas Island,1834 Kongens Gade,Saint Thomas,VI,802,,(340)775-6380,33,Town: Remote,†,No,Yes,Yes,697,72,9.7,694,0
780003000018,VI-001-18,7800030,VI-001,KG,6,JANE E. TUITT ELEMENTARY SCHOOL,Saint Thomas - Saint John School District,St. Thomas Island,1834 Kongens Gade,Saint Thomas,VI,802,,(340)774-0520,33,Town: Remote,†,No,Yes,Yes,149,12,12.4,146,0
780000200037,VI-002-44,7800002,VI-002,7,8,JOHN H. WOODSON JUNIOR HIGH SCHOOL,Saint Croix School District,St. Croix Island,2133 Hospital Street,Saint Croix,VI,820,,(340)778-2710,33,Town: Remote,†,No,Yes,Yes,287,35,8.2,284,0
780003000019,VI-001-20,7800030,VI-001,KG,6,JOSEPH GOMEZ ELEMENTARY SCHOOL,Saint Thomas - Saint John School District,St. Thomas Island,1834 Kongens Gade,Saint Thomas,VI,802,,(340)775-4490,33,Town: Remote,†,No,Yes,Yes,583,46,12.7,580,0
780003000020,VI-001-12,7800030,VI-001,KG,6,JOSEPH SIBILLY ELEMENTARY SCHOOL,Saint Thomas - Saint John School District,St. Thomas Island,1834 Kongens Gade,Saint Thomas,VI,802,,(340)774-7001,33,Town: Remote,†,No,Yes,Yes,207,18,11.5,204,0
