NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
40553000451,AZ-4457-5958,405530,AZ-4457,KG,5,A J Mitchell Elementary School,Nogales Unified District (4457),Santa Cruz County,855 N BAUTISTA ST,NOGALES,AZ,85621,1843,(520)287-0840,33,Town: Remote,No,–,Yes,Yes,373,19,19.6,331,11
40463000999,AZ-4404-5768,404630,AZ-4404,7,12,A. C. E.,Marana Unified District (4404),Pima County,11279 W GRIER RD,MARANA,AZ,85653,9609,(520)682-4773,41,Rural: Fringe,No,–,Yes,Yes,7,6.8,1,†,†
40010601892,AZ-4331-6344,400106,AZ-4331,9,12,AAEC - Paradise Valley,Arizona Agribusiness & Equine Center Inc. (4331),Maricopa County,3775 E UNION HILLS DR,PHOENIX,AZ,85050,3214,(602)243-8004,11,City: Large,Yes,–,Yes,No,336,–,†,–,–
40041701588,AZ-85816-5503,400417,AZ-85816,9,12,AAEC - SMCC Campus,Arizona Agribusiness & Equine Center Inc. (85816),Maricopa County,7050 S 24TH ST BLDG AAEC,PHOENIX,AZ,85042,5806,(602)243-8004,11,City: Large,Yes,–,Yes,Yes,492,–,†,–,–
40673001433,AZ-4466-8132,406730,AZ-4466,KG,5,Abia Judd Elementary School,Prescott Unified District (4466),Yavapai County,1749 N WILLIAMSON VALLEY RD,PRESCOTT,AZ,86305,5219,(928)717-3263,13,City: Small,No,–,Yes,Yes,490,26.6,18.4,102,39
40906000652,AZ-4260-5274,409060,AZ-4260,PK,8,Abraham Lincoln Traditional School,Washington Elementary School District (4260),Maricopa County,10444 N 39TH AVE,PHOENIX,AZ,85051,1179,(602)896-6300,11,City: Large,No,–,Yes,No,610,33.75,18.1,213,54
40906000915,AZ-4260-5244,409060,AZ-4260,KG,6,Acacia Elementary School,Washington Elementary School District (4260),Maricopa County,3021 W EVANS DR,PHOENIX,AZ,85053,5748,(602)896-5000,11,City: Large,No,–,Yes,Yes,865,45.55,19,570,77
40885001510,AZ-4413-91168,408850,AZ-4413,KG,5,Acacia Elementary School,Vail Unified District (4413),Pima County,12955 E COLOSSAL CAVE RD,VAIL,AZ,85641,9003,(520)879-2200,41,Rural: Fringe,No,–,–,–,728,38.1,19.1,167,72
40081703191,AZ-90506-90507,400817,AZ-90506,KG,5,Academy Adventures Midtown,Ed Ahead (90506),Pima County,3025 N WINSTEL BLVD,TUCSON,AZ,85716,1740,(520)465-1415,11,City: Large,Yes,–,Yes,Yes,66,–,†,60,2
40061303135,AZ-81123-81124,400613,AZ-81123,KG,5,Academy Adventures Primary School,Educational Impact Inc. (81123),Pima County,3902 N FLOWING WELLS RD,TUCSON,AZ,85705,2403,(520)407-1200,11,City: Large,Yes,–,†,†,0,–,†,–,–
40079702994,AZ-90199-90200,400797,AZ-90199,KG,8,Academy Del Sol,Academy Del Sol Inc. (90199),Pima County,732 W ROGER RD,TUCSON,AZ,85705,2621,(520)325-2800,11,City: Large,Yes,–,–,–,136,–,†,59,65
40079703230,AZ-90199-90770,400797,AZ-90199,KG,8,Academy Del Sol - Hope,Academy Del Sol Inc. (90199),Pima County,7102 W VALLEY CREST PL,TUCSON,AZ,85757,8709,(520)325-2800,21,Suburb: Large,Yes,–,–,–,656,–,†,400,91
40041402412,AZ-85540-85541,400414,AZ-85540,9,12,Academy of Building Industries,Academy of Building Industries Inc. (85540),Mohave County,1547 E LIPAN BLVD,FORT MOHAVE,AZ,86426,6031,(928)788-2601,33,Town: Remote,Yes,–,Yes,Yes,119,–,†,–,–
40036802037,AZ-79961-79094,400368,AZ-79961,KG,12,Academy of Math and Science,Academy of Mathematics and Science Inc. (79961),Pima County,1557 W PRINCE RD,TUCSON,AZ,85705,3023,(520)293-2676,11,City: Large,No,–,Yes,Yes,528,–,†,258,52
40094003499,AZ-92768-92769,400940,AZ-92768,KG,8,Academy of Math and Science Camelback,Academy of Mathematics and Science Inc. (92768),Maricopa County,6633 W CAMELBACK RD,PHOENIX,AZ,85033,1614,(623)295-9069,11,City: Large,Yes,–,Yes,Yes,1132,–,†,905,56
40089103581,AZ-90878-911531,400891,AZ-90878,KG,8,Academy of Math and Science Desert Sky,Academy of Mathematics and Science South Inc. (90878),Maricopa County,3448 N 1ST AVE,TUCSON,AZ,85719,1842,(623)242-2597,11,City: Large,Yes,–,Yes,Yes,948,–,†,786,94
40089103618,AZ-90878-1000119,400891,AZ-90878,KG,8,Academy of Math and Science Glendale,Academy of Mathematics and Science South Inc. (90878),†,3448 N 1ST AVE,TUCSON,AZ,85719,1842,(623)547-5587,†,N,Yes,†,†,†,†,†,†,†,†
40089103604,AZ-90878-1000118,400891,AZ-90878,KG,8,Academy of Math and Science Peoria Advanced,Academy of Mathematics and Science South Inc. (90878),†,3448 N 1ST AVE,TUCSON,AZ,85719,1842,(520)887-5392,†,N,Yes,†,†,†,†,†,†,†,†
40089103399,AZ-90878-92197,400891,AZ-90878,KG,8,Academy of Mathematics and Science South,Academy of Mathematics and Science South Inc. (90878),Maricopa County,1557 W PRINCE RD,TUCSON,AZ,85705,3023,(520)887-5392,11,City: Large,Yes,–,Yes,Yes,527,–,†,458,21
40020203141,AZ-78897-81130,400202,AZ-78897,KG,5,Academy of Tucson Elementary School,Academy of Tucson Inc. (78897),Pima County,9209 E WRIGHTSTOWN RD,TUCSON,AZ,85715,5514,(520)886-6076,11,City: Large,Yes,–,Yes,No,214,–,†,–,–
40020201959,AZ-78897-78898,400202,AZ-78897,9,12,Academy of Tucson High School,Academy of Tucson Inc. (78897),Pima County,10720 E 22ND ST,TUCSON,AZ,85748,7029,(520)733-0096,11,City: Large,Yes,–,Yes,No,158,–,†,–,–
40020202312,AZ-78897-79986,400202,AZ-78897,5,8,Academy of Tucson Middle School,Academy of Tucson Inc. (78897),Pima County,7310 E 22ND ST,TUCSON,AZ,85710,6427,(520)749-1413,11,City: Large,Yes,–,Yes,Yes,260,–,†,–,–
40027601841,AZ-79213-10795,400276,AZ-79213,9,12,Academy with Community Partners,Academy with Community Partners Inc (79213),Maricopa County,433 N HALL,MESA,AZ,85203,7407,(480)833-0068,11,City: Large,No,–,Yes,Yes,135,–,†,–,–
40012101581,AZ-4297-5462,400121,AZ-4297,9,12,Accelerated Learning Center,Accelerated Learning Center Inc. (4297),Maricopa County,4105 E SHEA BLVD,PHOENIX,AZ,85028,3525,(602)485-0309,11,City: Large,Yes,–,–,–,179,–,†,–,–
40012901790,AZ-6364-5891,400129,AZ-6364,KG,12,Accelerated Learning Laboratory,Accelerated Elementary and Secondary Schools (6364),Pima County,5245 N CAMINO DE OESTE,TUCSON,AZ,85745,8925,(520)743-2256,41,Rural: Fringe,Yes,–,–,–,167,–,†,–,–
40012201585,AZ-4325-5496,400122,AZ-4325,KG,8,ACCLAIM Academy,Acclaim Charter School (4325),Maricopa County,7624 W INDIAN SCHOOL RD,PHOENIX,AZ,85033,3009,(623)691-0919,11,City: Large,Yes,–,Yes,Yes,370,–,†,336,22
40032002227,AZ-79437-79438,400320,AZ-79437,3,8,Acorn Montessori Charter School,Acorn Montessori Charter School (79437),Yavapai County,8556 E LOOS DR,Prescott Valley,AZ,86314,6455,(928)772-5778,23,Suburb: Small,Yes,–,Yes,Yes,352,–,†,200,42
40032002576,AZ-79437-88180,400320,AZ-79437,KG,2,Acorn Montessori Charter School Inc. - West,Acorn Montessori Charter School (79437),Yavapai County,8556 E LOOS DR,Prescott Valley,AZ,86314,6455,(928)772-5778,23,Suburb: Small,Yes,–,Yes,Yes,136,–,†,66,20
40497000378,AZ-4235-4913,404970,AZ-4235,PK,6,Adams Elementary School,Mesa Unified District (4235),Maricopa County,738 S LONGMORE,MESA,AZ,85202,1908,(480)472-4300,11,City: Large,No,–,Yes,Yes,690,35.83,19.3,510,75
40080503050,AZ-90138-90139,400805,AZ-90138,KG,8,Adams Traditional Academy,Choice Academies Inc. (90138),Maricopa County,2323 W PARKSIDE LN,PHOENIX,AZ,85027,1256,(602)938-5517,11,City: Large,Yes,–,–,–,609,–,†,24,6
40061302553,AZ-81123-87415,400613,AZ-81123,KG,8,Adventure School,Educational Impact Inc. (81123),Pima County,1950 E PLACITA SIN NOMBRE,TUCSON,AZ,85718,2092,(520)296-0656,11,City: Large,Yes,–,–,–,157,–,†,–,–
40828001150,AZ-4408-5830,408280,AZ-4408,PK,6,Agua Caliente School,Tanque Verde Unified District (4408),Pima County,11420 E LIMBERLOST RD,TUCSON,AZ,85749,8103,(520)749-2235,21,Suburb: Large,No,–,Yes,No,508,31.35,16.2,40,15
40045000001,AZ-4289-5454,400450,AZ-4289,9,12,Agua Fria High School,Agua Fria Union High School District (4289),Maricopa County,530 E RILEY DR,AVONDALE,AZ,85323,2154,(623)932-7300,22,Suburb: Midsize,No,–,Yes,Yes,1830,97.9,18.7,860,183
