NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
720003000010,PR-01-35295,7200030,PR-01,6,8,20 DE SEPTIEMBRE DE 1988,PUERTO RICO DEPARTMENT OF EDUCATION,Vieques Municipio,PO BOX 1554,VIEQUES,PR,765,,(787)741-3091,32,Town: Distant,No,†,Yes,Yes,210,17,12.4,175,16
720003002076,PR-01-74864,7200030,PR-01,6,8,ABELARDO DIAZ ALFARO (INT. PINAS),PUERTO RICO DEPARTMENT OF EDUCATION,Toa Alta Municipio,RR 3 BOX 10190,TOA ALTA,PR,953,,(787)797-0315,21,Suburb: Large,No,†,Yes,Yes,484,37,13.1,403,36
720003000291,PR-01-20578,7200030,PR-01,KG,5,ABELARDO DIAZ MORALES,PUERTO RICO DEPARTMENT OF EDUCATION,Caguas Municipio,CALL BOX 4952 SUITE 353,CAGUAS,PR,726,,(787)743-9056,13,City: Small,No,†,Yes,Yes,425,36,11.8,354,32
720003001879,PR-01-15784,7200030,PR-01,9,12,ABELARDO MARTINEZ OTERO,PUERTO RICO DEPARTMENT OF EDUCATION,Arecibo Municipio,PO BOX 9059,ARECIBO,PR,614,,(787)879-2614,13,City: Small,No,†,Yes,Yes,432,35,12.3,360,32
720003001038,PR-01-52357,7200030,PR-01,KG,5,ABRAHAM LINCOLN,PUERTO RICO DEPARTMENT OF EDUCATION,Ponce Municipio,46 CAMPECHE,PONCE,PR,731,,(787)842-0117,12,City: Midsize,No,†,Yes,Yes,266,19,14,222,20
720003001278,PR-01-61598,7200030,PR-01,PK,5,ABRAHAM LINCOLN,PUERTO RICO DEPARTMENT OF EDUCATION,San Juan Municipio,PO BOX 9023347,SAN JUAN,PR,901,,(787)722-1561,11,City: Large,No,†,Yes,Yes,134,15,8.9,112,10
720003000522,PR-01-27714,7200030,PR-01,PK,5,ADALBERTO SANCHEZ MORALES (ELEM. BO. ANCONES),PUERTO RICO DEPARTMENT OF EDUCATION,Arroyo Municipio,PO BOX 164,ARROYO,PR,714,,(787)271-2973,23,Suburb: Small,No,†,Yes,Yes,341,28,12.2,284,26
720003001976,PR-01-26336,7200030,PR-01,6,12,ADELA BRENES TEXIDOR,PUERTO RICO DEPARTMENT OF EDUCATION,Guayama Municipio,PO BOX 2188,GUAYAMA,PR,785,,(787)864-7700,23,Suburb: Small,No,†,Yes,Yes,349,28,12.5,291,26
720003000370,PR-01-78931,7200030,PR-01,9,12,ADELA ROLON FUENTES,PUERTO RICO DEPARTMENT OF EDUCATION,Toa Alta Municipio,PO BOX 391,TOA ALTA,PR,954,,(787)279-8282,21,Suburb: Large,No,†,Yes,Yes,510,33,15.5,425,38
720003001230,PR-01-71514,7200030,PR-01,9,12,ADOLFINA IRIZARRY DE PUIG,PUERTO RICO DEPARTMENT OF EDUCATION,Toa Baja Municipio,PO BOX 2019,TOA BAJA,PR,951,,(787)794-2018,21,Suburb: Large,No,†,Yes,Yes,430,35,12.3,358,32
720003001882,PR-01-58594,7200030,PR-01,PK,8,ADRIAN TORRES TORRES,PUERTO RICO DEPARTMENT OF EDUCATION,Jayuya Municipio,CARR 141-R KM 2 HM 1,JAYUYA,PR,664,,(787)828-3445,31,Town: Fringe,No,†,Yes,Yes,386,34,11.4,321,29
720003000343,PR-01-32375,7200030,PR-01,2,12,ADRIANNE SERRANO,PUERTO RICO DEPARTMENT OF EDUCATION,Vieques Municipio,HC 02 BOX 1406,VIEQUES,PR,765,9712,(787)741-8692,41,Rural: Fringe,No,†,Yes,Yes,116,7,16.6,97,8
720003002026,PR-01-74807,7200030,PR-01,KG,5,AGAPITO ROSARIO ROSARIO,PUERTO RICO DEPARTMENT OF EDUCATION,Vega Baja Municipio,PO BOX 7004,VEGA BAJA,PR,693,,(787)858-2988,21,Suburb: Large,No,†,Yes,Yes,565,45,12.6,471,42
720003001155,PR-01-50740,7200030,PR-01,6,8,AGRIPINA SEDA,PUERTO RICO DEPARTMENT OF EDUCATION,GuÃƒÂ¡nica Municipio,PO BOX 690,GUANICA,PR,653,,(787)821-2310,23,Suburb: Small,No,†,Yes,Yes,226,20,11.3,188,17
