NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
10108001767,AL-126-0015,101080,AL-126,PK,6,A M Windham Elementary School,Daleville City,Dale County,626 N Daleville Ave,Daleville,AL,36322,2006,(334)598-4466,32,Town: Distant,No,No,Yes,Yes,627,33,19,424,44
10174000602,AL-034-0017,101740,AL-034,PK,6,Abbeville Elementary School,Henry County,Henry County,100 Elm St,Abbeville,AL,36310,2413,(334)585-3679,42,Rural: Distant,No,No,Yes,Yes,380,24,15.8,292,26
10174000600,AL-034-0020,101740,AL-034,7,12,Abbeville High School,Henry County,Henry County,411 Graball Cutoff,Abbeville,AL,36310,2073,(334)585-2065,42,Rural: Distant,No,No,Yes,Yes,342,21,16.3,276,26
10351001342,AL-066-0010,103510,AL-066,PK,6,ABC Elementary,Wilcox County,Wilcox County,3000 County Road 29,Alberta,AL,36720,2817,(334)573-2550,43,Rural: Remote,No,No,Yes,Yes,118,7,16.9,106,0
10033001479,AL-113-0015,100330,AL-113,PK,5,Abrams Elementary School,Bessemer City,Jefferson County,1200 23rd St N,Bessemer,AL,35020,3443,(205)432-3100,21,Suburb: Large,No,No,Yes,Yes,289,18,16.1,240,4
10180000620,AL-159-0025,101800,AL-159,PK,5,Academy For Academics Arts Elementary School,Huntsville City,Madison County,2800 Poplar Ave NW,Huntsville,AL,35816,3230,(256)428-7600,12,City: Midsize,No,Yes,–,–,653,46,14.2,215,42
10180002478,AL-159-0026,101800,AL-159,6,8,Academy for Academics and Arts Middle School,Huntsville City,†,4800 Sparkman Drive,Huntsville,AL,35810,,(256)428-7600,†,N,No,†,†,†,†,†,†,†,†
10180000624,AL-159-0080,101800,AL-159,PK,8,Academy For Science Foreign Language,Huntsville City,Madison County,3221 Mastin Lake Rd NW,Huntsville,AL,35810,2823,(256)428-7640,12,City: Midsize,No,Yes,–,–,556,35.49,15.7,292,47
10180002486,AL-159-0081,101800,AL-159,6,8,Academy For Science Foreign Language Middle School,Huntsville City,†,3221 Mastin Lake Road,Huntsville,AL,35810,,(256)428-7000,†,N,No,†,†,†,†,†,†,†,†
10019702432,AL-800-0010,100197,AL-800,9,12,Acceleration Day and Evening Academy,Acceleration Day and Evening Academy,Mobile County,3100 Cottage Hill Road Bldg 3,Mobile,AL,36606,,(251)301-0050,12,City: Midsize,Yes,No,Yes,Yes,300,10,30,216,0
10162001665,AL-144-0085,101620,AL-144,PK,5,Adams Elementary School,Gadsden City,Etowah County,919 Raley St,Gadsden,AL,35903,2064,(256)492-4952,13,City: Small,No,No,Yes,Yes,428,24.66,17.4,342,16
10192000681,AL-037-0030,101920,AL-037,PK,5,Adamsville Elementary School,Jefferson County,Jefferson County,4600 Hazelwood Rd,Adamsville,AL,35005,1829,(205)379-2400,21,Suburb: Large,No,No,Yes,Yes,325,20.4,15.9,231,29
10358001463,AL-067-0015,103580,AL-067,PK,6,Addison Elementary School,Winston County,Winston County,PO Box 660,Addison,AL,35540,660,(205)717-3310,42,Rural: Distant,No,No,Yes,Yes,319,18,17.7,130,27
10358001356,AL-067-0010,103580,AL-067,7,12,Addison High School,Winston County,Winston County,PO Box 240,Addison,AL,35540,240,(205)717-3314,42,Rural: Distant,No,No,–,–,295,18.61,15.9,97,33
10039001296,AL-114-3000,100390,AL-114,KG,12,Adolescent Day Treatment,Birmingham City,Jefferson County,PO Box 10007,Birmingham,AL,35202,7,(205)231-4633,12,City: Midsize,No,No,–,–,–,–,†,–,–
10318001209,AL-061-0010,103180,AL-061,PK,4,AH Watwood Elementary School,Talladega County,Talladega County,3002 Limbaugh Blvd,Childersburg,AL,35044,2046,(256)315-5460,32,Town: Distant,No,No,Yes,Yes,317,19.49,16.3,206,21
10129002147,AL-026-0042,101290,AL-026,3,4,Airport Road Intermediate School,Elmore County,Elmore County,384 Blackmon Farm Ln,Coosada,AL,36020,3011,(334)285-2115,21,Suburb: Large,No,No,Yes,Yes,647,35,18.5,371,47
10018302114,AL-709-0031,100183,AL-709,–,–,Alabama Clinical Schools,Alabama Clinical Schools,Jefferson County,PO Box 100968,Birmingham,AL,35210,4308,(205)836-9923,12,City: Midsize,No,No,–,–,†,–,†,–,–
10000901404,AL-600-9010,100009,AL-600,KG,12,Alabama School For Blind,Al Inst Deaf And Blind,Talladega County,PO Box 455,Talladega,AL,35161,455,(256)761-3259,32,Town: Distant,No,No,–,–,–,–,†,–,–
10000901403,AL-600-9000,100009,AL-600,KG,12,Alabama School For Deaf,Al Inst Deaf And Blind,Talladega County,PO Box 698,Talladega,AL,35161,698,(256)761-3214,32,Town: Distant,No,No,–,–,–,–,†,–,–
10141002439,AL-133-2060,101410,AL-133,KG,12,Alabama Virtual Academy at Eufaula City Schools,Eufaula City,Barbour County,831 West Washington Street,Eufaula,AL,36027,,(334)689-5059,32,Town: Distant,No,No,–,–,2798,0,†,1327,68
10248001696,AL-052-0005,102480,AL-052,9,12,Albert P Brewer High School,Morgan County,Morgan County,59 Eva Rd,Somerville,AL,35670,6423,(256)778-8634,42,Rural: Distant,No,No,–,–,737,53.55,13.8,283,64
10000500889,AL-101-0200,100005,AL-101,3,4,Albertville Elementary School,Albertville City,Marshall County,145 West End Drive,Albertville,AL,35950,2532,(256)894-4822,32,Town: Distant,No,No,Yes,Yes,915,51,17.9,649,42
10000500871,AL-101-0020,100005,AL-101,9,12,Albertville High School,Albertville City,Marshall County,402 E McCord Ave,Albertville,AL,35950,2399,(256)894-5000,32,Town: Distant,No,No,Yes,Yes,1485,78,19,792,69
10000501616,AL-101-0035,100005,AL-101,PK,KG,Albertville Kindergarten and PreK,Albertville City,Marshall County,257 Country Club Rd,Albertville,AL,35951,3927,(256)878-7922,32,Town: Distant,No,No,Yes,Yes,464,29,16,363,20
10000500870,AL-101-0010,100005,AL-101,7,8,Albertville Middle School,Albertville City,Marshall County,600 E Alabama Ave,Albertville,AL,35950,2336,(256)878-2341,32,Town: Distant,No,No,Yes,Yes,814,38,21.4,522,52
10000502150,AL-101-0005,100005,AL-101,1,2,Albertville Primary School,Albertville City,Marshall County,1100 Horton Rd,Albertville,AL,35950,2532,(256)878-6611,32,Town: Distant,No,No,Yes,Yes,1076,61.5,17.5,749,34
10003000001,AL-102-0010,100030,AL-102,7,8,Alexander City Middle School,Alexander City,Tallapoosa County,359 State St,Alexander City,AL,35010,1948,(256)234-8660,32,Town: Distant,No,No,–,–,426,24.5,17.4,233,21
10054001747,AL-008-0005,100540,AL-008,PK,4,Alexandria Elementary School,Calhoun County,Calhoun County,PO Box 121,Alexandria,AL,36250,121,(256)741-4300,41,Rural: Fringe,No,No,Yes,Yes,674,39,17.3,331,31
10054000232,AL-008-0010,100540,AL-008,9,12,Alexandria High School,Calhoun County,Calhoun County,PO Box 180,Alexandria,AL,36250,180,(256)741-4400,41,Rural: Fringe,No,No,–,–,550,35.07,15.7,215,30
10054002429,AL-008-0015,100540,AL-008,5,8,Alexandria Middle School,Calhoun County,Calhoun County,353 Stadium Dr,Alexandria,AL,36250,,(256)741-4501,41,Rural: Fringe,No,No,–,–,562,28,20.1,270,31
10273001097,AL-054-0010,102730,AL-054,PK,6,Aliceville Elementary School,Pickens County,Pickens County,800 Columbus Rd NW,Aliceville,AL,35442,1623,(205)373-8722,43,Rural: Remote,No,No,Yes,Yes,488,28.29,17.2,414,20
10273001098,AL-054-0020,102730,AL-054,7,12,Aliceville High School,Pickens County,Pickens County,417 3rd St SE,Aliceville,AL,35442,2799,(205)373-6378,43,Rural: Remote,No,No,Yes,Yes,237,14.39,16.5,196,15
10201000762,AL-039-6000,102010,AL-039,10,12,Allen Thornton Career Technical Center,Lauderdale County,Lauderdale County,7275 Highway 72,Killen,AL,35645,7916,(256)757-2101,41,Rural: Fringe,No,No,–,–,–,0,†,–,–
10237000572,AL-049-0042,102370,AL-049,PK,5,Allentown Elementary School,Mobile County,Mobile County,10330 Howells Ferry Rd,Semmes,AL,36575,6700,(251)221-1000,41,Rural: Fringe,No,No,–,–,796,50,15.9,364,58
10042000670,AL-005-0010,100420,AL-005,2,12,Allgood Alternative School,Blount County,Blount County,45 Community Rd,Oneonta,AL,35121,3308,(205)274-9865,32,Town: Distant,No,No,–,–,–,0,†,–,–
10237000989,AL-049-0136,102370,AL-049,9,12,Alma Bryant High School,Mobile County,Mobile County,14001 Hurricane Blvd,Irvington,AL,36544,3071,(251)824-3213,41,Rural: Fringe,No,No,Yes,Yes,1715,96,17.9,934,108
