NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
190822000409,IA-781476 000-781476 118,1908220,IA-781476 000,9,12,Abraham Lincoln High School,Council Bluffs Comm School District,Pottawattamie County,1205 Bonham Ave,Council Bluffs,IA,51503,,(712)328-6481,13,City: Small,No,†,Yes,No,1301,84.94,15.3,347,190
190309000006,IA-390018 000-390018 409,1903090,IA-390018 000,PK,6,Adair-Casey Elementary School,Adair-Casey Comm School District,Guthrie County,3384 Indigo Ave,Adair,IA,50002,,(641)746-2242,43,Rural: Remote,No,†,Yes,Yes,148,13.45,11,55,11
190309002236,IA-390018 000-390018 209,1903090,IA-390018 000,7,8,Adair-Casey Jr. High School,Adair-Casey Comm School District,Guthrie County,3384 Indigo Ave.,Adair,IA,50002,,(641)746-2241,43,Rural: Remote,No,†,Yes,No,110,11.7,9.4,30,10
190633000522,IA-140999 000-140999 427,1906330,IA-140999 000,3,4,Adams Elementary School,Carroll Comm School District,Carroll County,1026 N Adams St,Carroll,IA,51401,,(712)792-8040,33,Town: Remote,No,†,Yes,No,249,12.97,19.2,97,33
190858000456,IA-821611 000-821611 409,1908580,IA-821611 000,KG,5,Adams Elementary School,Davenport Comm School District,Scott County,3029 N Division St,Davenport,IA,52804,,(563)723-6100,12,City: Midsize,No,†,Yes,No,529,38.25,13.8,280,45
190315000008,IA-250027 000-250027 409,1903150,IA-250027 000,PK,2,Adel Elementary School,Adel DeSoto Minburn Comm School District,Dallas County,1608 Grove St.,Adel,IA,50003,,(515)993-4285,41,Rural: Fringe,No,†,Yes,No,519,34.57,15,71,20
190315001986,IA-250027 000-250027 412,1903150,IA-250027 000,6,8,ADM Middle School,Adel DeSoto Minburn Comm School District,Dallas County,801 Nile Kinnick Dr S,Adel,IA,50003,,(515)993-3490,31,Town: Fringe,No,†,Yes,No,442,27.16,16.3,72,24
190315000009,IA-250027 000-250027 172,1903150,IA-250027 000,9,12,ADM Senior High School,Adel DeSoto Minburn Comm School District,Dallas County,801 Nile Kinnick Dr S,Adel,IA,50003,,(515)993-4584,31,Town: Fringe,No,†,Yes,No,505,34.03,14.8,64,26
190306002212,IA-420009 000-380009 436,1903060,IA-420009 000,PK,2,AGWSR Elementary at Wellsburg,AGWSR Comm School District,Grundy County,609 S Monroe,Wellsburg,IA,50680,,(641)869-5121,42,Rural: Distant,No,†,Yes,No,83,4.3,19.3,22,7
190306000003,IA-420009 000-420009 409,1903060,IA-420009 000,KG,5,AGWSR Elementary School,AGWSR Comm School District,Hardin County,918 4th Ave,Ackley,IA,50601,,(641)847-2611,43,Rural: Remote,No,†,Yes,Yes,212,13.6,15.6,85,11
190306000004,IA-420009 000-420009 109,1903060,IA-420009 000,9,12,AGWSR High School,AGWSR Comm School District,Hardin County,918 4th Ave,Ackley,IA,50601,,(641)847-2633,43,Rural: Remote,No,†,Yes,No,156,15.89,9.8,42,14
190306000634,IA-420009 000-380009 172,1903060,IA-420009 000,6,8,AGWSR Middle School,AGWSR Comm School District,Grundy County,P.O. Box 188,Wellsburg,IA,50680,,(641)869-5121,42,Rural: Distant,No,†,Yes,No,146,11.03,13.2,56,4
190408000102,IA-780441 000-780441 172,1904080,IA-780441 000,9,12,AHSTW High School,AHSTW Comm School District,Pottawattamie County,768 S Maple,Avoca,IA,51521,,(712)343-6364,43,Rural: Remote,No,†,Yes,No,224,26.45,8.5,62,15
190408002261,IA-780441 000-780441 209,1904080,IA-780441 000,4,8,AHSTW Intermediate School,AHSTW Comm School District,Pottawattamie County,768 S Maple St,Avoca,IA,51521,,(712)343-6364,43,Rural: Remote,No,†,Yes,No,260,4,65,86,21
190408000101,IA-780441 000-780441 409,1904080,IA-780441 000,PK,3,AHSTW Primary School,AHSTW Comm School District,Pottawattamie County,768 S Maple,Avoca,IA,51521,,(712)343-6364,43,Rural: Remote,No,†,Yes,Yes,257,25.2,10.2,99,10
190322001937,IA-750063 000-750063 409,1903220,IA-750063 000,KG,5,Akron Westfield Elementary School,Akron Westfield Comm School District,Plymouth County,P.O. Box 950,Akron,IA,51001,,(712)568-3322,42,Rural: Distant,No,†,Yes,Yes,277,20.29,13.7,72,24
190322001938,IA-750063 000-750063 418,1903220,IA-750063 000,6,8,Akron Westfield Middle School,Akron Westfield Comm School District,Plymouth County,P.O. Box 950,Akron,IA,51001,,(712)568-2020,42,Rural: Distant,No,†,Yes,No,148,4.26,34.7,41,8
190322001939,IA-750063 000-750063 172,1903220,IA-750063 000,9,12,Akron Westfield Senior High School,Akron Westfield Comm School District,Plymouth County,Box 950,Akron,IA,51001,,(712)568-2020,42,Rural: Distant,No,†,Yes,No,179,18.95,9.4,31,10
192094001251,IA-824784 000-824784 427,1920940,IA-824784 000,PK,6,Alan Shepard Elementary School,North Scott Comm School District,Scott County,220 West Grove St.,Long Grove,IA,52756,8761,(563)285-8041,41,Rural: Fringe,No,†,Yes,No,424,28.6,14.8,37,6
190003101300,IA-110072 000-110072 409,1900031,IA-110072 000,PK,6,Albert City-Truesdale Elementary School,Albert City-Truesdale Comm School District,Buena Vista County,Box 98,Albert City,IA,50510,,(712)843-5416,43,Rural: Remote,No,†,Yes,Yes,111,11.75,9.4,30,12
190327000017,IA-680081 000-680081 109,1903270,IA-680081 000,9,12,Albia High School,Albia Comm School District,Monroe County,503 B Ave East,Albia,IA,52531,,(641)932-2161,33,Town: Remote,No,†,Yes,No,361,27.16,13.3,113,14
190327001406,IA-680081 000-680081 209,1903270,IA-680081 000,7,8,Albia Middle School,Albia Comm School District,Monroe County,503 B Ave E,Albia,IA,52531,,(641)932-2161,33,Town: Remote,No,†,Yes,No,190,8.9,21.3,61,13
190330000024,IA-570099 000-570099 409,1903300,IA-570099 000,PK,5,Alburnett Elementary School,Alburnett Comm School District,Linn County,P. O. Box 400,Alburnett,IA,52202,,(319)842-2261,41,Rural: Fringe,No,†,Yes,No,352,23.98,14.7,73,11
190330002193,IA-570099 000-570099 209,1903300,IA-570099 000,6,8,Alburnett Middle School,Alburnett Comm School District,Linn County,P.O. Box 400,Alburnett,IA,52202,,(319)842-2263,41,Rural: Fringe,No,†,Yes,No,157,4.99,31.5,37,3
190330000025,IA-570099 000-570099 172,1903300,IA-570099 000,9,12,Alburnett Senior High School,Alburnett Comm School District,Linn County,P. O. Box 400,Alburnett,IA,52202,,(319)842-2263,41,Rural: Fringe,No,†,Yes,No,202,21.75,9.3,27,9
190003201317,IA-420108 000-420108 409,1900032,IA-420108 000,PK,6,Alden Elementary School,Alden Comm School District,Hardin County,P.O. Box 48,Alden,IA,50006,,(515)859-3393,42,Rural: Distant,No,†,Yes,No,170,16.99,10,49,12
190579000191,IA-290882 000-290882 218,1905790,IA-290882 000,5,6,Aldo Leopold Intermediate School,Burlington Comm School District,Des Moines County,3075 Sunnyside Avenue,Burlington,IA,52601,,(319)752-8390,33,Town: Remote,No,†,Yes,No,354,29.96,11.8,250,15
191470002224,IA-523141 000-523141 442,1914700,IA-523141 000,PK,6,Alexander Elementary,Iowa City Comm School District,Johnson County,3571 Sycamore St.,Iowa City,IA,52240,,(319)688-1095,41,Rural: Fringe,No,†,Yes,Yes,458,41.12,11.1,279,32
190336000030,IA-550126 000-550126 109,1903360,IA-550126 000,9,12,Algona High School,Algona Comm School District,Kossuth County,601 S Hale,Algona,IA,50511,,(515)295-7207,41,Rural: Fringe,No,†,Yes,No,431,28.94,14.9,103,39
190336000034,IA-550126 000-550126 209,1903360,IA-550126 000,5,8,Algona Middle School,Algona Comm School District,Kossuth County,601 S Hale,Algona,IA,50511,,(515)295-7207,41,Rural: Fringe,No,†,Yes,No,441,25.78,17.1,141,46
190348000045,IA-110171 000-110171 409,1903480,IA-110171 000,PK,4,Alta Elementary School,Alta-Aurelia Comm School District,Buena Vista County,1009 South Main Street,Alta,IA,51002,,(712)200-1400,41,Rural: Fringe,No,†,Yes,Yes,309,22.39,13.8,132,33
190348000046,IA-110171 000-110171 172,1903480,IA-110171 000,9,12,Alta-Aurelia High School,Alta-Aurelia Comm School District,Buena Vista County,1009 South Main Street,Alta,IA,51002,,(712)200-1331,41,Rural: Fringe,No,†,Yes,No,211,15.96,13.2,63,22
