NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
110007200473,DC-155-217,1100072,DC-155,PK,3,Achievement Preparatory Academy PCS - Wahler Place ES,Achievement Preparatory Academy PCS,District of Columbia,908 Wahler Pl SE,Washington,DC,20032,,(202)562-1307,11,City: Large,Yes,†,–,–,375,39,9.6,–,–
110007200405,DC-155-1100,1100072,DC-155,4,8,Achievement Preparatory Academy PCS - Wahler Place MS,Achievement Preparatory Academy PCS,District of Columbia,908 Wahler Pl SE,Washington,DC,20032,,(202)562-1214,11,City: Large,Yes,†,–,–,450,34.5,13,–,–
110003000122,DC-001-202,1100030,DC-001,PK,5,Aiton ES,District of Columbia Public Schools,District of Columbia,533 48th Pl NE,Washington,DC,20019,,(202)671-6060,11,City: Large,No,†,–,–,244,20,12.2,–,–
110003000121,DC-001-203,1100030,DC-001,PK,5,Amidon-Bowen ES,District of Columbia Public Schools,District of Columbia,401 I St SW,Washington,DC,20024,,(202)724-4867,11,City: Large,No,†,–,–,339,31,10.9,–,–
110003000085,DC-001-450,1100030,DC-001,9,12,Anacostia HS,District of Columbia Public Schools,District of Columbia,1601 16th St SE,Washington,DC,20020,,(202)698-2155,11,City: Large,No,†,–,–,296,44,6.7,–,–
110005400304,DC-103-140,1100054,DC-103,PK,PK,AppleTree Early Learning Center PCS - Columbia Heights,AppleTree Early Learning PCS,District of Columbia,2750 14th St NW,Washington,DC,20009,,(202)667-9490,11,City: Large,Yes,†,–,–,154,16,9.6,–,–
110005400447,DC-103-3072,1100054,DC-103,PK,PK,AppleTree Early Learning Center PCS - Douglas Knoll,AppleTree Early Learning PCS,District of Columbia,2017 Savannah Terrace SE,Washington,DC,20020,,(202)629-2545,11,City: Large,Yes,†,–,–,90,6,15,–,–
110005400448,DC-103-3073,1100054,DC-103,PK,PK,AppleTree Early Learning Center PCS - Lincoln Park,AppleTree Early Learning PCS,District of Columbia,138 12th St NE,Washington,DC,20002,,(202)621-6581,11,City: Large,Yes,†,–,–,60,5,12,–,–
110005400435,DC-103-1137,1100054,DC-103,PK,PK,AppleTree Early Learning Center PCS - Oklahoma Avenue,AppleTree Early Learning PCS,District of Columbia,330 21st St NE,Washington,DC,20002,,(202)629-2179,11,City: Large,Yes,†,–,–,151,16,9.4,–,–
110005400517,DC-103-1069,1100054,DC-103,PK,PK,AppleTree Early Learning Center PCS - Parklands at THEARC,AppleTree Early Learning PCS,District of Columbia,1801 Mississippi Avenue SE,Washington,DC,20032,,(202)506-1890,11,City: Large,Yes,†,–,–,92,7,13.1,–,–
110003000084,DC-001-452,1100030,DC-001,9,12,Ballou HS,District of Columbia Public Schools,District of Columbia,3401 4th St SE,Washington,DC,20032,,(202)645-3400,11,City: Large,No,†,–,–,650,69,9.4,–,–
110003000207,DC-001-462,1100030,DC-001,9,12,Ballou STAY HS,District of Columbia Public Schools,District of Columbia,3401 4th St SE,Washington,DC,20032,,(202)645-3390,11,City: Large,No,†,–,–,322,22.48,14.3,–,–
110003000120,DC-001-204,1100030,DC-001,PK,5,Bancroft ES,District of Columbia Public Schools,District of Columbia,1755 Newton St NW,Washington,DC,20010,,(202)673-7280,11,City: Large,No,†,–,–,567,51,11.1,–,–
110003000529,DC-001-1058,1100030,DC-001,9,11,Bard HS Early College DC,District of Columbia Public Schools,†,4430 H St SE,Washington,DC,20019,,(202)898-4664,†,N,No,†,†,†,†,†,†,†,†
110003000119,DC-001-205,1100030,DC-001,PK,5,Barnard ES,District of Columbia Public Schools,District of Columbia,430 Decatur St NW,Washington,DC,20011,,(202)576-1100,11,City: Large,No,†,–,–,620,61,10.2,–,–
110008300443,DC-168-3068,1100083,DC-168,5,12,BASIS DC PCS,Basis DC PCS,District of Columbia,410 8th St NW,Washington,DC,20004,,(202)393-5437,11,City: Large,Yes,†,–,–,637,46.76,13.6,–,–
110003000118,DC-001-206,1100030,DC-001,PK,5,Beers ES,District of Columbia Public Schools,District of Columbia,3600 Alabama Ave SE,Washington,DC,20020,,(202)939-4800,11,City: Large,No,†,–,–,489,38,12.9,–,–
110003000153,DC-001-402,1100030,DC-001,9,12,Benjamin Banneker HS,District of Columbia Public Schools,District of Columbia,800 Euclid St NW,Washington,DC,20001,,(202)671-6320,11,City: Large,No,†,–,–,482,30,16.1,–,–
110010400507,DC-189-289,1100104,DC-189,PK,2,Breakthrough Montessori PCS,Breakthrough Montessori PCS,District of Columbia,1244 Taylor St NW,Washington,DC,20011,,(202)407-7021,11,City: Large,Yes,†,–,–,183,8,22.9,–,–
110003000113,DC-001-212,1100030,DC-001,PK,5,Brent ES,District of Columbia Public Schools,District of Columbia,301 North Carolina Ave SE,Washington,DC,20003,,(202)698-3363,11,City: Large,No,†,–,–,432,33.5,12.9,–,–
110005500305,DC-107-142,1100055,DC-107,PK,5,Bridges PCS,Bridges PCS,District of Columbia,100 Gallatin St NE,Washington,DC,20011,,(202)545-0515,11,City: Large,Yes,†,–,–,412,40.5,10.2,–,–
110003000112,DC-001-213,1100030,DC-001,PK,8,Brightwood Education Campus,District of Columbia Public Schools,District of Columbia,1300 Nicholson St NW,Washington,DC,20011,,(202)722-5670,11,City: Large,No,†,–,–,757,74,10.2,–,–
110003000494,DC-001-347,1100030,DC-001,6,8,Brookland MS,District of Columbia Public Schools,District of Columbia,1150 Michigan Ave NE,Washington,DC,20017,,(202)759-1999,11,City: Large,No,†,–,–,270,22,12.3,–,–
110003000152,DC-001-404,1100030,DC-001,PK,8,Browne Education Campus,District of Columbia Public Schools,District of Columbia,850 26th St NE,Washington,DC,20002,,(202)671-6210,11,City: Large,No,†,–,–,371,32,11.6,–,–
