NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
530486002475,WA-31025-1656,5304860,WA-31025,6,8,10th Street School,Marysville School District,Snohomish County,7204 27th Ave NE,Marysville,WA,98271,,(360)965-0400,22,Suburb: Midsize,No,No,–,–,174,7,24.9,34,8
530270001270,WA-06114-1646,5302700,WA-06114,KG,12,49th Street Academy,Evergreen School District (Clark),Clark County,14619B NE 49th Street,Vancouver,WA,98682,6308,(360)604-6700,12,City: Midsize,No,No,Yes,Yes,97,12.14,8,58,10
530910002602,WA-34033-4500,5309100,WA-34033,9,12,A G West Black Hills High School,Tumwater School District,Thurston County,7741 Littlerock Road SW,Tumwater,WA,98512,,(360)709-7800,13,City: Small,No,No,–,–,853,41.16,20.7,175,42
530003000001,WA-14005-2834,5300030,WA-14005,PK,5,A J West Elementary,Aberdeen School District,Grays Harbor County,1801 Bay Ave.,Aberdeen,WA,98520,5510,(360)538-2131,33,Town: Remote,No,No,Yes,Yes,434,28.39,15.3,310,–
530825002361,WA-32081-1533,5308250,WA-32081,6,12,A-3 Multiagency Adolescent Prog,Spokane School District,Spokane County,1807 N. Washington,Spokane,WA,99205,,(509)354-6299,12,City: Midsize,No,No,–,–,25,4.05,6.2,21,1
530966001632,WA-04246-3209,5309660,WA-04246,KG,5,Abraham Lincoln Elementary,Wenatchee School District,Chelan County,1224 METHOW ST.,WENATCHEE,WA,98801,,(509)663-5710,13,City: Small,No,No,Yes,Yes,520,37.26,14,346,40
530048003466,WA-27403-5372,5300480,WA-27403,9,12,Acceleration Academy,Bethel School District,Pierce County,16218 Pacific Ave,Spanaway,WA,98387,,(253)267-1045,21,Suburb: Large,No,No,–,–,209,–,†,71,10
530543002063,WA-31006-4247,5305430,WA-31006,9,12,ACES High School,Mukilteo School District,Snohomish County,9700 Holly Drive,Everett,WA,98204,,(425)366-3900,12,City: Midsize,No,No,Yes,Yes,164,11.81,13.9,78,7
530531000799,WA-37507-2585,5305310,WA-37507,KG,6,Acme Elementary,Mount Baker School District,Whatcom County,5200 TURKINGTON RD,ACME,WA,98220,,(360)383-2045,41,Rural: Fringe,No,No,Yes,Yes,235,16.56,14.2,87,31
530948002611,WA-39207-4518,5309480,WA-39207,3,5,Adams Elementary,Wapato School District,Yakima County,1309 S Camas Ave,Wapato,WA,98951,9790,(509)877-4180,41,Rural: Fringe,No,No,Yes,Yes,413,25,16.5,360,11
530825001361,WA-32081-2156,5308250,WA-32081,PK,6,Adams Elementary,Spokane School District,Spokane County,2909-E 37 Ave,Spokane,WA,99223,4500,(509)354-2000,12,City: Midsize,No,No,Yes,Yes,386,25.14,15.4,230,39
530111000187,WA-32356-3259,5301110,WA-32356,PK,5,Adams Elementary,Central Valley School District,Spokane County,14707 E 8th Ave,Spokane Valley,WA,99037,9670,(509)558-4000,13,City: Small,No,No,Yes,No,409,27,15.1,41,13
530771001127,WA-17001-2138,5307710,WA-17001,KG,5,Adams Elementary School,Seattle School District No. 1,King County,6110 28 AV NW,SEATTLE,WA,98107,5314,(206)252-1300,11,City: Large,No,No,–,–,534,32.34,16.5,61,9
531011001685,WA-39007-2592,5310110,WA-39007,PK,5,Adams Elementary School,Yakima School District,Yakima County,723 S 8th St,Yakima,WA,98901,3322,(509)573-5100,13,City: Small,No,No,Yes,Yes,714,42.64,16.7,572,19
530282000430,WA-17210-3519,5302820,WA-17210,PK,5,Adelaide Elementary School,Federal Way School District,King County,1635 SW 304th ST,Federal Way,WA,98023,3431,(253)945-2300,21,Suburb: Large,No,No,Yes,Yes,414,26.91,15.4,207,51
530006000012,WA-21226-2227,5300060,WA-21226,PK,5,Adna Elementary School,Adna School District,Lewis County,P.O. Box 28,Adna,WA,98522,28,(360)748-7029,42,Rural: Distant,No,No,Yes,No,250,14.12,17.7,50,10
530006000013,WA-21226-2441,5300060,WA-21226,6,12,Adna Middle/High School,Adna School District,Lewis County,P.O. Box 148,Adna,WA,98522,148,(360)748-8552,42,Rural: Distant,No,No,Yes,No,388,22.24,17.4,82,28
530972001649,WA-39208-2822,5309720,WA-39208,KG,4,Ahtanum Valley Elementary,West Valley School District (Yakima),Yakima County,3006 S Wiley Rd,Yakima,WA,98908,9743,(509)965-2031,41,Rural: Fringe,No,No,Yes,Yes,289,23.17,12.5,141,44
530802002068,WA-31201-4265,5308020,WA-31201,9,12,AIM High School,Snohomish School District,Snohomish County,1601 Avenue D,Snohomish,WA,98290,,(360)563-3401,22,Suburb: Midsize,No,No,Yes,No,146,5.8,25.2,33,5
530771001249,WA-17001-3774,5307710,WA-17001,6,8,Aki Kurose Middle School,Seattle School District No. 1,King County,3928 S GRAHAM ST,Seattle,WA,98118,3172,(206)252-7700,11,City: Large,No,No,Yes,Yes,664,41.82,15.9,391,104
530792001297,WA-17412-3674,5307920,WA-17412,7,8,Albert Einstein Middle School,Shoreline School District,King County,19343 3rd Avenue N.W.,Shoreline,WA,98177,3012,(206)393-4730,21,Suburb: Large,No,No,–,–,681,34.15,19.9,138,49
530423002062,WA-17414-4256,5304230,WA-17414,KG,5,Alcott Elementary,Lake Washington School District,King County,4213 - 228th AVE NE,Redmond,WA,98053,8333,(425)936-2490,21,Suburb: Large,No,No,–,–,676,37.82,17.9,24,7
530042000098,WA-37501-3200,5300420,WA-37501,PK,5,Alderwood Elementary School,Bellingham School District,Whatcom County,3400 Hollywood Ave,Bellingham,WA,98225,1134,(360)676-6404,22,Suburb: Midsize,No,No,Yes,Yes,257,22.3,11.5,159,18
530240000329,WA-31015-3560,5302400,WA-31015,7,8,Alderwood Middle School,Edmonds School District,Snohomish County,1132 172nd St SW,LYNNWOOD,WA,98037,,(425)431-7579,21,Suburb: Large,No,No,Yes,Yes,814,41.84,19.5,283,94
530141002839,WA-27400-1825,5301410,WA-27400,11,12,Alfaretta House,Clover Park School District,Pierce County,10903 Gravelly Lake DR SW,Lakewood,WA,98499,1341,(253)583-5584,13,City: Small,No,No,Yes,Yes,200,–,†,63,4
