NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
160153000605,ID-091-1152,1601530,ID-091,4,12,3B JUVENILE DETENTION CENTER,IDAHO FALLS DISTRICT,Bonneville County,950 ENVIRONMENTAL WAY,IDAHO FALLS,ID,83401,1621,(208)542-2947,13,City: Small,No,No,–,–,44,1.25,35.2,2,1
160222000390,ID-281-0756,1602220,ID-281,PK,5,A B MCDONALD ELEMENTARY SCHOOL,MOSCOW DISTRICT,Latah County,2323 EAST D STREET,MOSCOW,ID,83843,9577,(208)882-0228,32,Town: Distant,No,No,–,–,399,23.17,17.2,84,15
160153000252,ID-091-0415,1601530,ID-091,PK,6,A H BUSH ELEMENTARY SCHOOL,IDAHO FALLS DISTRICT,Bonneville County,380 WEST ANDERSON STREET,IDAHO FALLS,ID,83402,2141,(208)525-7602,13,City: Small,No,Yes,Yes,Yes,408,23.33,17.5,241,59
160024000016,ID-033-0370,1600240,ID-033,PK,5,A J WINTERS ELEMENTARY SCHOOL,BEAR LAKE COUNTY DISTRICT,Bear Lake County,535 CLAY STREET,MONTPELIER,ID,83254,1234,(208)847-0477,43,Rural: Remote,No,No,Yes,Yes,314,17.5,17.9,97,51
160186001119,ID-340-1425,1601860,ID-340,9,12,A Neil DeAtley Career Technical Education Center,LEWISTON INDEPENDENT DISTRICT,†,3317 12TH STREET,LEWISTON,ID,83501,,(208)748-3050,†,N,No,†,†,†,†,†,†,†,†
160108000196,ID-059-0390,1601080,ID-059,PK,4,A W JOHNSON ELEMENTARY SCHOOL,FIRTH DISTRICT,Bingham County,735 N 600 E,FIRTH,ID,83236,1128,(208)346-6848,42,Rural: Distant,No,No,Yes,Yes,333,15,22.2,88,32
160003000828,ID-058-0298,1600030,ID-058,PK,5,ABERDEEN ELEMENTARY SCHOOL,ABERDEEN DISTRICT,Bingham County,PO BOX 610,ABERDEEN,ID,83210,610,(208)397-4115,42,Rural: Distant,No,No,Yes,Yes,353,19.09,18.5,327,0
160003000002,ID-058-0036,1600030,ID-058,9,12,ABERDEEN HIGH SCHOOL,ABERDEEN DISTRICT,Bingham County,PO BOX 610,ABERDEEN,ID,83210,610,(208)397-4152,42,Rural: Distant,No,No,Yes,Yes,207,13.1,15.8,198,0
160003000829,ID-058-0299,1600030,ID-058,6,8,ABERDEEN MIDDLE SCHOOL,ABERDEEN DISTRICT,Bingham County,PO BOX 610,ABERDEEN,ID,83210,610,(208)397-3280,42,Rural: Distant,No,No,Yes,Yes,184,10.94,16.8,180,0
160219000380,ID-331-0786,1602190,ID-331,PK,5,ACEQUIA ELEMENTARY SCHOOL,MINIDOKA COUNTY JOINT DISTRICT,Minidoka County,360 N 350 E,RUPERT,ID,83350,9428,(208)436-6985,42,Rural: Distant,No,No,Yes,Yes,309,15,20.6,101,40
160036000708,ID-001-9002,1600360,ID-001,5,12,ADA COUNTY JUVENILE CENTER,BOISE INDEPENDENT DISTRICT,Ada County,6300 DENTON STREET,BOISE,ID,83704,9326,(208)854-4150,12,City: Midsize,No,No,–,–,62,2,31,5,1
160210000789,ID-002-0564,1602100,ID-002,10,12,ADA PROFESSIONAL-TECHNICAL CENTER,JOINT SCHOOL DISTRICT NO. 2,Ada County,1900 WEST PINE,MERIDIAN,ID,83642,6295,(208)855-4198,21,Suburb: Large,No,No,†,†,0,2.5,†,–,–
160192000333,ID-321-0777,1601920,ID-321,KG,4,ADAMS ELEMENTARY SCHOOL,MADISON DISTRICT,Madison County,110 NORTH 2ND EAST STREET,REXBURG,ID,83440,1620,(208)359-3335,32,Town: Distant,No,No,Yes,Yes,288,15,19.2,84,35
160036000042,ID-001-0315,1600360,ID-001,PK,6,ADAMS ELEMENTARY SCHOOL,BOISE INDEPENDENT DISTRICT,Ada County,1725 EAST WARM SPRINGS AVENUE,BOISE,ID,83712,8149,(208)854-4190,12,City: Midsize,No,No,–,–,338,15.6,21.7,31,8
160264001047,ID-025-0023,1602640,ID-025,6,8,ALAMEDA MIDDLE SCHOOL,POCATELLO DISTRICT,Bannock County,845 MCKINLEY AVENUE,POCATELLO,ID,83201,4952,(208)232-0378,13,City: Small,No,No,Yes,Yes,720,34.35,21,381,0
160066000122,ID-151-0475,1600660,ID-151,PK,5,ALBION ELEMENTARY SCHOOL,CASSIA COUNTY JOINT DISTRICT,Cassia County,PO BOX 38,ALBION,ID,83311,38,(208)673-6653,42,Rural: Distant,No,No,–,–,57,3,19,15,6
160066000123,ID-151-0468,1600660,ID-151,PK,6,ALMO ELEMENTARY SCHOOL,CASSIA COUNTY JOINT DISTRICT,Cassia County,PO BOX 168,ALMO,ID,83312,168,(208)824-5526,43,Rural: Remote,No,No,–,–,9,1,9,5,0
160030000908,ID-061-0636,1600300,ID-061,PK,5,ALTURAS ELEMENTARY SCHOOL,BLAINE COUNTY DISTRICT,Blaine County,1111 WOODSIDE ELEMENTARY LANE,HAILEY,ID,83333,8823,(208)578-5090,33,Town: Remote,No,Yes,Yes,Yes,411,28.2,14.6,120,68
160017501082,ID-495-1385,1600175,ID-495,KG,8,ALTURAS INTERNATIONAL ACADEMY,FORRESTER ACADEMY INC.,Bonneville County,151 NORTH RIDGE AVENUE,IDAHO FALLS,ID,83402,4014,(208)522-5145,13,City: Small,Yes,No,Yes,No,461,22,21,–,–
160006000768,ID-381-0261,1600060,ID-381,6,12,AMERICAN FALLS ACADEMY,AMERICAN FALLS JOINT DISTRICT,Power County,598 LINCOLN,AMERICAN FALLS,ID,83211,1762,(208)226-5008,32,Town: Distant,No,No,–,–,29,3.04,9.5,15,0
160006000003,ID-381-0168,1600060,ID-381,9,12,AMERICAN FALLS HIGH SCHOOL,AMERICAN FALLS JOINT DISTRICT,Power County,2966 SOUTH FRONTAGE ROAD,AMERICAN FALLS,ID,83211,5404,(208)226-2531,41,Rural: Fringe,No,No,Yes,Yes,401,23.97,16.7,200,35
160016201044,ID-482-1346,1600162,ID-482,KG,12,AMERICAN HERITAGE CHARTER SCHOOL,AMERICAN HERITAGE CHARTER SCHOOL INC.,Bonneville County,1736 SOUTH 35TH WEST,IDAHO FALLS,ID,83402,5691,(208)529-6570,41,Rural: Fringe,Yes,No,Yes,Yes,363,20.01,18.1,41,21
160036000592,ID-001-0300,1600360,ID-001,PK,6,AMITY ELEMENTARY SCHOOL,BOISE INDEPENDENT DISTRICT,Ada County,10000 WEST AMITY ROAD,BOISE,ID,83709,5321,(208)854-4220,21,Suburb: Large,No,No,–,–,529,25.44,20.8,104,40
160093000167,ID-093-0426,1600930,ID-093,PK,6,AMMON ELEMENTARY SCHOOL,BONNEVILLE JOINT DISTRICT,Bonneville County,2900 CENTRAL AVENUE,AMMON,ID,83406,7758,(208)525-4465,23,Suburb: Small,No,No,Yes,Yes,315,15.5,20.3,71,27
160015501008,ID-476-1247,1600155,ID-476,PK,12,ANOTHER CHOICE VIRTUAL CHARTER,ANOTHER CHOICE VIRTUAL CHARTER SCHOOL INC.,Canyon County,1014 WEST HEMINGWAY BOULEVARD,NAMPA,ID,83651,1733,(208)467-7524,22,Suburb: Midsize,Yes,No,Yes,Yes,541,27.31,19.8,5,6
160036000758,ID-001-0819,1600360,ID-001,PK,8,ANSER CHARTER SCHOOL,BOISE INDEPENDENT DISTRICT,Ada County,202 EAST 42ND STREET,GARDEN CITY,ID,83714,6315,(208)426-9840,21,Suburb: Large,Yes,No,–,–,360,22.07,16.3,43,20
160009000006,ID-383-0810,1600090,ID-383,KG,6,ARBON ELEMENTARY SCHOOL,ARBON ELEMENTARY DISTRICT,Power County,4405 ARBON VALLEY HIGHWAY,ARBON,ID,83212,5021,(208)335-2197,42,Rural: Distant,No,No,–,–,17,1.75,9.7,3,0
160049000007,ID-111-0439,1600490,ID-111,PK,6,ARCO ELEMENTARY SCHOOL,BUTTE COUNTY JOINT DISTRICT,Butte County,PO BOX 675,ARCO,ID,83213,675,(208)527-8503,43,Rural: Remote,No,No,Yes,Yes,194,11.5,16.9,73,18
160219001117,ID-331-1414,1602190,ID-331,9,12,ARTE I RPTCS (Regional Professional Technical Charter School,MINIDOKA COUNTY JOINT DISTRICT,†,COLLEGE OF SOUTHERN IDAHO EVERGREEN BLDG. ROOM 38,TWIN FALLS,ID,83301,,(208)308-6512,†,N,Yes,†,†,†,†,†,†,†,†
