NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
180004602162,IN-9545-4164,1800046,IN-9545,KG,12,21st Century Charter Sch of Gary,21st Century Charter Sch of Gary,Lake County,556 Washington St,Gary,IN,46402,,(219)886-9339,13,City: Small,Yes,No,Yes,Yes,883,33.04,26.7,695,42
180657000433,IN-4925-4792,1806570,IN-4925,9,12,A K Smith Area Career Center,Michigan City Area Schools,LaPorte County,817 Lafayette St,Michigan City,IN,46360,568,(219)873-2120,13,City: Small,No,No,†,†,0,0,†,–,–
180003000001,IN-0125-0045,1800030,IN-0125,KG,5,Aboite Elementary School,M S D Southwest Allen County Schls,Allen County,5004 Homestead Rd,Fort Wayne,IN,46814,5495,(260)431-2101,21,Suburb: Large,No,No,–,–,479,25.11,19.1,46,26
180288000362,IN-4670-3945,1802880,IN-4670,KG,6,Abraham Lincoln Elementary School,School City of East Chicago,Lake County,3551 Block Avenue,East Chicago,IN,46312,2099,(219)391-4096,21,Suburb: Large,No,No,Yes,Yes,311,24.8,12.5,273,11
180432000730,IN-4710-4463,1804320,IN-4710,PK,5,Abraham Lincoln Elementary School,School City of Hammond,Lake County,4221 Towle Ave,Hammond,IN,46327,1375,(219)933-2475,21,Suburb: Large,No,No,Yes,Yes,595,33,18,430,56
180882001455,IN-5340-5337,1808820,IN-5340,PK,5,Abraham Lincoln Elementary School,Perry Township Schools,Marion County,5241 Brehob Rd,Indianapolis,IN,46217,3503,(317)789-3800,11,City: Large,No,No,Yes,Yes,993,46,21.6,644,166
180345002462,IN-7995-8270,1803450,IN-7995,1,12,Academy for Innovative Studies,Evansville Vanderburgh School Corp,Vanderburgh County,2319 Stringtown Rd,Evansville,IN,47711,,(812)435-0979,12,City: Midsize,No,Yes,Yes,No,367,37.97,9.7,302,18
180017202604,IN-9970-1111,1800172,IN-9970,KG,4,ACE Preparatory Academy,ACE Preparatory Academy,Marion County,5326 Hillside Avenue,Indianapolis,IN,46220,,(317)744-9847,11,City: Large,Yes,No,Yes,No,89,6,14.8,52,18
181281002516,IN-5375-5288,1812810,IN-5375,9,12,Achieve Virtual Education Academy,M S D Wayne Township,Marion County,1250 N High School Rd,Indianapolis,IN,46214,,(317)988-7144,11,City: Large,No,No,–,–,257,33.19,7.7,31,2
180375000595,IN-5310-5201,1803750,IN-5310,KG,5,Acton Elementary School,Franklin Township Com Sch Corp,Marion County,8010 Acton Rd,Indianapolis,IN,46259,1599,(317)862-6108,11,City: Large,No,No,Yes,No,435,22.04,19.7,114,32
180006000006,IN-0015-0020,1800060,IN-0015,PK,5,Adams Central Elementary School,Adams Central Community Schools,Adams County,222 W Washington St,Monroe,IN,46772,9436,(260)692-6629,42,Rural: Distant,No,No,Yes,No,631,31,20.4,126,45
180006000007,IN-0015-0021,1800060,IN-0015,9,12,Adams Central High School,Adams Central Community Schools,Adams County,222 W Washington St,Monroe,IN,46772,9436,(260)692-6151,42,Rural: Distant,No,No,Yes,No,374,35.64,10.5,54,20
180006000008,IN-0015-0013,1800060,IN-0015,6,8,Adams Central Middle School,Adams Central Community Schools,Adams County,222 W Washington St,Monroe,IN,46772,9436,(260)692-6151,42,Rural: Distant,No,No,Yes,No,289,28.5,10.1,51,23
180363000511,IN-0235-0141,1803630,IN-0235,PK,5,Adams Elementary School,Fort Wayne Community Schools,Allen County,3000 New Haven Ave,Fort Wayne,IN,46803,2796,(260)467-5850,11,City: Large,No,No,Yes,Yes,290,19,15.3,223,18
181029001662,IN-7205-7505,1810290,IN-7205,9,12,Adams High School,South Bend Community School Corp,St. Joseph County,808 S Twyckenham Dr,South Bend,IN,46615,1191,(574)393-5300,12,City: Midsize,No,No,–,–,1913,118.87,16.1,949,131
181209002172,IN-8030-8510,1812090,IN-8030,PK,5,Adelaide De Vaney Elementary Sch,Vigo County School Corp,Vigo County,1011 S Brown Ave,Terre Haute,IN,47803,2899,(812)462-4497,13,City: Small,No,No,Yes,Yes,469,23,20.4,188,42
181137001836,IN-4445-2139,1811370,IN-4445,KG,5,Akron Elementary School,Tippecanoe Valley School Corp,Fulton County,PO Box 8,Akron,IN,46910,8,(574)598-2367,42,Rural: Distant,No,No,Yes,Yes,389,26.5,14.7,157,55
180266000318,IN-1875-1520,1802660,IN-1875,KG,5,Albany Elementary School,Delaware Community School Corp,Delaware County,700 W State St,Albany,IN,47320,1399,(765)789-6102,42,Rural: Distant,No,No,Yes,Yes,294,18,16.3,155,32
180291000376,IN-4680-3973,1802910,IN-4680,KG,5,Alexander Hamilton Elementary Sch,Lake Station Community Schools,Lake County,2900 Lake St,Lake Station,IN,46405,1927,(219)962-1824,21,Suburb: Large,No,No,Yes,Yes,256,15,17.1,203,9
180012000009,IN-5265-5069,1800120,IN-5265,PK,2,Alexandria-Monroe Elementary,Alexandria Community School Corp,Madison County,800 N Central,Alexandria,IN,46001,9504,(765)724-7788,23,Suburb: Small,No,No,Yes,Yes,369,17,21.7,179,20
180012000011,IN-5265-5041,1800120,IN-5265,7,12,Alexandria-Monroe High School,Alexandria Community School Corp,Madison County,1 Burden Ct,Alexandria,IN,46001,2699,(765)724-4413,23,Suburb: Small,No,No,Yes,Yes,713,42.11,16.9,292,46
180012000010,IN-5265-5065,1800120,IN-5265,3,6,Alexandria-Monroe Intermediate,Alexandria Community School Corp,Madison County,308 W 11th St,Alexandria,IN,46001,2897,(765)724-4166,23,Suburb: Small,No,No,Yes,Yes,458,24.01,19.1,223,40
180019902648,IN-9065-1002,1800199,IN-9065,KG,2,Allegiant Preparatory Academy,Allegiant Preparatory Academy,Marion County,3125 Concord Ct Suite B,Indianapolis,IN,46222,,(317)489-6877,11,City: Large,Yes,No,–,–,37,3,12.3,34,0
180363002174,IN-0235-0100,1803630,IN-0235,8,11,Allen Co Juvenile Center,Fort Wayne Community Schools,Allen County,2929 N Wells,Fort Wayne,IN,46808,,(260)449-8068,11,City: Large,No,No,–,–,6,–,†,†,†
