NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
350153000403,NM-069-031,3501530,NM-069,7,8,7TH AND 8TH GRADE ACADEMY,LAS VEGAS CITY PUBLIC SCHOOLS,San Miguel County,901 DOUGLAS AVENUE,LAS VEGAS,NM,87701,,(505)454-5710,33,Town: Remote,No,No,Yes,Yes,218,16.89,12.9,218,0
350006000017,NM-001-321,3500060,NM-001,PK,5,A. MONTOYA ELEMENTARY,ALBUQUERQUE PUBLIC SCHOOLS,Bernalillo County,24 PUBLIC SCHOOL RD,TIJERAS,NM,87059,,(505)281-0880,41,Rural: Fringe,No,No,Yes,Yes,462,30.3,15.2,180,33
350090000259,NM-055-005,3500900,NM-055,KG,6,ABIQUIU ELEMENTARY,ESPANOLA PUBLIC SCHOOLS,Rio Arriba County,714 CALLE DON DIEGO,ESPANOLA,NM,87532,,(505)753-2254,43,Rural: Remote,No,No,Yes,Yes,99,10.4,9.5,99,0
350006000893,NM-001-090,3500060,NM-001,9,12,ABQ CHARTER ACADEMY,ALBUQUERQUE PUBLIC SCHOOLS,Bernalillo County,405 DR. MARTIN LUTHER KING JR.,ALBUQUERQUE,NM,87102,,(505)242-6640,11,City: Large,Yes,No,Yes,Yes,299,12.65,23.6,188,15
350012201071,NM-516-001,3500122,NM-516,1,12,ABQ SCHOOL OF EXCELLENCE,ABQ SCHOOL OF EXCELLENCE,Bernalillo County,13201 LOMAS BLVD NE,ALBUQUERQUE,NM,87112,,(505)312-7711,11,City: Large,Yes,No,Yes,Yes,658,40.53,16.2,358,70
350012301066,NM-517-001,3500123,NM-517,KG,12,ABQ SIGN LANGUAGE ACADEMY,ABQ SIGN LANGUAGE ACADEMY,Bernalillo County,620 LOMAS BLVD NW,ALBUQUERQUE,NM,87102,,(505)244-7553,11,City: Large,Yes,No,Yes,Yes,95,11.98,7.9,34,0
350237000788,NM-071-012,3502370,NM-071,9,12,ACADEMY AT LARRAGOITE,SANTA FE PUBLIC SCHOOLS,Santa Fe County,2505 CAMINO ENTRADA,SANTA FE,NM,87507,,(505)467-0310,13,City: Small,No,No,Yes,Yes,38,3.18,11.9,19,0
350003000799,NM-046-004,3500030,NM-046,10,12,ACADEMY DEL SOL ALT.,ALAMOGORDO PUBLIC SCHOOLS,Otero County,1200 N FLORIDA AVE BLDG C,ALAMOGORDO,NM,88310,,(575)812-5500,33,Town: Remote,No,No,Yes,Yes,152,7.45,20.4,152,0
350237000841,NM-071-024,3502370,NM-071,7,12,ACADEMY FOR TECH & CLASS,SANTA FE PUBLIC SCHOOLS,Santa Fe County,PO BOX 8646,SANTA FE,NM,87508,,(505)473-4282,41,Rural: Fringe,Yes,No,Yes,Yes,390,28.26,13.8,83,35
350006001074,NM-001-749,3500060,NM-001,9,12,ACE LEADERSHIP HIGH SCHOOL,ALBUQUERQUE PUBLIC SCHOOLS,Bernalillo County,1240 BELLAMAH AVE. NW,ALBUQUERQUE,NM,87104,,(505)242-4733,11,City: Large,Yes,No,Yes,Yes,247,11.5,21.5,247,0
