NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
80336006756,CO-0880-2994,803360,CO-0880,9,12,5280 High School,School District No. 1 in the county of Denver and State of C,Denver County,899 BROADWAY,DENVER,CO,80203,,(720)919-1056,11,City: Large,Yes,No,–,–,101,8.51,11.9,58,13
80615006496,CO-2700-5990,806150,CO-2700,KG,12,70 Online,Pueblo County School District 70,Pueblo County,301 LANE 28,PUEBLO,CO,81001,,(719)295-6518,22,Suburb: Midsize,No,No,–,–,193,8.58,22.5,75,3
80336000305,CO-0880-0010,803360,CO-0880,9,12,Abraham Lincoln High School,School District No. 1 in the county of Denver and State of C,Denver County,2285 SOUTH FEDERAL BOULEVARD,DENVER,CO,80219,5400,(720)423-5000,11,City: Large,No,No,Yes,Yes,952,65.36,14.6,761,106
80408000560,CO-1000-1334,804080,CO-1000,KG,5,Abrams Elementary School,Fountain School District No. 8 in the county of El Paso an,El Paso County,600 CHILES AVENUE,FORT CARSON,CO,80902,5019,(719)382-1490,21,Suburb: Large,No,No,Yes,Yes,500,30,16.7,154,144
80336001750,CO-0880-6397,803360,CO-0880,PK,6,Academia Ana Marie Sandoval,School District No. 1 in the county of Denver and State of C,Denver County,3655 WYANDOT STREET,DENVER,CO,80211,2950,(720)424-4370,11,City: Large,No,No,–,–,422,21.63,19.5,114,23
80336006592,CO-0880-0099,803360,CO-0880,PK,5,Academy 360,School District No. 1 in the county of Denver and State of C,Denver County,12000 E. 47TH AVE,DENVER,CO,80239,,(303)574-1360,11,City: Large,Yes,No,Yes,Yes,197,14.25,13.8,122,26
80345000492,CO-0900-0011,803450,CO-0900,PK,8,Academy Charter School,Douglas County School District No. Re 1,Douglas County,1551 PRAIRIE HAWK DRIVE,CASTLE ROCK,CO,80104,,(303)660-4881,21,Suburb: Large,Yes,No,–,–,712,35.27,20.2,37,12
80192001643,CO-1040-0017,801920,CO-1040,KG,5,Academy Endeavour Elementary School,Academy School District No. 20 in the county of El Paso an,El Paso County,3475 HAMPTON PARK DRIVE,COLORADO SPRINGS,CO,80920,4611,(719)234-5600,11,City: Large,No,No,–,–,436,29.5,14.8,48,17
80306006456,CO-1010-0517,803060,CO-1010,KG,8,Academy for Advanced and Creative Learning,Colorado Springs School District No. 11 in the county of E,El Paso County,2510 NORTH CHESTNUT STREET,COLORADO SPRINGS,CO,80907,,(719)434-6566,11,City: Large,Yes,No,–,–,299,22,13.6,31,13
80555001872,CO-0010-0309,805550,CO-0010,9,12,Academy High School,Mapleton School District No. 1 in the county of Adams & St,Adams County,8970 YORK STREET,THORNTON,CO,80229,4684,(303)853-1900,21,Suburb: Large,No,No,–,–,435,23,18.9,213,66
80192001644,CO-1040-0019,801920,CO-1040,PK,5,Academy International Elementary School,Academy School District No. 20 in the county of El Paso an,El Paso County,8550 CHARITY,COLORADO SPRINGS,CO,80920,7360,(719)234-4000,11,City: Large,No,No,–,–,547,34.5,15.9,40,20
80234006736,CO-0180-0126,802340,CO-0180,KG,8,Academy of Advanced Learning,Aurora Joint District No. 28 of the counties of Adams and A,Arapahoe County,431 N SABLE BLVD,AURORA,CO,80011,,(720)500-5252,11,City: Large,Yes,No,–,–,700,35.42,19.8,355,65
80002001998,CO-8001-0657,800020,CO-8001,KG,5,Academy of Arts and Knowledge Elementary,State Charter School Institute,Larimer County,4800 WHEATON DR,FT COLLINS,CO,80525,,(970)226-2800,12,City: Midsize,Yes,No,–,–,208,16.15,12.9,57,18
80002000727,CO-8001-0015,800020,CO-8001,PK,12,Academy of Charter Schools,State Charter School Institute,Adams County,11800 LOWELL BLVD,WESTMINSTER,CO,80031,,(303)289-8088,21,Suburb: Large,Yes,No,–,–,1881,90.71,20.7,217,156
80336001894,CO-0880-0067,803360,CO-0880,9,12,Academy of Urban Learning,School District No. 1 in the county of Denver and State of C,Denver County,2417 W. 29TH AVE,DENVER,CO,80211,,(303)282-0900,11,City: Large,Yes,No,Yes,Yes,128,4.93,26,101,7
80555002004,CO-0010-0505,805550,CO-0010,PK,8,Achieve Academy,Mapleton School District No. 1 in the county of Adams & St,Adams County,9100 POZE BLVD,THORNTON,CO,80229,7903,(303)853-1300,21,Suburb: Large,No,Yes,Yes,Yes,546,30.75,17.8,313,65
80306006428,CO-1010-0269,803060,CO-1010,6,12,Achieve Online,Colorado Springs School District No. 11 in the county of E,El Paso County,2115 AFTON WAY,COLORADO SPRINGS,CO,80909,1999,(719)328-3000,11,City: Large,No,No,–,–,252,14.5,17.4,113,25
80345000436,CO-0900-0012,803450,CO-0900,PK,6,Acres Green Elementary School,Douglas County School District No. Re 1,Douglas County,13524 NORTH ACRES GREEN DRIVE,LITTLETON,CO,80124,2733,(303)387-7125,21,Suburb: Large,No,No,–,–,566,33.5,16.9,86,27
80195000010,CO-0030-0024,801950,CO-0030,9,12,Adams City High School,School District N. 14 in the county of Adams & State of Colo,Adams County,7200 QUEBEC PARKWAY,COMMERCE CITY,CO,80022,,(303)289-3111,41,Rural: Fringe,No,No,Yes,Yes,1764,79.03,22.3,1185,259
80195000009,CO-0030-0020,801950,CO-0030,6,8,Adams City Middle School,School District N. 14 in the county of Adams & State of Colo,Adams County,4451 EAST 72ND AVENUE,COMMERCE CITY,CO,80022,,(303)289-5881,21,Suburb: Large,No,No,Yes,Yes,809,42.97,18.8,581,118
80306000239,CO-1010-3890,803060,CO-1010,PK,5,Adams Elementary School,Colorado Springs School District No. 11 in the county of E,El Paso County,2101 MANITOBA DRIVE,COLORADO SPRINGS,CO,80910,,(719)328-2900,11,City: Large,No,No,Yes,Yes,462,28.6,16.2,360,44
80480001446,CO-1420-0030,804800,CO-1420,PK,5,Adams Elementary School,Jefferson County School District No. R-1,Jefferson County,6450 WEST 95TH PLACE,WESTMINSTER,CO,80021,,(303)982-9790,21,Suburb: Large,No,No,–,–,387,20.9,18.5,106,30
80258006343,CO-0040-9801,802580,CO-0040,4,12,Adams Youth Service Center,School District 27J,Adams County,1933 EAST BRIDGE STREET,BRIGHTON,CO,80601,,(303)659-4450,21,Suburb: Large,No,No,–,–,29,6.13,4.7,6,0
