NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
200672002055,KS-D0422-6121,2006720,KS-D0422,6,12,21st Century Learning Academy/Kiowa County,Kiowa County,Kiowa County,730 S. Main,Greensburg,KS,67054,,(620)723-1130,43,Rural: Remote,No,No,Yes,No,193,2.7,71.5,0,0
200795002097,KS-D0500-8403,2007950,KS-D0500,9,12,500 Reach,Kansas City,Wyandotte County,7704 Parallel Parkway,Kansas City,KS,66612,,(913)287-1718,12,City: Midsize,No,No,Yes,Yes,212,–,†,0,0
200639001170,KS-D0457-7120,2006390,KS-D0457,KG,6,Abe Hubert Elementary School,Garden City,Finney County,1205 A Street,Garden City,KS,67846,5449,(620)805-8400,33,Town: Remote,No,No,Yes,Yes,336,26.3,12.8,241,44
201251000367,KS-D0262-1980,2012510,KS-D0262,PK,3,Abilene Elem,Valley Center Pub Sch,Sedgwick County,522 N Abilene,Valley Center,KS,67147,,(316)755-7020,21,Suburb: Large,No,No,Yes,Yes,235,13,18.1,74,26
200318001063,KS-D0435-6476,2003180,KS-D0435,9,12,Abilene High School,Abilene,Dickinson County,1300 N Cedar,Abilene,KS,67410,,(785)263-1260,32,Town: Distant,No,No,Yes,Yes,502,33.3,15.1,130,74
200318001062,KS-D0435-6475,2003180,KS-D0435,6,8,Abilene Middle School,Abilene,Dickinson County,500 Northwest 14th,Abilene,KS,67410,,(785)263-1471,32,Town: Distant,No,No,Yes,Yes,372,24.6,15.1,127,65
200345001232,KS-D0470-7440,2003450,KS-D0470,PK,5,Adams Elem,Arkansas City,Cowley County,1201 N 10th,Arkansas City,KS,67005,1998,(620)441-2040,32,Town: Distant,No,No,Yes,Yes,280,19.8,14.1,173,34
201299000249,KS-D0259-1614,2012990,KS-D0259,PK,5,Adams Elem,Wichita,Sedgwick County,1002 N Oliver,Wichita,KS,67208,2819,(316)973-2650,11,City: Large,No,No,Yes,Yes,520,34.5,15.1,471,30
201299000251,KS-D0259-1618,2012990,KS-D0259,PK,5,Allen Elem,Wichita,Sedgwick County,1881 S Elpyco,Wichita,KS,67218,4328,(316)973-1750,11,City: Large,No,No,Yes,Yes,517,37.8,13.7,406,44
201299000326,KS-D0259-1804,2012990,KS-D0259,6,8,Allison Traditional Magnet Middle,Wichita,Sedgwick County,221 S Seneca,Wichita,KS,67213,4784,(316)973-4800,11,City: Large,No,Yes,Yes,Yes,531,35.31,15,258,46
200324000619,KS-D0329-3650,2003240,KS-D0329,PK,4,Alma Elementary School,Wabaunsee,Wabaunsee County,215 E 9th,Alma,KS,66401,68,(785)765-3349,42,Rural: Distant,No,No,Yes,Yes,101,6.8,14.9,25,11
200327000061,KS-D0212-0404,2003270,KS-D0212,PK,4,Almena Elem,Northern Valley,Norton County,PO Box 217,Almena,KS,67622,,(785)664-2446,42,Rural: Distant,No,No,Yes,Yes,66,–,†,30,5
200639001169,KS-D0457-7118,2006390,KS-D0457,KG,4,Alta Brown Elem,Garden City,Finney County,1110 East Pine,Garden City,KS,67846,5947,(620)805-7200,33,Town: Remote,No,No,Yes,Yes,325,30,10.8,218,50
200330001494,KS-D0506-8652,2003300,KS-D0506,PK,8,Altamont Elem,Labette County,Labette County,Box 306,Altamont,KS,67330,306,(620)784-5511,42,Rural: Distant,No,No,Yes,Yes,239,12.4,19.3,107,24
200417001898,KS-D0387-5215,2004170,KS-D0387,PK,4,Altoona-Midway Elementary,Altoona-Midway,Wilson County,PO Box 128,Altoona,KS,66710,,(620)568-5725,42,Rural: Distant,No,No,Yes,Yes,81,–,†,44,17
200417001872,KS-D0387-5223,2004170,KS-D0387,5,12,Altoona-Midway Middle/High School,Altoona-Midway,Wilson County,20704 US 75 Hwy,Buffalo,KS,66717,,(620)537-7711,42,Rural: Distant,No,No,Yes,Yes,110,–,†,52,20
200918001639,KS-D0383-5112,2009180,KS-D0383,PK,6,Amanda Arnold Elem,Manhattan-Ogden,Riley County,1435 Hudson,Manhattan,KS,66503,,(785)587-2020,13,City: Small,No,No,–,–,597,35.12,17,77,27
200654001551,KS-D0265-2033,2006540,KS-D0265,PK,4,Amelia Earhart Elementary School,Goddard,Sedgwick County,P.O. Box 319,Goddard,KS,67052,,(316)794-4080,41,Rural: Fringe,No,No,–,–,469,23.7,19.8,85,39
201108000386,KS-D0267-2062,2011080,KS-D0267,PK,8,Andale Elem-Middle,Renwick,Sedgwick County,500 W. Rush,Andale,KS,67001,,(316)444-2628,42,Rural: Distant,No,No,–,–,350,20.4,17.2,24,5
201108000387,KS-D0267-2064,2011080,KS-D0267,9,12,Andale High,Renwick,Sedgwick County,Box 28,Andale,KS,67001,,(316)444-2607,42,Rural: Distant,No,No,–,–,389,28.46,13.7,23,23
200645000206,KS-D0365-4612,2006450,KS-D0365,7,12,Anderson County Jr/Sr High School,Garnett,Anderson County,1100 West Highway 31,Garnett,KS,66032,328,(785)448-3115,41,Rural: Fringe,No,No,Yes,Yes,481,36.2,13.3,143,71
201299001648,KS-D0259-1798,2012990,KS-D0259,PK,5,Anderson Elem,Wichita,Sedgwick County,2945 S Victoria,Wichita,KS,67216,1499,(316)973-1900,11,City: Large,No,No,Yes,Yes,621,41.3,15,507,65
200336001567,KS-D0385-5186,2003360,KS-D0385,9,12,Andover Central High School,Andover,Butler County,603 E. Central,Andover,KS,67002,,(316)218-4700,21,Suburb: Large,No,No,Yes,No,813,48.5,16.8,76,37
200336001564,KS-D0385-5185,2003360,KS-D0385,6,8,Andover Central Middle School,Andover,Butler County,903 E. Central,Andover,KS,67002,,(316)218-4710,21,Suburb: Large,No,No,Yes,No,626,37.2,16.8,111,42
200336002040,KS-D0385-5204,2003360,KS-D0385,KG,12,Andover eCademy,Andover,Butler County,1411 N. Main,Andover,KS,67002,,(316)218-4470,21,Suburb: Large,No,No,–,–,3268,21.45,152.4,0,0
