NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
341269003473,NJ-314010-302,3412690,NJ-314010,PK,PK,14# Avenue Early Learning Center,Paterson Public School District,†,660 14th Avenue,Paterson,NJ,7504,,(973)321-0660,†,N,No,†,†,†,†,†,†,†,†
340894003908,NJ-252770-065,3408940,NJ-252770,KG,5,A A Anastasia Elementary School,LONG BRANCH PUBLIC SCHOOL District,Monmouth County,92 SEVENTH AVENUE,LONG BRANCH,NJ,7740,,(732)571-3396,21,Suburb: Large,No,†,Yes,Yes,541,54,10,405,57
341122003456,NJ-233530-060,3411220,NJ-233530,PK,5,A Chester Redshaw School,New Brunswick School District,Middlesex County,216 Livingston Avenue,NEW BRUNSWICK,NJ,8901,2930,(732)745-5300,13,City: Small,No,†,Yes,Yes,1012,80.25,12.6,433,0
340300001422,NJ-070800-058,3403000,NJ-070800,KG,5,A. Russell Knight Elementary School,Cherry Hill School District,Camden County,140 Old Carriage Rd.,CHERRY HILL,NJ,8034,3332,(856)428-0830,21,Suburb: Large,No,†,–,–,359,26,13.8,12,9
341287003465,NJ-074060-300,3412870,NJ-074060,6,12,A.E. Burling High School,Pennsauken Township Board of Education School District,†,3600 Harris Avenue,Pennsauken,NJ,8110,,(856)662-8505,†,N,No,†,†,†,†,†,†,†,†
340729005548,NJ-392190-090,3407290,NJ-392190,PK,1,A.P. Morris Early Childhood Center,Hillside Public School District,Union County,143 COE AVE,HILLSIDE,NJ,7205,2830,(908)352-7664,21,Suburb: Large,No,†,Yes,No,636,54,11.8,326,49
340252004168,NJ-270630-025,3402520,NJ-270630,PK,4,Aaron Decker School,Butler Public School District,Morris County,98 DECKER ROAD,BUTLER,NJ,7405,,(973)492-2037,21,Suburb: Large,No,†,Yes,No,392,34.5,11.4,95,19
341134002222,NJ-133570-170,3411340,NJ-133570,PK,8,Abington Avenue School,Newark Public School District,Essex County,209 ABINGTON AVE,NEWARK,NJ,7107,2507,(973)268-5230,11,City: Large,No,†,Yes,Yes,922,56,16.5,761,38
341428005650,NJ-394540-010,3414280,NJ-394540,9,12,Abraham Clark High School,Roselle Public Schools,Union County,122 EAST 6TH AVE,ROSELLE,NJ,7203,2026,(908)298-2000,21,Suburb: Large,No,†,Yes,Yes,746,74,10.1,435,46
341836000940,NJ-035920-010,3418360,NJ-035920,KG,5,Abraham Lincoln Elementary School,Wyckoff Township Public School District,Bergen County,325 MASON AVE,WYCKOFF,NJ,7481,2822,(201)848-5720,21,Suburb: Large,No,†,Yes,No,311,28.5,10.9,0,3
