NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
402097002905,OK-51-I020-51-I020-520,4020970,OK-51-I020,6,6,6TH GRADE ACADEMY,MUSKOGEE,†,800 Bacone St,Muskogee,OK,74403,4403,(918)684-3860,†,N,No,†,†,†,†,†,†,†,†
402097000599,OK-51-I020-51-I020-505,4020970,OK-51-I020,7,8,7TH AND 8TH GRADE ACADEMY,MUSKOGEE,Muskogee County,402 North S St,Muskogee,OK,74403,4403,(918)684-3775,32,Town: Distant,No,†,Yes,Yes,684,41.78,16.4,–,–
403024029854,OK-72-I001-72-I001-103,4030240,OK-72-I001,4,6,ACADEMY CENTRAL ES,TULSA,Osage County,1789 West Seminole Street,Tulsa,OK,74127,4127,(918)833-8760,11,City: Large,No,†,Yes,Yes,137,9.75,14.1,–,–
401359000635,OK-70-I008-70-I008-105,4013590,OK-70-I008,3,4,ACADEMY ES,GUYMON,Texas County,712 North Academy,Guymon,OK,73942,3942,(580)338-4370,33,Town: Remote,No,†,Yes,Yes,439,27.57,15.9,–,–
400080302907,OK-55-J002-55-J002-930,4000803,OK-55-J002,PK,8,ACADEMY OF SEMINOLE CHARTER ES,ACADEMY OF SEMINOLE CHARTER,†,2701 N BOREN BLVD,SEMINOLE,OK,74818,,(405)380-9010,†,N,Yes,†,†,†,†,†,†,†,†
400080302873,OK-55-J002-55-J002-986,4000803,OK-55-J002,9,12,ACADEMY OF SEMINOLE CHARTER HS,ACADEMY OF SEMINOLE CHARTER,Cleveland County,330 W GRAY ST,Norman,OK,73069,,(405)380-9010,22,Suburb: Midsize,Yes,†,Yes,No,29,4,7.3,–,–
400237000001,OK-07-I003-07-I003-105,4002370,OK-07-I003,PK,8,ACHILLE ES,ACHILLE,Bryan County,Post Office Box 280,Achille,OK,74720,4720,(580)283-3002,42,Rural: Distant,No,†,Yes,Yes,243,15.26,15.9,–,–
400237000002,OK-07-I003-07-I003-705,4002370,OK-07-I003,9,12,ACHILLE HS,ACHILLE,Bryan County,Post Office Box 280,Achille,OK,74720,4720,(580)283-3260,42,Rural: Distant,No,†,–,–,78,7.14,10.9,–,–
400243000005,OK-62-I019-62-I019-105,4002430,OK-62-I019,PK,KG,ADA EC CTR,ADA,Pontotoc County,603 West 33rd Street,Ada,OK,74820,4820,(580)310-7283,41,Rural: Fringe,No,†,Yes,Yes,359,24,15,–,–
400243000003,OK-62-I019-62-I019-705,4002430,OK-62-I019,10,12,ADA HS,ADA,Pontotoc County,1400 Stadium Drive,Ada,OK,74820,4820,(580)310-7220,33,Town: Remote,No,†,Yes,Yes,538,42.98,12.5,–,–
