NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
150003000150,HI-001-2-224,1500030,HI-001,9,12,Admiral Arthur W Radford High School,Hawaii Department of Education,Honolulu County,4361 Salt Lake Blvd,Honolulu,HI,96818,,(808)421-4200,21,Suburb: Large,No,†,–,–,1244,76,16.4,142,134
150003000154,HI-001-2-221,1500030,HI-001,PK,6,Admiral Chester W Nimitz Elementary School,Hawaii Department of Education,Honolulu County,520 Main St,Honolulu,HI,96818,,(808)421-4165,21,Suburb: Large,No,†,–,–,690,42.5,16.2,67,115
150003000157,HI-001-4-335,1500030,HI-001,PK,6,Ahuimanu Elementary School,Hawaii Department of Education,Honolulu County,47-470 Hui Aeko Pl,Kaneohe,HI,96744,,(808)239-3125,22,Suburb: Midsize,No,†,Yes,Yes,315,21.5,14.7,85,28
150003000178,HI-001-2-200,1500030,HI-001,PK,6,Aiea Elementary School,Hawaii Department of Education,Honolulu County,99-370 Moanalua Rd,Aiea,HI,96701,,(808)483-7200,21,Suburb: Large,No,†,Yes,Yes,331,22,15,257,21
150003000177,HI-001-2-202,1500030,HI-001,9,12,Aiea High School,Hawaii Department of Education,Honolulu County,98-1276 Ulune St,Aiea,HI,96701,,(808)483-7300,21,Suburb: Large,No,†,Yes,Yes,971,65,14.9,324,137
150003000176,HI-001-2-201,1500030,HI-001,7,8,Aiea Intermediate School,Hawaii Department of Education,Honolulu County,99-600 Kulawea St,Aiea,HI,96701,,(808)483-7230,21,Suburb: Large,No,†,Yes,Yes,602,40,15.1,251,58
150003000101,HI-001-4-300,1500030,HI-001,PK,6,Aikahi Elementary School,Hawaii Department of Education,Honolulu County,281 Ilihau St,Kailua,HI,96734,,(808)254-7944,22,Suburb: Midsize,No,†,–,–,472,30,15.7,46,16
150003000227,HI-001-1-100,1500030,HI-001,PK,5,Aina Haina Elementary School,Hawaii Department of Education,Honolulu County,801 W Hind Dr,Honolulu,HI,96821,,(808)377-2419,21,Suburb: Large,No,†,–,–,469,28.5,16.5,62,22
150003000226,HI-001-1-101,1500030,HI-001,PK,5,Ala Wai Elementary School,Hawaii Department of Education,Honolulu County,503 Kamoku St,Honolulu,HI,96826,,(808)973-0070,11,City: Large,No,†,Yes,Yes,353,23,15.3,172,32
150003000304,HI-001-7-558,1500030,HI-001,KG,6,Alaka'i O Kaua'i Charter School,Hawaii Department of Education,Kauai County,2-4035 Kaumualii Hwy,Koloa,HI,96746,,(808)635-5110,41,Rural: Fringe,Yes,†,–,–,123,8.25,14.9,14,0
