NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
410852000858,OR-00000000002147-00000000000000000813,4108520,OR-00000000002147,KG,3,A C Houghton Elementary School,Morrow SD 1,Morrow County,1105 N Main Ave,Irrigon,OR,97844,7050,(541)922-3321,32,Town: Distant,No,†,Yes,Yes,255,16,15.9,148,47
411004000865,OR-00000000002180-00000000000000000822,4110040,OR-00000000002180,KG,5,Abernethy Elementary School,Portland SD 1J,Multnomah County,2421 SE Orange Ave,Portland,OR,97214,5398,(503)916-6190,11,City: Large,No,†,–,–,520,23.01,22.6,40,9
410804000963,OR-00000000002048-00000000000000001350,4108040,OR-00000000002048,KG,6,Abraham Lincoln Elementary,Medford SD 549C,Jackson County,3101 McLoughlin Dr,Medford,OR,97504,9237,(541)842-3730,13,City: Small,No,†,–,–,549,26.1,21,164,38
411158001727,OR-00000000002087-00000000000000004555,4111580,OR-00000000002087,KG,12,Academy for Character Education,South Lane SD 45J3,Lane County,195 N 6th Street,Cottage Grove,OR,97424,,(541)942-9707,32,Town: Distant,Yes,†,–,–,204,4.89,41.7,–,–
411167001641,OR-00000000002083-00000000000000004440,4111670,OR-00000000002083,9,12,Academy of Arts and Academics,Springfield SD 19,Lane County,615 Main St,Springfield,OR,97477,4764,(541)744-6728,22,Suburb: Midsize,No,†,–,–,259,16.09,16.1,88,11
411353001714,OR-00000000002146-00000000000000004540,4113530,OR-00000000002146,9,12,Academy of International Studies (at Woodburn),Woodburn SD 103,Marion County,1785 N Front St,Woodburn,OR,97071,9799,(503)980-6100,31,Town: Fringe,No,†,Yes,Yes,275,16,17.2,194,18
410348000032,OR-00000000001901-00000000000000000027,4103480,OR-00000000001901,KG,5,Adams Elementary School,Corvallis SD 509J,Benton County,1615 SW 35th St,Corvallis,OR,97333,1197,(541)757-5938,13,City: Small,No,†,–,–,441,20.6,21.4,99,25
410474000530,OR-00000000002082-00000000000000000503,4104740,OR-00000000002082,KG,5,Adams Elementary School,Eugene SD 4J,Lane County,950 W 22nd Ave,Eugene,OR,97405,2199,(541)790-5000,12,City: Midsize,No,†,–,–,460,23.3,19.7,149,35
410099000524,OR-00000000002063-00000000000000000498,4100990,OR-00000000002063,4,8,Adel Elementary School,Adel SD 21,Lake County,PO Box 117,Adel,OR,97620,117,(541)947-3371,43,Rural: Remote,No,†,–,–,8,1,8,†,†
410102000755,OR-00000000002113-00000000000000000707,4101020,OR-00000000002113,KG,8,Adrian Elementary School,Adrian SD 61,Malheur County,PO Box 108,Adrian,OR,97901,108,(541)372-2337,42,Rural: Distant,No,†,Yes,Yes,206,9.26,22.2,93,27
