NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
210271000573,KY-051251000-051251030,2102710,KY-051251000,KG,5,A B Chandler Elementary School,Henderson County,Henderson County,11215 US Hwy 60 W,Corydon,KY,42406,,(270)533-1760,41,Rural: Fringe,No,No,Yes,Yes,309,22,14,179,13
210051000079,KY-008035000-008035005,2100510,KY-008035000,PK,5,A M Yealey Elementary School,Boone County,Boone County,10 Yealey Dr,Florence,KY,41042,,(859)282-3333,21,Suburb: Large,No,No,Yes,Yes,552,39,14.2,233,12
210186002236,KY-034165000-034165051,2101860,KY-034165000,KG,5,ABLE,Fayette County,Fayette County,701 E Main St,Lexington,KY,40509,,(859)381-4000,11,City: Large,No,No,–,–,8,1,8,†,†
210318002044,KY-062305000-062305015,2103180,KY-062305000,PK,5,Abraham Lincoln Elementary School,LaRue County,Larue County,2101 Lincoln Farm Rd.,Hodgenville,KY,42748,,(270)358-4112,41,Rural: Fringe,No,No,Yes,Yes,502,33,15.2,259,42
210299001859,KY-056275000-056275456,2102990,KY-056275000,5,12,Ackerly,Jefferson County,Jefferson County,200 East Chestnut Street,Louisville,KY,40202,,(502)629-6319,11,City: Large,No,No,–,–,19,2,9.5,4,0
210003002021,KY-001001000-001001016,2100030,KY-001001000,3,5,Adair County Elementary School,Adair County,Adair County,870 Indian Drive,Columbia,KY,42728,,(270)384-0077,33,Town: Remote,No,No,Yes,Yes,612,41,14.9,423,29
210003000001,KY-001001000-001001010,2100030,KY-001001000,9,12,Adair County High School,Adair County,Adair County,526 Indian Drive,Columbia,KY,42728,,(270)384-2751,33,Town: Remote,No,No,Yes,Yes,788,51,15.5,463,37
210003001919,KY-001001000-001001014,2100030,KY-001001000,6,8,Adair County Middle School,Adair County,Adair County,322 General John Adair Drive,Columbia,KY,42728,,(270)384-5308,33,Town: Remote,No,No,Yes,Yes,598,36,16.6,381,27
210003002345,KY-001001000-001001020,2100030,KY-001001000,PK,2,Adair County Primary Center,Adair County,Adair County,158 Col. Casey Dr,Columbia,KY,42728,,(270)384-3367,41,Rural: Fringe,No,No,Yes,Yes,598,34,17.6,412,32
210003001913,KY-001001000-001001012,2100030,KY-001001000,5,12,Adair Learning Academy,Adair County,Adair County,401 Appleby Drive,Columbia,KY,42728,,(270)384-0811,41,Rural: Fringe,No,No,–,–,39,5,7.8,27,0
210354001542,KY-071351000-071351011,2103540,KY-071351000,PK,8,Adairville Elementary School,Logan County,Logan County,226 School Ave,Adairville,KY,42202,,(270)539-7711,42,Rural: Distant,No,No,Yes,Yes,370,28,13.2,190,32
210299001447,KY-056275000-056275920,2102990,KY-056275000,12,12,Ahrens Educational Resource Center,Jefferson County,Jefferson County,546 South First Street,Louisville,KY,40202,,(502)485-8201,11,City: Large,No,No,–,–,40,5,8,22,0
210126000257,KY-027131000-027131015,2101260,KY-027131000,KG,4,Albany Elementary School,Clinton County,Clinton County,819 Third Street,Albany,KY,42602,,(606)387-5828,43,Rural: Remote,No,No,Yes,Yes,485,36.9,13.1,364,20
210299002421,KY-056275000-056275175,2102990,KY-056275000,PK,5,Alex R. Kennedy Elementary,Jefferson County,Jefferson County,4515 Taylorsville Rd,Louisville,KY,40220,,(502)485-6950,21,Suburb: Large,No,No,Yes,Yes,361,24.5,14.7,209,17
210090001398,KY-019091000-019091016,2100900,KY-019091000,6,12,Alexandria Educational Center,Campbell County,Campbell County,51 Orchard Lane,Alexandria,KY,41001,,(859)635-9113,21,Suburb: Large,No,No,–,–,34,3,11.3,26,0
210007002061,KY-002005000-002005901,2100070,KY-002005000,UG,UG,Allen County Career and Technical Center,Allen County,Allen County,1585 Bowling Green Road,Scottsville,KY,42164,,(270)622-4711,41,Rural: Fringe,No,No,†,†,–,0,†,2,1
210007000013,KY-002005000-002005060,2100070,KY-002005000,4,6,Allen County Intermediate Center,Allen County,Allen County,720 Oliver Street,Scottsville,KY,42164,,(270)618-8200,41,Rural: Fringe,No,No,Yes,Yes,717,41.43,17.3,417,50
210007000008,KY-002005000-002005010,2100070,KY-002005000,PK,3,Allen County Primary Center,Allen County,Allen County,721 New Gallatin Road,Scottsville,KY,42164,,(270)618-7200,41,Rural: Fringe,No,No,Yes,Yes,1002,64.2,15.6,569,62
210007000010,KY-002005000-002005020,2100070,KY-002005000,9,12,Allen County-Scottsville High School,Allen County,Allen County,P.O. Box 127,Scottsville,KY,42164,,(270)622-4119,41,Rural: Fringe,No,No,Yes,Yes,881,56.41,15.6,455,47
