NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
380176000003,ND-27002-03151,3801760,ND-27002,PK,6,ALEXANDER ELEMENTARY SCHOOL,ALEXANDER 2,McKenzie County,PO Box 66,Alexander,ND,58831,66,(701)828-3334,43,Rural: Remote,†,†,Yes,No,172,10.68,16.1,20,10
380176000004,ND-27002-03153,3801760,ND-27002,7,12,ALEXANDER HIGH SCHOOL,ALEXANDER 2,McKenzie County,PO Box 66,Alexander,ND,58831,66,(701)828-3334,43,Rural: Remote,†,†,–,–,96,8.27,11.6,11,6
380195000007,ND-25014-03891,3801950,ND-25014,PK,6,ANAMOOSE ELEMENTARY SCHOOL,ANAMOOSE 14,McHenry County,706 3rd St W,Anamoose,ND,58710,4109,(701)465-3258,43,Rural: Remote,†,†,Yes,Yes,85,8.75,9.7,27,5
380201400012,ND-08039-04861,3802014,ND-08039,PK,6,APPLE CREEK ELEMENTARY SCHOOL,APPLE CREEK 39,Burleigh County,2000 93rd St SE,Bismarck,ND,58504,3907,(701)223-7349,41,Rural: Fringe,†,†,–,–,52,6.34,8.2,0,0
380217000013,ND-26009-05391,3802170,ND-26009,PK,6,ASHLEY ELEMENTARY SCHOOL,ASHLEY 9,McIntosh County,703 W Main St,Ashley,ND,58413,7130,(701)288-3456,43,Rural: Remote,†,†,Yes,No,73,9.36,7.8,19,8
380217000014,ND-26009-05393,3802170,ND-26009,7,12,ASHLEY HIGH SCHOOL,ASHLEY 9,McIntosh County,703 W Main St,Ashley,ND,58413,7130,(701)288-3456,43,Rural: Remote,†,†,–,–,70,6.83,10.2,19,8
381941000830,ND-09006-05451,3819410,ND-09006,KG,5,AURORA ELEMENTARY SCHOOL,WEST FARGO 6,Cass County,3420 9th St W,West Fargo,ND,58078,7761,(701)356-2130,22,Suburb: Midsize,†,†,–,–,510,35.93,14.2,47,12
381988000882,ND-53001-07691,3819880,ND-53001,5,6,BAKKEN ELEMENTARY SCHOOL,WILLISTON 1,Williams County,PO Box 1407,Williston,ND,58802,1407,(701)713-7300,33,Town: Remote,†,†,–,–,717,47,15.3,129,48
380224000016,ND-15010-07721,3802240,ND-15010,KG,8,BAKKER ELEMENTARY SCHOOL,BAKKER 10,Emmons County,880 96th St SE,Hague,ND,58542,9327,(701)336-7284,43,Rural: Remote,†,†,–,–,11,1,11,2,3
380006000701,ND-02007-94631,3800060,ND-02007,PK,8,BARNES COUNTY NORTH ELEMENTARY SCHOOL,BARNES COUNTY NORTH 7,Barnes County,2192 101st Ave SE,Wimbledon,ND,58492,9353,(701)646-6202,43,Rural: Remote,†,†,Yes,Yes,179,17,10.5,46,23
380006000702,ND-02007-94633,3800060,ND-02007,9,12,BARNES COUNTY NORTH HIGH SCHOOL,BARNES COUNTY NORTH 7,Barnes County,2192 101st Ave SE,Wimbledon,ND,58492,9353,(701)646-6202,43,Rural: Remote,†,†,–,–,82,10,8.2,21,10
380238000023,ND-17003-08503,3802380,ND-17003,7,12,BEACH HIGH SCHOOL,BEACH 3,Golden Valley County,PO Box 368,Beach,ND,58621,368,(701)872-4161,43,Rural: Remote,†,†,Yes,Yes,143,17.87,8,49,12
380001400044,ND-08001-91601,3800014,ND-08001,PK,KG,BECEP CENTER,BISMARCK 1,Burleigh County,720 N 14th St,Bismarck,ND,58501,4324,(701)323-4400,13,City: Small,†,†,–,–,249,12.5,19.9,0,0
381303000432,ND-51001-08691,3813030,ND-51001,KG,5,BEL AIR ELEMENTARY SCHOOL,MINOT 1,Ward County,501 25th St NW,Minot,ND,58703,1899,(701)857-4590,33,Town: Remote,†,†,–,–,275,17.9,15.4,23,15
380621000180,ND-45013-08841,3806210,ND-45013,PK,6,BELFIELD ELEMENTARY SCHOOL,BELFIELD 13,Stark County,PO Box 97,Belfield,ND,58622,97,(701)575-4275,43,Rural: Remote,†,†,Yes,No,150,14.04,10.7,21,8
380621000181,ND-45013-08843,3806210,ND-45013,7,12,BELFIELD HIGH SCHOOL,BELFIELD 13,Stark County,PO Box 97,Belfield,ND,58622,97,(701)575-4275,43,Rural: Remote,†,†,–,–,106,7.87,13.5,15,6
381303000028,ND-51001-08861,3813030,ND-51001,KG,5,BELL ELEMENTARY SCHOOL,MINOT 1,Ward County,5901 Hwy 52 S,Minot,ND,58701,2315,(701)420-1880,41,Rural: Fringe,†,†,Yes,No,90,8.82,10.2,19,11
380813000252,ND-18001-08961,3808130,ND-18001,PK,5,BEN FRANKLIN ELEMENTARY SCHOOL,GRAND FORKS 1,Grand Forks County,1016 S 20th St,Grand Forks,ND,58201,4185,(701)746-2250,13,City: Small,†,†,Yes,Yes,349,26.2,13.3,89,40
380678000193,ND-09001-07132,3806780,ND-09001,6,8,BEN FRANKLIN MIDDLE SCHOOL,FARGO 1,Cass County,1420 8th St N,Fargo,ND,58102,2613,(701)446-3600,12,City: Midsize,†,†,–,–,830,59.71,13.9,198,66
380678000160,ND-09001-08981,3806780,ND-09001,KG,5,BENNETT ELEMENTARY SCHOOL,FARGO 1,Cass County,2000 S 58th Ave,Fargo,ND,58104,7261,(701)446-4000,12,City: Midsize,†,†,–,–,479,25.8,18.6,49,35
380005800029,ND-51161-09161,3800058,ND-51161,PK,6,BERTHOLD ELEMENTARY SCHOOL,LEWIS AND CLARK 161,Ward County,PO Box 185,Berthold,ND,58718,185,(701)453-3484,43,Rural: Remote,†,†,Yes,No,117,10.04,11.7,10,4
