NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
600003000005,AS-4190000-094,6000030,AS-4190000,KG,8,A.P Lutali,American Samoa Department of Education,Eastern District,Box DOE,Pago Pago,AS,96799,,(684)644-7626,41,Rural: Fringe,No,–,–,–,85,–,†,–,–
600003000001,AS-4190000-076,6000030,AS-4190000,KG,8,Afonotele Elementary School,American Samoa Department of Education,Eastern District,Box DOE,Pago Pago,AS,96799,,(684)644-1525,33,Town: Remote,No,–,–,–,49,–,†,–,–
600003000002,AS-4190000-087,6000030,AS-4190000,KG,8,Alataua-Lua Elementary School,American Samoa Department of Education,Western District,Box DOE,Pago Pago,AS,96799,,(684)688-7516,41,Rural: Fringe,No,–,–,–,168,–,†,–,–
600003000003,AS-4190000-092,6000030,AS-4190000,KG,8,Alofau Elementary School,American Samoa Department of Education,Eastern District,Box DOE,Pago Pago,AS,96799,,(684)622-7659,33,Town: Remote,No,–,–,–,137,–,†,–,–
600003000004,AS-4190000-093,6000030,AS-4190000,KG,8,Aua Elementary School,American Samoa Department of Education,Eastern District,Box DOE,Pago Pago,AS,96799,,(684)644-4081,33,Town: Remote,No,–,–,–,411,–,†,–,–
600003000007,AS-4190000-102,6000030,AS-4190000,9,12,Faga'itua High School,American Samoa Department of Education,Eastern District,Box DOE,Pago Pago,AS,96799,,(684)622-7504,33,Town: Remote,No,–,–,–,498,–,†,–,–
600003000049,AS-4190000-060,6000030,AS-4190000,KG,8,Fagali'i Elementary School,American Samoa Department of Education,Western District,Box DOE,Pago Pago,AS,96799,,(684)688-7850,33,Town: Remote,No,–,–,–,85,–,†,–,–
600003000009,AS-4190000-095,6000030,AS-4190000,KG,8,Faleasao Elementary School,American Samoa Department of Education,Manu'a District,Box DOE,Pago Pago,AS,96799,,(684)677-3115,43,Rural: Remote,No,–,–,–,64,–,†,–,–
600003000010,AS-4190000-096,6000030,AS-4190000,KG,8,Fitiuta Elementary School,American Samoa Department of Education,Manu'a District,Box DOE,Pago Pago,AS,96799,,(684)677-3506,43,Rural: Remote,No,–,–,–,47,–,†,–,–
600003000011,AS-4190000-097,6000030,AS-4190000,KG,8,Lauli'i Elementary School,American Samoa Department of Education,Eastern District,Box DOE,Pago Pago,AS,96799,,(684)644-5653,33,Town: Remote,No,–,–,–,172,–,†,–,–
600003000012,AS-4190000-098,6000030,AS-4190000,KG,8,Le'atele Elementary School,American Samoa Department of Education,Eastern District,Box DOE,Pago Pago,AS,96799,,(684)633-4447,41,Rural: Fringe,No,–,–,–,79,–,†,–,–
600003000013,AS-4190000-103,6000030,AS-4190000,9,12,Leone High School,American Samoa Department of Education,Western District,Box DOE,Pago Pago,AS,96799,,(684)688-7368,33,Town: Remote,No,–,–,–,728,–,†,–,–
600003000014,AS-4190000-077,6000030,AS-4190000,KG,8,Leone Midkiff Elementary School,American Samoa Department of Education,Western District,Box DOE,Pago Pago,AS,96799,,(684)688-7458,33,Town: Remote,No,–,–,–,821,–,†,–,–
600003000015,AS-4190000-078,6000030,AS-4190000,KG,8,Lupelele Elementary School,American Samoa Department of Education,Western District,Box DOE,Pago Pago,AS,96799,,(684)699-7227,33,Town: Remote,No,–,–,–,631,–,†,–,–
600003000016,AS-4190000-104,6000030,AS-4190000,9,12,Manu'a High School,American Samoa Department of Education,Manu'a District,Box DOE,Pago Pago,AS,96799,,(684)677-3152,43,Rural: Remote,No,–,–,–,47,–,†,–,–
600003000017,AS-4190000-079,6000030,AS-4190000,KG,8,Manulele Elementary School,American Samoa Department of Education,Western District,Box DOE,Pago Pago,AS,96799,,(684)699-9617,33,Town: Remote,No,–,–,–,915,–,†,–,–
600003000033,AS-4190000-081,6000030,AS-4190000,KG,8,Masefau Elementary School,American Samoa Department of Education,Eastern District,Box DOE,Pago Pago,AS,96799,,(684)622-7104,41,Rural: Fringe,No,–,–,–,76,–,†,–,–
600003000019,AS-4190000-082,6000030,AS-4190000,KG,8,Matafao Elementary School,American Samoa Department of Education,Eastern District,Box DOE,Pago Pago,AS,96799,,(684)633-2401,33,Town: Remote,No,–,–,–,530,–,†,–,–
600003000020,AS-4190000-083,6000030,AS-4190000,KG,8,Matatula Elementary School,American Samoa Department of Education,Eastern District,Box DOE,Pago Pago,AS,96799,,(684)622-7422,33,Town: Remote,No,–,–,–,142,–,†,–,–
600003000021,AS-4190000-084,6000030,AS-4190000,KG,8,Mt. Alava Elementary School,American Samoa Department of Education,Eastern District,Box DOE,Pago Pago,AS,96799,,(684)644-4992,41,Rural: Fringe,No,–,–,–,66,–,†,–,–
600003000032,AS-4190000-101,6000030,AS-4190000,9,12,Nu'uuli Vocational Technical High School,American Samoa Department of Education,Western District,Box DOE,Pago Pago,AS,96799,,(684)699-9112,33,Town: Remote,No,–,–,–,341,–,†,–,–
600003000023,AS-4190000-085,6000030,AS-4190000,KG,8,Olomoana Elementary School,American Samoa Department of Education,Eastern District,Box DOE,Pago Pago,AS,96799,,(684)622-7622,33,Town: Remote,No,–,–,–,84,–,†,–,–
600003000024,AS-4190000-086,6000030,AS-4190000,KG,8,Olosega Elementary School,American Samoa Department of Education,Manu'a District,Box DOE,Pago Pago,AS,96799,,(684)655-1206,43,Rural: Remote,No,–,–,–,40,–,†,–,–
600003000026,AS-4190000-089,6000030,AS-4190000,KG,8,Pavaiai Elementary School,American Samoa Department of Education,Western District,Box DOE,Pago Pago,AS,96799,,(684)699-9605,33,Town: Remote,No,–,–,–,1100,–,†,–,–
