NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
50375001019,AR-4304000-4304703,503750,AR-4304000,5,12,ACADEMIC CENTER FOR EXCELLENCE,CABOT SCHOOL DISTRICT,Lonoke County,21 FUNTASTIC DR,CABOT,AR,72023,,(501)843-3363,21,Suburb: Large,Yes,No,Yes,Yes,248,15.78,15.7,102,20
50007300001,AR-5706000-5706001,500073,AR-5706000,PK,6,ACORN ELEMENTARY SCHOOL,OUACHITA RIVER SCHOOL DISTRICT,Polk County,143 POLK 96,MENA,AR,71953,,(479)394-4833,42,Rural: Distant,No,No,Yes,Yes,331,20.31,16.3,200,34
50007300002,AR-5706000-5706002,500073,AR-5706000,7,12,ACORN HIGH SCHOOL,OUACHITA RIVER SCHOOL DISTRICT,Polk County,143 POLK 96,MENA,AR,71953,,(479)394-5544,42,Rural: Distant,No,No,Yes,Yes,270,36.14,7.5,124,51
50041900901,AR-6004000-6004001,500419,AR-6004000,PK,PK,ADKINS PRE-K CENTER,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,Pulaski County,500 CLOVERDALE RD,JACKSONVILLE,AR,72076,,(501)982-3117,41,Rural: Fringe,No,No,–,–,239,12,19.9,239,–
50612001644,AR-7203000-7203029,506120,AR-7203000,9,12,AGEE LIERLY LIFE PREPARATION SERVICES SCHOOL,FAYETTEVILLE SCHOOL DISTRICT,Washington County,2350 OLD FARMINGTON RD,FAYETTEVILLE,AR,72701,,(479)444-3083,13,City: Small,No,No,Yes,Yes,254,31.6,8,141,13
51221000986,AR-7311000-7311051,512210,AR-7311000,7,8,AHLF JUNIOR HIGH SCHOOL,SEARCY SCHOOL DISTRICT,White County,308 W VINE,SEARCY,AR,72143,,(501)268-3158,32,Town: Distant,No,No,Yes,Yes,586,40.9,14.3,249,43
50633000370,AR-6601000-6601014,506330,AR-6601000,PK,6,ALBERT PIKE ELEMENTARY SCHOOL,FORT SMITH SCHOOL DISTRICT,Sebastian County,4111 PARK AVE,FORT SMITH,AR,72903,,(479)783-4506,13,City: Small,No,No,Yes,Yes,529,27.82,19,449,37
50004201675,AR-0203000-0203030,500042,AR-0203000,3,5,ALLBRITTON ELEMENTARY SCHOOL,HAMBURG SCHOOL DISTRICT,†,210 Bartlett Street,Hamburg,AR,71646,,(870)853-2820,†,N,No,†,†,†,†,†,†,†,†
50225000004,AR-1701000-1701002,502250,AR-1701000,9,12,ALMA HIGH SCHOOL,ALMA SCHOOL DISTRICT,Crawford County,P O BOX 2139,ALMA,AR,72921,,(479)632-2162,41,Rural: Fringe,No,No,Yes,Yes,1016,†,†,339,96
50225000003,AR-1701000-1701001,502250,AR-1701000,3,5,ALMA INTERMEDIATE SCHOOL,ALMA SCHOOL DISTRICT,Crawford County,P O BOX 2259,ALMA,AR,72921,,(479)632-2166,22,Suburb: Midsize,No,No,Yes,Yes,709,34,20.9,291,74
50225000005,AR-1701000-1701003,502250,AR-1701000,6,8,ALMA MIDDLE SCHOOL,ALMA SCHOOL DISTRICT,Crawford County,P O BOX 2229,ALMA,AR,72921,,(479)632-2168,22,Suburb: Midsize,No,No,Yes,Yes,811,59.87,13.5,327,72
50225001350,AR-1701000-1701004,502250,AR-1701000,KG,2,ALMA PRIMARY SCHOOL,ALMA SCHOOL DISTRICT,Crawford County,P O BOX 2299,ALMA,AR,72921,,(479)632-5100,22,Suburb: Midsize,No,No,Yes,Yes,708,38,18.6,288,74
51161000883,AR-6103000-6103009,511610,AR-6103000,PK,2,ALMA SPIKES ELEMENTARY SCHOOL,POCAHONTAS SCHOOL DISTRICT,Randolph County,1707 HIGHLAND,POCAHONTAS,AR,72455,,(870)892-4573,32,Town: Distant,No,No,Yes,Yes,562,33.71,16.7,303,67
50228000006,AR-0501000-0501001,502280,AR-0501000,PK,6,ALPENA ELEMENTARY SCHOOL,ALPENA SCHOOL DISTRICT,Boone County,P O BOX 270,ALPENA,AR,72611,,(870)437-2229,42,Rural: Distant,No,No,Yes,Yes,307,20.27,15.1,189,30
50228000007,AR-0501000-0501002,502280,AR-0501000,7,12,ALPENA HIGH SCHOOL,ALPENA SCHOOL DISTRICT,Boone County,P O BOX 270,ALPENA,AR,72611,,(870)437-2228,42,Rural: Distant,No,No,Yes,Yes,238,†,†,115,32
50468000193,AR-0302000-0302006,504680,AR-0302000,PK,6,AMANDA GIST ELEMENTARY SCHOOL,COTTER SCHOOL DISTRICT,Baxter County,P O BOX 70,COTTER,AR,72626,,(870)435-6655,42,Rural: Distant,No,No,Yes,Yes,437,30.12,14.5,437,–
51068000779,AR-6002000-6002050,510680,AR-6002000,PK,5,AMBOY ELEMENTARY SCHOOL,N. LITTLE ROCK SCHOOL DISTRICT,Pulaski County,2400 W 58TH ST,NORTH LITTLE ROCK,AR,72118,,(501)771-8185,13,City: Small,No,No,Yes,Yes,474,28.01,16.9,474,–
