NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
220033000255,LA-010-010042,2200330,LA-010,PK,5,A. A. Nelson Elementary School,Calcasieu Parish,Calcasieu Parish,1001 Country Club Road,Lake Charles,LA,70605,,(337)217-4790,13,City: Small,No,No,Yes,Yes,782,43.88,17.8,327,63
220005600750,LA-322-322001,2200056,LA-322,KG,8,A. E. Phillips Laboratory School,A.E. Phillips Laboratory School,Lincoln Parish,Box 10168 Tech Station,Ruston,LA,71272,,(318)257-3469,32,Town: Distant,No,Yes,–,–,414,18,23,29,–
220084000578,LA-026-026003,2200840,LA-026,PK,8,A.C. Alexander Elementary School,Jefferson Parish,Jefferson Parish,600 West Esplanade Avenue,Kenner,LA,70065,2799,(504)469-7326,21,Suburb: Large,No,No,Yes,Yes,507,28.85,17.6,270,4
220030000198,LA-009-009060,2200300,LA-009,PK,5,A.C. Steere Elementary School,Caddo Parish,Caddo Parish,4009 Youree Drive,Shreveport,LA,71105,,(318)865-5675,12,City: Midsize,No,No,–,–,447,25.64,17.4,128,–
220180001385,LA-057-057001,2201800,LA-057,9,12,Abbeville High School,Vermilion Parish,Vermilion Parish,1305 Wildcat Dr,Abbeville,LA,70510,,(337)893-1874,31,Town: Fringe,No,No,Yes,Yes,647,37.69,17.2,368,–
220165001263,LA-052-052001,2201650,LA-052,PK,3,Abita Springs Elementary School,St. Tammany Parish,St. Tammany Parish,22410 Level Street,Abita Springs,LA,70420,,(985)892-8184,41,Rural: Fringe,No,No,Yes,Yes,662,39.55,16.7,297,41
220165001565,LA-052-052002,2201650,LA-052,4,6,Abita Springs Middle School,St. Tammany Parish,St. Tammany Parish,72079 Maple Street,Abita Springs,LA,70420,,(985)892-2070,23,Suburb: Small,No,No,Yes,Yes,512,23.65,21.6,216,23
220165002317,LA-052-052064,2201650,LA-052,PK,KG,Abney Elementary Early Childhood Center,St. Tammany Parish,St. Tammany Parish,829 Kostmayer Avenue,Slidell,LA,70458,,(985)649-1858,23,Suburb: Small,No,No,Yes,Yes,250,15.61,16,190,21
220023702068,LA-WJ1-WJ1001,2200237,LA-WJ1,9,13,Abramson Sci Academy,Abramson Sci Academy,Orleans Parish,5552 Read Blvd,New Orleans,LA,70127,,(504)241-0037,11,City: Large,Yes,No,Yes,Yes,593,36,16.5,593,–
220030002343,LA-009-009104,2200300,LA-009,2,12,Academic Recovery Ombudsman,Caddo Parish,Caddo Parish,401 North Holzman,Shreveport,LA,71101,,(318)347-9502,12,City: Midsize,No,No,–,–,83,0,†,61,1
220129001038,LA-040-040001,2201290,LA-040,PK,KG,Acadian Elementary,Rapides Parish,Rapides Parish,310 Richmond Drive,Alexandria,LA,71302,,(318)487-1202,13,City: Small,No,No,Yes,Yes,223,16,13.9,203,–
220174001334,LA-055-055001,2201740,LA-055,PK,4,Acadian Elementary School,Terrebonne Parish,Terrebonne Parish,1020 Saadi Street,Houma,LA,70363,,(985)876-0612,13,City: Small,No,No,Yes,Yes,738,39.5,18.7,491,–
220087000659,LA-028-028001,2200870,LA-028,5,8,Acadian Middle School,Lafayette Parish,Lafayette Parish,4201 Moss Street,Lafayette,LA,70507,,(337)521-7840,12,City: Midsize,No,No,Yes,Yes,447,29,15.4,295,3
220087000660,LA-028-028002,2200870,LA-028,9,12,Acadiana High School,Lafayette Parish,Lafayette Parish,315 Rue du Belier,Lafayette,LA,70506,,(337)521-7950,21,Suburb: Large,No,No,Yes,Yes,1768,74,23.9,778,2
220023102392,LA-W6B-W6B001,2200231,LA-W6B,KG,8,Acadiana Renaissance Charter Academy,Acadiana Renaissance Charter Academy,Lafayette Parish,600 Savoy Rd,Youngsville,LA,70592,,(337)374-1209,41,Rural: Fringe,Yes,No,Yes,Yes,891,50.46,17.7,211,79
220026802385,LA-W1B-W1B001,2200268,LA-W1B,KG,8,Advantage Charter Academy,Advantage Charter Academy,East Baton Rouge Parish,14740 Plank Road,Baker,LA,70714,,(225)774-3111,21,Suburb: Large,Yes,No,Yes,Yes,660,33.67,19.6,444,–
220027000112,LA-008-008001,2200270,LA-008,8,12,Airline High School,Bossier Parish,Bossier Parish,2801 Airline Drive,Bossier City,LA,71111,,(318)549-5080,13,City: Small,No,No,Yes,No,1854,88.5,20.9,673,55
220084002298,LA-026-026122,2200840,LA-026,PK,5,Airline Park Academy for Advanced Studies,Jefferson Parish,Jefferson Parish,6201 Camphor Street,Metairie,LA,70003,3697,(504)888-0969,12,City: Midsize,No,Yes,–,–,377,14.51,26,31,2
220020802071,LA-WI1-WI1001,2200208,LA-WI1,KG,8,Akili Academy of New Orleans,Akili Academy of New Orleans,Orleans Parish,3811 N. Galvez Street,New Orleans,LA,70122,,(504)355-4172,11,City: Large,Yes,No,Yes,Yes,623,39,16,516,–
220102000755,LA-032-032002,2201020,LA-032,8,12,Albany High School,Livingston Parish,Livingston Parish,P.O. Drawer 1090,Albany,LA,70711,,(225)567-9319,41,Rural: Fringe,No,No,Yes,Yes,515,28.92,17.8,173,4
220102000754,LA-032-032001,2201020,LA-032,PK,2,Albany Lower Elementary School,Livingston Parish,Livingston Parish,30020 West Murray Street,Albany,LA,70711,,(225)567-9281,23,Suburb: Small,No,No,Yes,Yes,497,27,18.4,245,3
220102001708,LA-032-032032,2201020,LA-032,4,8,Albany Middle School,Livingston Parish,Livingston Parish,P O Box 1210,Albany,LA,70711,,(225)567-5231,41,Rural: Fringe,No,No,Yes,Yes,684,29.5,23.2,274,6
220102000400,LA-032-032039,2201020,LA-032,3,4,Albany Upper Elementary School,Livingston Parish,Livingston Parish,29777 South Montpelier Road,Albany,LA,70711,,(225)567-5030,23,Suburb: Small,No,No,Yes,Yes,292,16,18.3,136,–
220144001149,LA-045-045014,2201440,LA-045,6,8,Albert Cammon Middle School,St. Charles Parish,St. Charles Parish,234 Pirate Drive,St. Rose,LA,70087,,(504)467-4536,21,Suburb: Large,No,No,Yes,Yes,329,28,11.8,211,29
220129001039,LA-040-040002,2201290,LA-040,7,8,Alexandria Middle Magnet School,Rapides Parish,Rapides Parish,122 Maryland Avenue,Alexandria,LA,71301,,(318)445-5343,13,City: Small,No,No,Yes,Yes,345,23,15,262,3
220129001040,LA-040-040003,2201290,LA-040,9,12,Alexandria Senior High School,Rapides Parish,Rapides Parish,800 Ola Lane,Alexandria,LA,71303,,(318)448-8234,13,City: Small,No,No,–,–,1373,66,20.8,649,75
220033000216,LA-010-010003,2200330,LA-010,9,12,Alfred M. Barbe High School,Calcasieu Parish,Calcasieu Parish,2200 West McNeese,Lake Charles,LA,70605,,(337)217-4460,13,City: Small,No,No,–,–,1995,88.65,22.5,522,57
220084000583,LA-026-026008,2200840,LA-026,PK,5,Alice Birney Elementary School,Jefferson Parish,Jefferson Parish,4829 Hastings Street,Metairie,LA,70006,2676,(504)885-1054,12,City: Midsize,No,No,Yes,Yes,526,27,19.5,274,12
220027900903,LA-WBC-WBC001,2200279,LA-WBC,PK,8,Alice M Harte Elementary Charter School,Alice M. Harte Elementary Charter School,Orleans Parish,5300 Berkley Dr.,New Orleans,LA,70131,,(504)373-6281,11,City: Large,Yes,No,Yes,Yes,780,34,22.9,373,–
220087000662,LA-028-028004,2200870,LA-028,PK,5,Alice N. Boucher Elementary School,Lafayette Parish,Lafayette Parish,400 Patterson Street,Lafayette,LA,70501,,(337)521-7610,12,City: Midsize,No,No,Yes,Yes,708,47,15.1,590,3
220144001137,LA-045-045001,2201440,LA-045,PK,2,Allemands Elementary School,St. Charles Parish,St. Charles Parish,1471 WPA Road (Hwy. 632),Des Allemands,LA,70030,,(985)758-7427,41,Rural: Fringe,No,No,Yes,Yes,236,20,11.8,138,11
220084000599,LA-026-026024,2200840,LA-026,PK,8,Allen Ellender School,Jefferson Parish,Jefferson Parish,4501 East Ames Boulevard,Marrero,LA,70072,6309,(504)341-9469,21,Suburb: Large,No,No,Yes,Yes,603,29.98,20.1,302,19
220129001083,LA-040-040045,2201290,LA-040,4,5,Alma Redwine Elementary,Rapides Parish,Rapides Parish,1323 Vance Avenue,Alexandria,LA,71302,,(318)442-3177,13,City: Small,No,No,Yes,Yes,285,16,17.8,229,1
220165001265,LA-052-052004,2201650,LA-052,PK,5,Alton Elementary School,St. Tammany Parish,St. Tammany Parish,38276 North 5th Avenue,Slidell,LA,70460,,(985)863-5353,23,Suburb: Small,No,No,Yes,Yes,195,17.27,11.3,180,7
220003002381,LA-001-001036,2200030,LA-001,4,12,AMIKids Acadiana,Acadia Parish,Acadia Parish,P. O. Box 292,Branch,LA,70516,3323,(337)334-4838,42,Rural: Distant,No,No,Yes,Yes,36,0,†,27,–
220030002431,LA-009-009111,2200300,LA-009,6,8,AmiKiDs Caddo,Caddo Parish,Caddo Parish,3860 Hutchinson,Shreveport,LA,71109,,(318)636-0730,12,City: Midsize,Yes,No,Yes,Yes,149,0,†,121,–
220168001297,LA-053-053001,2201680,LA-053,PK,4,Amite Elementary Magnet School,Tangipahoa Parish,Tangipahoa Parish,301 Venon Avenue,Amite,LA,70422,,(985)748-6953,31,Town: Fringe,No,No,Yes,Yes,501,29.11,17.2,353,–
220168001298,LA-053-053002,2201680,LA-053,9,12,Amite High Magnet,Tangipahoa Parish,Tangipahoa Parish,403 South Laurel Street,Amite,LA,70422,,(985)748-9301,31,Town: Fringe,No,No,Yes,Yes,415,27.72,15,252,–
220168001326,LA-053-053032,2201680,LA-053,5,8,Amite Westside Middle Magnet,Tangipahoa Parish,Tangipahoa Parish,401 West Oak Street,Amite,LA,70422,,(985)748-9073,31,Town: Fringe,No,No,Yes,Yes,356,22,16.2,247,–
220183001847,LA-058-058018,2201830,LA-058,PK,6,Anacoco Elementary School,Vernon Parish,Vernon Parish,4726 Port Arthur Avenue,Anacoco,LA,71403,,(337)239-3040,42,Rural: Distant,No,No,Yes,Yes,521,28.25,18.4,217,43
220183001405,LA-058-058001,2201830,LA-058,7,12,Anacoco High School,Vernon Parish,Vernon Parish,4740 Port Arthur Avenue,Anacoco,LA,71403,,(337)239-3039,42,Rural: Distant,No,No,Yes,Yes,376,19.06,19.7,136,37
220072000505,LA-023-023001,2200720,LA-023,7,8,Anderson Middle School,Iberia Parish,Iberia Parish,1059 Anderson Street,New Iberia,LA,70560,,(337)365-3932,21,Suburb: Large,No,No,Yes,Yes,361,23.33,15.5,266,–
220141002296,LA-044-044025,2201410,LA-044,6,8,Andrew Jackson Middle School,St. Bernard Parish,St. Bernard Parish,201 8th Street,Chalmette,LA,70043,4231,(504)301-1500,21,Suburb: Large,No,No,Yes,Yes,658,30,21.9,389,11
220027000113,LA-008-008002,2200270,LA-008,PK,5,Apollo Elementary School,Bossier Parish,Bossier Parish,2400 Viking Drive,Bossier City,LA,71111,,(318)549-6010,13,City: Small,No,No,Yes,Yes,665,36,18.5,260,28
220141002302,LA-044-044001,2201410,LA-044,PK,5,Arabi Elementary School,St. Bernard Parish,St. Bernard Parish,7200 Alexander Avenue,Arabi,LA,70032,1638,(504)218-5058,21,Suburb: Large,No,No,Yes,Yes,583,35.46,16.4,294,5
220021000090,LA-007-007001,2200210,LA-007,6,12,Arcadia High School,Bienville Parish,Bienville Parish,967 Daniel Street,Arcadia,LA,71001,,(318)263-2264,32,Town: Distant,No,No,Yes,Yes,281,25.51,11,183,–
220021202278,LA-WV1-WV1001,2200212,LA-WV1,KG,8,Arise Academy,Arise Academy,Orleans Parish,3819 St. Claude Avenue,New Orleans,LA,70117,,(504)615-6354,11,City: Large,Yes,No,Yes,Yes,490,24,20.4,435,–
220141002449,LA-044-044028,2201410,LA-044,PK,5,Arlene Meraux Elementary School,St. Bernard Parish,St. Bernard Parish,4004 Paris Rd,Chalmette,LA,70043,,(504)556-0900,21,Suburb: Large,No,No,Yes,Yes,575,31.43,18.3,385,1
220054000340,LA-017-017001,2200540,LA-017,6,12,Arlington Preparatory Academy,East Baton Rouge Parish,East Baton Rouge Parish,931 Dean Lee Drive,Baton Rouge,LA,70820,,(225)766-8188,41,Rural: Fringe,No,No,Yes,Yes,79,8,9.9,45,2
220003000001,LA-001-001001,2200030,LA-001,6,8,Armstrong Middle School,Acadia Parish,Acadia Parish,700 Martin Luther King Drive,Rayne,LA,70578,4611,(337)334-3377,31,Town: Fringe,No,No,Yes,Yes,345,19.5,17.7,214,–
220156000191,LA-049-049054,2201560,LA-049,5,8,Arnaudville Elementary School,St. Landry Parish,St. Landry Parish,P.O. Box 770,Arnaudville,LA,70512,,(337)754-5320,42,Rural: Distant,No,No,Yes,Yes,210,12,17.5,104,–
220019200947,LA-W92-W92001,2200192,LA-W92,KG,8,Arthur Ashe Charter School,Arthur Ashe Charter School,Orleans Parish,1456 Gardena Drive,New Orleans,LA,70122,,(504)444-3236,11,City: Large,Yes,No,Yes,Yes,847,32,26.5,628,–
220030000141,LA-009-009002,2200300,LA-009,PK,5,Arthur Circle Elementary School,Caddo Parish,Caddo Parish,261 Arthur Avenue,Shreveport,LA,71105,,(318)861-3537,12,City: Midsize,No,No,Yes,Yes,405,22.17,18.3,252,1
220129001055,LA-040-040018,2201290,LA-040,7,8,Arthur F. Smith Middle Magnet School,Rapides Parish,Rapides Parish,3100 Jones Street,Alexandria,LA,71302,,(318)445-6241,13,City: Small,No,No,Yes,Yes,319,23,13.9,262,1
220012000048,LA-004-004001,2200120,LA-004,9,12,Assumption High School,Assumption Parish,Assumption Parish,4880 Hwy 308,Napoleonville,LA,70390,,(985)369-2956,22,Suburb: Midsize,No,No,Yes,Yes,957,44.6,21.5,544,23
220030502452,LA-WBR-WBR001,2200305,LA-WBR,KG,8,Athlos Academy of Jefferson Parish,Athlos Academy of Jefferson Parish,Jefferson Parish,979 Behrman Hwy,Terrytown,LA,70056,,(504)290-2510,21,Suburb: Large,Yes,No,–,–,971,43,22.6,674,71
220030000142,LA-009-009003,2200300,LA-009,PK,5,Atkins Technology Elementary School,Caddo Parish,Caddo Parish,7611 St.Vincent Avenue,Shreveport,LA,71106,,(318)868-2810,12,City: Midsize,No,No,Yes,Yes,320,14.5,22.1,273,–
220201001478,LA-064-064001,2202010,LA-064,PK,12,Atlanta High School,Winn Parish,Winn Parish,118 School Road,Atlanta,LA,71404,,(318)628-4613,42,Rural: Distant,No,No,Yes,Yes,226,15,15.1,137,–
220028501620,LA-WAZ-WAZ001,2200285,LA-WAZ,PK,8,Audubon Charter School,Audubon Charter School,Orleans Parish,428 Broadway Avenue,New Orleans,LA,70118,3514,(504)324-7100,11,City: Large,Yes,No,Yes,Yes,858,53.8,15.9,255,59
