NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
510105000374,VA-024-0240240,5101050,VA-024,PK,5,A G RICHARDSON ELEM,CULPEPER CO PBLC SCHS,Culpeper County,18370 Simms Dr,Culpeper,VA,22701,,(540)825-0616,32,Town: Distant,No,No,–,–,585,38,15.4,226,33
510084000314,VA-021-0210620,5100840,VA-021,PK,5,A M DAVIS ELEM,CHESTERFIELD CO PBLC SCHS,Chesterfield County,415 S Providence Rd,North Chesterfield,VA,23236,3343,(804)674-1310,21,Suburb: Large,No,No,Yes,Yes,706,46.94,15,367,51
510313002039,VA-075-0750330,5103130,VA-075,PK,5,A. HENDERSON ELEM,PRINCE WILLIAM CO PBLC SCHS,Prince William County,3799 Waterway Dr,Dumfries,VA,22025,,(703)670-2885,21,Suburb: Large,No,No,–,–,825,43.5,19,174,47
510003301933,VA-268-2680010,5100033,VA-268,UG,UG,A. LINWOOD HOLTON GOV. SCH.,A. LINWOOD HOLTON GOV SCH,Washington County,Southwest Va Higher Ed Center,Abingdon,VA,24212,,(276)469-4027,23,Suburb: Small,No,Yes,†,†,0,–,†,–,–
510369001610,VA-126-1260040,5103690,VA-126,KG,5,A. R. WARE ELEM,STAUNTON CITY PBLC SCHS,Staunton city,330 Grubert Avenue,Staunton,VA,24401,,(540)332-3938,13,City: Small,No,No,Yes,Yes,432,30,14.4,185,30
510387001729,VA-093-0930090,5103870,VA-093,KG,5,A.S. RHODES ELEM,WARREN CO PBLC SCHS,Warren County,224 W Strasburg Rd,Front Royal,VA,22630,,(540)635-4556,31,Town: Fringe,No,No,Yes,Yes,267,16.01,16.7,80,15
510180000725,VA-112-1120500,5101800,VA-112,PK,5,A.W.E. BASSETTE ELEM,HAMPTON CITY PBLC SCHS,Hampton city,671 Bell St,Hampton,VA,23661,,(757)727-1071,12,City: Midsize,No,No,Yes,Yes,456,27,16.9,395,0
510381001645,VA-092-0921020,5103810,VA-092,PK,5,ABBS VALLEY-BOISSEVAIN ELEM,TAZEWELL CO PBLC SCHS,Tazewell County,P. O. Box 69,Boissevain,VA,24606,69,(276)945-5969,42,Rural: Distant,No,No,Yes,Yes,172,9,19.1,164,0
510180000726,VA-112-1120160,5101800,VA-112,PK,5,ABERDEEN ELEM,HAMPTON CITY PBLC SCHS,Hampton city,1424 Aberdeen Rd,Hampton,VA,23666,,(757)825-4624,12,City: Midsize,No,No,Yes,Yes,465,29,16,431,0
510162000677,VA-036-0360250,5101620,VA-036,PK,5,ABINGDON ELEM,GLOUCESTER CO PBLC SCHS,Gloucester County,7087 Powhatan Drive,Hayes,VA,23072,,(804)642-9885,21,Suburb: Large,No,No,Yes,No,606,39,15.5,229,43
