NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
250732002639,MA-0170-01700045,2507320,MA-0170,5,8,1 LT Charles W. Whitcomb School,Marlborough,Middlesex County,25 Union Street,Marlborough,MA,1752,,(508)460-3502,21,Suburb: Large,No,No,Yes,Yes,1402,119.8,11.7,–,–
250711001062,MA-0163-01630016,2507110,MA-0163,PK,5,A Drewicz Elementary,Lynn,Essex County,34 Hood Street,Lynn,MA,1905,,(781)477-7350,21,Suburb: Large,No,No,Yes,Yes,499,35.52,14,–,–
250861001356,MA-0207-02070005,2508610,MA-0207,KG,5,A E Angier,Newton,Middlesex County,1697 Beacon Street,Waban,MA,2468,,(617)559-9300,13,City: Small,No,No,–,–,503,40.69,12.4,–,–
250271501078,MA-0622-06220015,2502715,MA-0622,3,5,A F Maloney,Blackstone-Millville,Worcester County,200 Lincoln Street,Blackstone,MA,1504,,(508)876-0119,21,Suburb: Large,No,No,Yes,No,314,19.77,15.9,–,–
251005001619,MA-0248-02480003,2510050,MA-0248,KG,5,A. C. Whelan Elementary School,Revere,Suffolk County,107 Newhall Street,Revere,MA,2151,,(781)388-7510,21,Suburb: Large,No,No,Yes,Yes,786,51,15.4,–,–
250219000097,MA-0016-00160001,2502190,MA-0016,KG,4,A. Irvin Studley Elementary School,Attleboro,Bristol County,299 Rathbun Willard Drive,Attleboro,MA,2703,,(508)222-2621,21,Suburb: Large,No,No,Yes,Yes,396,29,13.7,–,–
251266000163,MA-0326-03260004,2512660,MA-0326,3,5,Abbot Elementary,Westford,Middlesex County,25 Depot Street,Westford,MA,1886,,(978)692-5580,21,Suburb: Large,No,No,–,–,381,25.65,14.9,–,–
250492000706,MA-0098-00980005,2504920,MA-0098,PK,8,Abbott Memorial,Florida,Berkshire County,56 North County Rd,Florida,MA,1247,,(413)664-6023,41,Rural: Fringe,No,No,Yes,No,87,9.8,8.9,–,–
250005101247,MA-0445-04450105,2500051,MA-0445,KG,12,Abby Kelley Foster Charter Public School,Abby Kelley Foster Charter Public (District),Worcester County,10 New Bond Street,Worcester,MA,1606,,(508)854-8400,12,City: Midsize,Yes,No,Yes,Yes,1428,116.39,12.3,–,–
251284002607,MA-0336-03360310,2512840,MA-0336,5,8,Abigail Adams Middle School,Weymouth,Norfolk County,89 Middle Street,East Weymouth,MA,2189,,(781)335-1100,21,Suburb: Large,No,No,Yes,No,885,66.34,13.3,–,–
250165002727,MA-0001-00010001,2501650,MA-0001,PK,PK,Abington Early Education Program,Abington,Plymouth County,201 Gliniewicz Way,Abington,MA,2351,,(781)982-2195,21,Suburb: Large,No,No,–,–,90,4,22.5,–,–
250165000001,MA-0001-00010505,2501650,MA-0001,9,12,Abington High,Abington,Plymouth County,201 Gliniewicz Way,Abington,MA,2351,,(781)982-2160,21,Suburb: Large,No,No,–,–,545,37.93,14.4,–,–
250165000002,MA-0001-00010405,2501650,MA-0001,5,8,Abington Middle School,Abington,Plymouth County,201 Gliniewicz Way,Abington,MA,2351,,(781)982-2170,21,Suburb: Large,No,No,–,–,672,38.18,17.6,–,–
251263002061,MA-0325-03250020,2512630,MA-0325,KG,4,Abner Gibbs,Westfield,Hampden County,50 West Silver Street,Westfield,MA,1085,3899,(413)572-6418,21,Suburb: Large,No,No,Yes,Yes,218,13.89,15.7,–,–
250711001061,MA-0163-01630011,2507110,MA-0163,KG,5,Aborn,Lynn,Essex County,409 Eastern Avenue,Lynn,MA,1902,,(781)477-7320,21,Suburb: Large,No,No,Yes,Yes,256,16.8,15.2,–,–
250702001023,MA-0160-01600020,2507020,MA-0160,PK,4,Abraham Lincoln,Lowell,Middlesex County,300 Chelmsford Street,Lowell,MA,1851,,(978)937-2846,21,Suburb: Large,No,No,Yes,Yes,509,36,14.1,–,–
250843001318,MA-0201-02010095,2508430,MA-0201,KG,5,Abraham Lincoln,New Bedford,Bristol County,445 Ashley Blvd,New Bedford,MA,2745,5213,(508)997-4511,22,Suburb: Midsize,No,No,Yes,Yes,688,43,16,–,–
251005001618,MA-0248-02480025,2510050,MA-0248,PK,5,Abraham Lincoln,Revere,Suffolk County,68 Tuckerman Street,Revere,MA,2151,,(781)286-8270,21,Suburb: Large,No,No,Yes,Yes,669,45,14.9,–,–
251284002103,MA-0336-03360005,2512840,MA-0336,KG,4,Academy Avenue,Weymouth,Norfolk County,94 Academy Avenue,Weymouth,MA,2189,,(781)335-4717,21,Suburb: Large,No,No,–,–,293,20.12,14.6,–,–
