NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
450144000199,SC-1001-036,4501440,SC-1001,PK,5,A. C. Corcoran Elementary,Charleston 01,Charleston County,8585 Vistavia Road,North Charleston,SC,29406,,(843)764-2218,12,City: Midsize,No,No,Yes,Yes,779,46.9,16.6,779,–
450336000952,SC-4001-007,4503360,SC-4001,9,12,A. C. Flora High,Richland 01,Richland County,1 Falcon Drive,Columbia,SC,29204,,(803)738-7300,21,Suburb: Large,No,No,–,–,1455,90,16.2,1455,–
450336000926,SC-4001-048,4503360,SC-4001,PK,5,A. C. Moore Elementary,Richland 01,Richland County,333 Etiwan Avenue,Columbia,SC,29205,,(803)343-2910,12,City: Midsize,No,No,–,–,329,33,10,329,–
450336000919,SC-4001-038,4503360,SC-4001,PK,5,A. J. Lewis Greenview Elementary,Richland 01,Richland County,726 Easter Street,Columbia,SC,29203,,(803)735-3417,12,City: Midsize,No,No,Yes,Yes,359,28,12.8,359,–
450072001702,SC-0201-063,4500720,SC-0201,6,8,A. L. Corbett Middle,Aiken 01,Aiken County,10 A.L. Corbett Circle,Wagener,SC,29164,,(803)564-1050,42,Rural: Distant,No,No,Yes,Yes,194,14,13.9,194,–
450258001260,SC-2901-003,4502580,SC-2901,6,8,A. R. Rucker Middle,Lancaster 01,Lancaster County,422 Old Dixie Road,Lancaster,SC,29720,,(803)416-8555,41,Rural: Fringe,No,No,–,–,562,40,14.1,360,36
450231001551,SC-2301-119,4502310,SC-2301,PK,5,A.J. Whittenburg Elementary,Greenville 01,Greenville County,420 Westfield Street,Greenville,SC,29601,,(864)452-0500,13,City: Small,No,No,–,–,537,32.8,16.4,256,31
450069001188,SC-0160-995,4500690,SC-0160,10,12,Abbeville County Career Center,Abbeville 60,Abbeville County,100 Old Calhoun Falls Highway,Abbeville,SC,29620,,(864)366-9069,41,Rural: Fringe,No,No,†,†,0,6,†,0,0
450069000011,SC-0160-001,4500690,SC-0160,9,12,Abbeville High,Abbeville 60,Abbeville County,701 Washington Street,Abbeville,SC,29620,,(864)366-5916,41,Rural: Fringe,No,No,–,–,479,32,15,262,30
450360001503,SC-4205-094,4503600,SC-4205,PK,4,Abner Creek Academy,Spartanburg 05,Spartanburg County,2050 Abner Creek Road,Duncan,SC,29334,,(864)949-2334,41,Rural: Fringe,No,Yes,–,–,625,45.5,13.7,168,60
450144000168,SC-1001-099,4501440,SC-1001,9,12,Academic Magnet High,Charleston 01,Charleston County,5109-A West Enterprise Street,North Charleston,SC,29405,,(843)746-1300,12,City: Midsize,No,Yes,–,–,655,38.3,17.1,15,5
