NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
90180000328,CT-0600011-0600711,901800,CT-0600011,5,6,A. Baldwin Middle School,Guilford School District,New Haven County,68 Bullard Dr.,Guilford,CT,6437,1553,(203)457-0222,21,Suburb: Large,No,No,–,–,502,36.7,13.7,50,19
90000201136,CT-9000016-9001516,900002,CT-9000016,9,12,A. I. Prince Technical High School,Connecticut Technical Education and Career System,Hartford County,401 Flatbush Ave.,Hartford,CT,6106,,(860)951-7112,12,City: Midsize,No,No,Yes,Yes,677,82.4,8.2,349,71
90180000329,CT-0600011-0600611,901800,CT-0600011,KG,4,A. W. Cox School,Guilford School District,New Haven County,143 Three Mile Course,Guilford,CT,6437,2522,(203)453-5291,41,Rural: Fringe,No,No,Yes,No,266,21.95,12.1,31,11
90447000903,CT-1390011-1390411,904470,CT-1390011,PK,2,A. Ward Spaulding School,Suffield School District,Hartford County,945 Mountain Rd.,Suffield,CT,6078,2014,(860)668-3826,41,Rural: Fringe,No,No,Yes,No,430,30,14.3,52,6
90045000085,CT-0150011-0154411,900450,CT-0150011,PK,PK,A.B. Skane Center,Bridgeport School District,Fairfield County,2977 North Madison Ave.,Bridgeport,CT,6606,2060,(203)576-7181,12,City: Midsize,No,No,–,–,226,17,13.3,123,14
90070001513,CT-2410014-2415114,900700,CT-2410014,6,12,Academy of Aerospace and Engineering,Capitol Region Education Council,Hartford County,1101 Kennedy Road,Windsor,CT,6095,,(860)243-0857,21,Suburb: Large,No,Yes,Yes,Yes,786,66.62,11.8,313,65
90070001629,CT-2410014-2410714,900700,CT-2410014,PK,5,Academy of Aerospace and Engineering Elementary,Capitol Region Education Council,Hartford County,525 Brook Street,Rocky Hill,CT,6067,,(860)529-1652,21,Suburb: Large,No,Yes,Yes,Yes,501,32,15.7,201,54
90070001592,CT-2410014-2416514,900700,CT-2410014,6,12,Academy of Science and Innovation,Capitol Region Education Council,Hartford County,600 Slater Road,New Britain,CT,6053,,(860)223-0726,21,Suburb: Large,No,Yes,Yes,Yes,801,63.21,12.7,395,98
90020801493,CT-2850013-2850113,900208,CT-2850013,KG,12,Achievement First Bridgeport Academy,Achievement First Bridgeport Academy District,Fairfield County,655 Stillman St.,Bridgeport,CT,6608,1331,(203)338-0593,12,City: Midsize,Yes,No,Yes,Yes,1093,55,19.9,593,124
90021201528,CT-2880013-2880113,900212,CT-2880013,KG,12,Achievement First Hartford Academy,Achievement First Hartford Academy District,Hartford County,305 Greenfield Street,Hartford,CT,6112,,(860)695-6685,12,City: Midsize,Yes,No,Yes,Yes,1112,77.75,14.3,783,74
90045001639,CT-0150011-0150811,900450,CT-0150011,9,12,Aerospace/Hydrospace Engineering and Physical Sciences Magne,Bridgeport School District,Fairfield County,840 Old Town Road,Bridgeport,CT,6606,,(203)275-3343,12,City: Midsize,No,Yes,–,–,449,23,19.5,239,30
90492000004,CT-1550011-1551611,904920,CT-1550011,PK,5,Aiken School,West Hartford School District,Hartford County,212 King Philip Dr.,West Hartford,CT,6117,1408,(860)233-6994,13,City: Small,No,No,–,–,420,29.3,14.3,49,12
90384000782,CT-1190011-1195111,903840,CT-1190011,6,8,Albert D. Griswold Middle School,Rocky Hill School District,Hartford County,144 Bailey Rd.,Rocky Hill,CT,6067,2200,(860)258-7741,21,Suburb: Large,No,No,Yes,No,622,54.4,11.4,105,24
90528001105,CT-1660011-1660611,905280,CT-1660011,PK,5,Alcott School,Wolcott School District,New Haven County,1490 Woodtick Rd.,Wolcott,CT,6716,1538,(203)879-8160,22,Suburb: Midsize,No,No,Yes,No,271,22,12.3,63,12
90507001059,CT-1590011-1590811,905070,CT-1590011,KG,6,Alfred W. Hanmer School,Wethersfield School District,Hartford County,50 Francis St.,Wethersfield,CT,6109,1801,(860)571-8370,21,Suburb: Large,No,No,Yes,No,360,25.1,14.3,84,24
90117000180,CT-0400011-0400111,901170,CT-0400011,PK,2,Allgrove School,East Granby School District,Hartford County,33 Turkey Hills Rd.,East Granby,CT,6026,9570,(860)653-2505,41,Rural: Fringe,No,No,Yes,Yes,189,17.26,11,28,0
90495001027,CT-1560011-1560811,904950,CT-1560011,PK,4,Alma E. Pagels School,West Haven School District,New Haven County,26 Benham Hill Rd.,West Haven,CT,6516,6545,(203)931-6840,21,Suburb: Large,No,No,–,–,360,31.3,11.5,154,32
90002400981,CT-2790013-2795113,900024,CT-2790013,KG,12,Amistad Academy,Amistad Academy District,New Haven County,130 Edgewood Avenue,New Haven,CT,6511,,(203)772-7000,12,City: Midsize,Yes,No,Yes,Yes,1083,97,11.2,665,97
90366001114,CT-2050012-2055112,903660,CT-2050012,7,8,Amity Middle School: Bethany,Regional School District 05,New Haven County,190 Luke Hill Rd.,Bethany,CT,6524,3345,(203)393-3102,41,Rural: Fringe,No,No,Yes,No,315,34,9.3,33,6
90366000769,CT-2050012-2055212,903660,CT-2050012,7,8,Amity Middle School: Orange,Regional School District 05,New Haven County,100 Ohman Ave.,Orange,CT,6477,1328,(203)392-3200,21,Suburb: Large,No,No,Yes,No,356,31,11.5,27,8
90366000770,CT-2050012-2056112,903660,CT-2050012,9,12,Amity Regional High School,Regional School District 05,New Haven County,25 Newton Rd.,Woodbridge,CT,6525,1598,(203)397-4830,21,Suburb: Large,No,No,Yes,No,1491,120.2,12.4,110,43
90070001623,CT-2410014-2410614,900700,CT-2410014,PK,5,Ana Grace Academy of the Arts Elementary School,Capitol Region Education Council,Hartford County,20 Security Drive,Avon,CT,6001,,(860)677-0380,21,Suburb: Large,No,Yes,Yes,Yes,478,35.18,13.6,247,54
90003010001,CT-0010011-0010111,900030,CT-0010011,PK,6,Andover Elementary School,Andover School District,Tolland County,35 School Rd.,Andover,CT,6232,1526,(860)742-7339,41,Rural: Fringe,No,No,Yes,No,191,19.5,9.8,31,2
90264000499,CT-0880011-0880811,902640,CT-0880011,KG,4,Andrew Avenue School,Naugatuck School District,New Haven County,140 Andrew Ave.,Naugatuck,CT,6770,4303,(203)720-5221,22,Suburb: Midsize,No,No,Yes,No,244,17.5,13.9,126,18
90276000538,CT-0920011-0920311,902760,CT-0920011,3,6,Ann Antolini School,New Hartford School District,Litchfield County,30 Antolini Road,New Hartford,CT,6057,3326,(860)489-4169,41,Rural: Fringe,No,No,Yes,No,260,17.6,14.8,36,7
90126000191,CT-0430011-0430911,901260,CT-0430011,KG,5,Anna E. Norris School,East Hartford School District,Hartford County,40 Remington Rd.,East Hartford,CT,6108,4010,(860)622-5740,13,City: Small,No,No,Yes,Yes,308,26.4,11.7,223,19
90027000023,CT-0090011-0090411,900270,CT-0090011,KG,3,Anna H. Rockwell School,Bethel School District,Fairfield County,400 Whittlesey Dr.,Bethel,CT,6801,1546,(203)794-8688,22,Suburb: Midsize,No,No,Yes,No,429,31.8,13.5,87,33
90288000611,CT-0940011-0940611,902880,CT-0940011,PK,4,Anna Reynolds School,Newington School District,Hartford County,85 Reservoir Rd.,Newington,CT,6111,1025,(860)521-7830,21,Suburb: Large,No,No,Yes,No,419,30.45,13.8,102,28
90234000432,CT-0780011-0780411,902340,CT-0780011,PK,4,Annie E. Vinton School,Mansfield School District,Tolland County,306 Stafford Rd.,Mansfield Center,CT,6250,1424,(860)423-3086,31,Town: Fringe,No,No,–,–,220,19.9,11.1,38,8
90006010002,CT-0020011-0026111,900060,CT-0020011,9,12,Ansonia High School,Ansonia School District,New Haven County,20 Pulaski Hwy.,Ansonia,CT,6401,2561,(203)736-5060,21,Suburb: Large,No,No,–,–,565,44.3,12.8,250,46
90006010008,CT-0020011-0025111,900060,CT-0020011,7,8,Ansonia Middle School,Ansonia School District,New Haven County,115 Howard Ave.,Ansonia,CT,6401,,(203)736-5070,21,Suburb: Large,No,No,Yes,Yes,335,19,17.6,168,38
90136001507,CT-2530014-2536014,901360,CT-2530014,9,12,Arts at the Capitol Theater Magnet School (ACT),Eastern Connecticut Regional Educational Service Center,Windham County,896 Main Street,Willimantic,CT,6226,,(860)465-5636,31,Town: Fringe,No,Yes,Yes,Yes,120,12.86,9.3,45,9
90009000010,CT-0030011-0030111,900090,CT-0030011,PK,8,Ashford School,Ashford School District,Windham County,440 Westford Rd.,Ashford,CT,6278,1113,(860)429-6419,42,Rural: Distant,No,No,Yes,No,409,41,10,103,53
90279000580,CT-0930011-0931511,902790,CT-0930011,PK,8,Augusta Lewis Troup School,New Haven School District,New Haven County,259 Edgewood Ave.,New Haven,CT,6511,4106,(475)220-3000,12,City: Midsize,No,No,Yes,Yes,459,28.8,15.9,322,27
90012000011,CT-0040011-0046111,900120,CT-0040011,9,12,Avon High School,Avon School District,Hartford County,510 West Avon Rd.,Avon,CT,6001,2519,(860)404-4740,21,Suburb: Large,No,No,–,–,951,77.6,12.3,69,15
90012000012,CT-0040011-0045111,900120,CT-0040011,7,8,Avon Middle School,Avon School District,Hartford County,375 West Avon Rd.,Avon,CT,6001,2208,(860)404-4770,21,Suburb: Large,No,No,Yes,No,511,36.8,13.9,36,11
90483000966,CT-1510011-1512111,904830,CT-1510011,PK,5,B. W. Tinker School,Waterbury School District,New Haven County,809 Highland Ave.,Waterbury,CT,6708,4601,(203)574-8186,22,Suburb: Midsize,No,No,Yes,Yes,541,36,15,312,44
90084000135,CT-0280011-0286111,900840,CT-0280011,9,12,Bacon Academy,Colchester School District,New London County,611 Norwich Ave.,Colchester,CT,6415,2142,(860)537-2378,41,Rural: Fringe,No,No,Yes,No,759,62,12.2,127,32
90276000539,CT-0920011-0920111,902760,CT-0920011,KG,2,Bakerville Consolidated School,New Hartford School District,Litchfield County,51 Cedar Ln.,New Hartford,CT,6057,2909,(860)482-0288,41,Rural: Fringe,No,No,–,–,90,7.5,12,8,2
