NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
20071000465,AK-45-450040,200710,AK-45,PK,12,"""William """"Sonny"""" Nelson School""",Southwest Region School District,Dillingham Census Area,General Delivery,Ekwok,AK,99580,,(907)464-3344,43,Rural: Remote,No,No,Yes,Yes,16,2,8,16,0
20018000053,AK-05-050010,200180,AK-05,PK,6,Abbott Loop Elementary,Anchorage School District,Anchorage Municipality,8427 Lake Otis Pkwy,Anchorage,AK,99507,3599,(907)742-5400,11,City: Large,No,No,Yes,Yes,308,19.05,16.2,†,†
20051000311,AK-33-339010,200510,AK-33,KG,8,Academy Charter School,Matanuska-Susitna Borough School District,Matanuska-Susitna Borough,801 East Arctic,Palmer,AK,99645,,(907)746-2358,32,Town: Distant,Yes,No,–,–,254,14.61,17.4,–,–
20001000080,AK-04-040080,200010,AK-04,KG,12,Adak School,Aleutian Region School District,Aleutians West Census Area,PO Box 2083,Adak,AK,99546,,(907)592-3820,43,Rural: Remote,No,No,Yes,Yes,12,2,6,†,†
20018000054,AK-05-050020,200180,AK-05,PK,6,Airport Heights Elementary,Anchorage School District,Anchorage Municipality,1510 Alder Dr,Anchorage,AK,99508,2999,(907)742-4550,11,City: Large,No,No,Yes,Yes,330,22.06,15,†,†
20048000180,AK-28-280010,200480,AK-28,KG,12,Akhiok School,Kodiak Island Borough School District,Kodiak Island Borough,PO Box 5049,Akhiok,AK,99615,5049,(907)836-2223,43,Rural: Remote,No,No,Yes,No,14,1.91,7.3,14,0
20000400579,AK-54-540010,200004,AK-54,KG,12,Akiachak School,Yupiit School District,Bethel Census Area,PO Box 51189,Akiachak,AK,99551,189,(907)825-3616,43,Rural: Remote,No,No,Yes,Yes,198,14.85,13.3,205,0
20000400624,AK-54-540030,200004,AK-54,KG,12,Akiak School,Yupiit School District,Bethel Census Area,Box 49,Akiak,AK,99552,49,(907)765-4600,43,Rural: Remote,No,No,Yes,Yes,120,8,15,126,0
20000100619,AK-31-310240,200001,AK-31,PK,12,Akiuk Memorial School,Lower Kuskokwim School District,Bethel Census Area,General Delivery,Kasigluk,AK,99609,,(907)477-6829,43,Rural: Remote,No,No,Yes,Yes,106,5.99,17.7,107,0
20048000435,AK-28-288010,200480,AK-28,KG,12,AKTEACH,Kodiak Island Borough School District,Kodiak Island Borough,722 Mill Bay Rd,Kodiak,AK,99615,,(907)486-7544,33,Town: Remote,No,No,–,–,114,1,114,–,–
20000100391,AK-31-310110,200001,AK-31,PK,12,Akula Elitnaurvik School,Lower Kuskokwim School District,Bethel Census Area,Box 79,Kasigluk,AK,99609,79,(907)477-6615,43,Rural: Remote,No,No,Yes,Yes,134,7.95,16.9,130,0
20000700004,AK-56-560030,200007,AK-56,PK,12,Akutan School,Aleutians East Borough School District,Aleutians East Borough,Box 25,Akutan,AK,99553,,(907)698-2205,43,Rural: Remote,No,No,Yes,Yes,19,2,9.5,–,–
20061000291,AK-36-360100,200610,AK-36,PK,12,Alak School,North Slope Borough School District,North Slope Borough,Box 10,Wainwright,AK,99782,,(907)763-5800,43,Rural: Remote,No,No,Yes,Yes,168,13.25,12.7,105,0
20000300216,AK-32-320010,200003,AK-32,PK,12,Alakanuk School,Lower Yukon School District,Kusilvak Census Area,PO Box 9,Alakanuk,AK,99554,,(907)238-3312,43,Rural: Remote,No,No,Yes,Yes,212,15,14.1,215,0
20018000763,AK-05-057230,200180,AK-05,11,12,Alaska Middle College School,Anchorage School District,Anchorage Municipality,2650 E Northern Lights Blvd,Anchorage,AK,99508,,(907)786-7611,31,Town: Fringe,No,No,–,–,239,3.95,60.5,0,78
