NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
330249000043,NH-113-10911311327010,3302490,NH-113,7,8,A. Crosby Kennett Middle School,Conway School District,Carroll County,176 Main St.,Conway,NH,3818,6164,(603)447-6364,41,Rural: Fringe,No,No,Yes,No,296,23.3,12.7,102,19
330246000054,NH-111-60811111120240,3302460,NH-111,KG,5,Abbot-Downing School,Concord School District,Merrimack County,152 South St.,Concord,NH,3301,2705,(603)225-0827,31,Town: Fringe,No,No,Yes,Yes,383,26.6,14.4,128,15
330004000684,NH-725-672572528615,3300040,NH-725,9,12,Academy for Science and Design Charter (H),Academy for Science and Design Charter School,Hillsborough County,486 Amherst Street,Nashua,NH,3063,1282,(603)595-4705,13,City: Small,Yes,No,Yes,No,241,10.6,22.7,7,–
330004000678,NH-725-672572528580,3300040,NH-725,6,8,Academy for Science and Design Charter (M),Academy for Science and Design Charter School,Hillsborough County,486 Amherst Street,Nashua,NH,3063,1282,(603)595-4705,13,City: Small,Yes,No,Yes,No,291,19.5,14.9,7,–
330299000112,NH-174-96017400322960,3302990,NH-174,1,4,Acworth Elementary School,Fall Mountain Regional School District,Sullivan County,PO Box 69,Acworth,NH,3601,69,(603)835-2270,42,Rural: Distant,No,No,–,–,38,3.3,11.5,19,2
330351000470,NH-225-72122522520795,3303510,NH-225,3,5,Adeline C. Marston School,Hampton School District,Rockingham County,4 Marston Way,Hampton,NH,3842,2055,(603)926-8708,23,Suburb: Small,No,No,Yes,No,324,30.5,10.6,44,7
330138000001,NH-009-65300900922580,3301380,NH-009,KG,4,Allenstown Elementary School,Allenstown School District,Merrimack County,30 S. Main St.,Allenstown,NH,3275,2197,(603)485-9574,22,Suburb: Midsize,No,No,Yes,Yes,197,17.3,11.4,78,14
330299000113,NH-174-26017401122965,3302990,NH-174,PK,4,Alstead Primary School,Fall Mountain Regional School District,Cheshire County,PO Box 670,Alstead,NH,3602,98,(603)835-2482,42,Rural: Distant,No,No,Yes,Yes,84,9.4,8.9,39,2
330144000003,NH-015-07201501522480,3301440,NH-015,PK,8,Alton Central School (Elem),Alton School District,Belknap County,PO Box 910,Alton,NH,3809,910,(603)875-7500,42,Rural: Distant,No,No,Yes,No,426,40.1,10.6,94,17
330393000179,NH-267-58126726721050,3303930,NH-267,9,12,Alvirne High School,Hudson School District,Hillsborough County,200 Derry Rd.,Hudson,NH,3051,3320,(603)886-1260,22,Suburb: Midsize,No,No,Yes,No,1143,95,12,111,23
330147000007,NH-017-53901701721745,3301470,NH-017,5,8,Amherst Middle School,Amherst School District,Hillsborough County,PO Box 966,Amherst,NH,3031,966,(603)673-8944,22,Suburb: Midsize,No,No,Yes,No,637,49,13,24,6
330498000310,NH-371-54237137121940,3304980,NH-371,KG,5,Amherst Street School,Nashua School District,Hillsborough County,71 Amherst St.,Nashua,NH,3064,2597,(603)966-1700,13,City: Small,No,No,Yes,Yes,291,30,9.7,171,35
330150000008,NH-019-64601901922130,3301500,NH-019,KG,8,Andover Elementary School,Andover School District,Merrimack County,20 School St.,Andover,NH,3216,3651,(603)735-5494,42,Rural: Distant,No,No,Yes,No,234,24,9.8,45,11
330248000065,NH-112-50111202122215,3302480,NH-112,PK,4,Antrim Elementary School,Contoocook Valley School District,Hillsborough County,10 School St.,Antrim,NH,3440,3607,(603)588-6371,42,Rural: Distant,No,No,Yes,Yes,160,18.6,8.6,47,16
330138000002,NH-009-65300900922575,3301380,NH-009,5,8,Armand R. Dupont School,Allenstown School District,Merrimack County,10 1/2 School St.,Allenstown,NH,3275,1998,(603)485-4474,22,Suburb: Midsize,No,No,Yes,No,158,13.8,11.4,62,7
330156000010,NH-023-40202302320010,3301560,NH-023,KG,8,Ashland Elementary School,Ashland School District,Grafton County,16 Education Dr.,Ashland,NH,3217,4210,(603)968-7622,42,Rural: Distant,No,No,Yes,Yes,150,19.1,7.9,65,2
330672000434,NH-534-75553402722740,3306720,NH-534,PK,5,Atkinson Academy,Timberlane Regional School District,Rockingham County,17 Academy Ave.,Atkinson,NH,3811,2298,(603)362-5521,21,Suburb: Large,No,No,–,–,340,26.5,12.8,12,1
330159000011,NH-029-71502902920530,3301590,NH-029,KG,8,Auburn Village School,Auburn School District,Rockingham County,11 Eaton Hill Rd.,Auburn,NH,3032,1228,(603)483-2769,41,Rural: Fringe,No,No,Yes,No,618,41.6,14.9,22,11
330459000240,NH-335-53733533521545,3304590,NH-335,PK,5,Bakersville School,Manchester School District,Hillsborough County,20 Elm St.,Manchester,NH,3101,2702,(603)624-6312,12,City: Midsize,No,No,Yes,Yes,391,30.4,12.9,280,30
330162000012,NH-031-08603103122485,3301620,NH-031,PK,8,Barnstead Elementary School,Barnstead School District,Belknap County,PO Box 289,Ctr. Barnstead,NH,3225,289,(603)269-5161,42,Rural: Distant,No,No,Yes,No,481,47.4,10.1,143,26
330165000013,NH-033-87403303322045,3301650,NH-033,1,4,Barrington Elementary School,Barrington School District,Strafford County,570 Calef Highway,Barrington,NH,3825,3630,(603)664-2641,41,Rural: Fringe,No,No,Yes,No,393,33,11.9,66,2
330165000014,NH-033-87403303322030,3301650,NH-033,5,8,Barrington Middle School,Barrington School District,Strafford County,51 Haley Dr.,Barrington,NH,3825,3403,(603)664-2127,41,Rural: Fringe,No,No,Yes,No,414,35,11.8,40,3
330324000138,NH-199-51919919920695,3303240,NH-199,1,4,Bartlett Elementary School,Goffstown School District,Hillsborough County,689 Mast Rd.,Manchester,NH,3102,1448,(603)623-8088,22,Suburb: Midsize,No,No,Yes,No,212,18.6,11.4,50,12
330171000016,NH-039-42303903920860,3301710,NH-039,KG,6,Bath Village School,Bath School District,Grafton County,PO Box 141,Bath,NH,3740,141,(603)747-2004,43,Rural: Remote,No,No,Yes,No,76,8.6,8.8,11,3
330246000496,NH-111-60811111126490,3302460,NH-111,PK,5,Beaver Meadow School,Concord School District,Merrimack County,40 Sewalls Fall Rd.,Concord,NH,3301,4649,(603)225-0853,31,Town: Fringe,No,No,Yes,Yes,350,27.7,12.6,108,26
330174000680,NH-041-52504104128555,3301740,NH-041,9,12,Bedford High School,Bedford School District,Hillsborough County,47B Nashua Rd.,Bedford,NH,3110,5527,(603)310-9000,22,Suburb: Midsize,No,No,Yes,No,1525,103,14.8,54,8
330459000241,NH-335-53733533521600,3304590,NH-335,KG,5,Beech Street School,Manchester School District,Hillsborough County,333 Beech St.,Manchester,NH,3103,5499,(603)624-6314,12,City: Midsize,No,No,Yes,Yes,563,41.5,13.6,496,30
330618000490,NH-486-08048604322135,3306180,NH-486,PK,4,Belmont Elementary School,Shaker Regional School District,Belknap County,26 Best St.,Belmont,NH,3220,4201,(603)267-6568,42,Rural: Distant,No,No,Yes,Yes,414,33.9,12.2,147,14
330618000411,NH-486-08048604322145,3306180,NH-486,9,12,Belmont High School,Shaker Regional School District,Belknap County,255 Seavey Rd.,Belmont,NH,3220,3905,(603)267-6525,41,Rural: Fringe,No,No,Yes,No,391,32.2,12.1,104,11
330618000413,NH-486-08048604322150,3306180,NH-486,5,8,Belmont Middle School,Shaker Regional School District,Belknap County,38 School St.,Belmont,NH,3220,4511,(603)267-9220,42,Rural: Distant,No,No,Yes,No,368,33.6,11,119,13
330186000163,NH-051-30305105127035,3301860,NH-051,PK,5,Berlin Elementary School,Berlin School District,Coos County,200 State Street,Berlin,NH,3570,1899,(603)752-5311,33,Town: Remote,No,No,Yes,Yes,241,15.8,15.3,125,8
330186000024,NH-051-30305105120045,3301860,NH-051,6,8,Berlin Middle School,Berlin School District,Coos County,550 Willard Street,Berlin,NH,3570,1499,(603)752-4122,33,Town: Remote,No,No,Yes,No,264,22.9,11.5,140,15
