NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
262895007802,MI-39140-09848,2628950,MI-39140,PK,5,12th Street Elementary,Portage Public Schools,Kalamazoo County,6501 SOUTH 12TH ST,PORTAGE,MI,49024,1705,(269)323-6900,13,City: Small,No,No,–,–,566,31.45,18,89,29
262016008622,MI-41140-02449,2620160,MI-41140,9,12,54th Street Academy,Kelloggsville Public Schools,Kent County,173 54TH ST SW,GRAND RAPIDS,MI,49548,5611,(616)531-7433,13,City: Small,No,No,Yes,Yes,93,5,18.6,74,6
261925005600,MI-34010-00001,2619250,MI-34010,PK,5,AA Rather School,Ionia Public Schools,Ionia County,380 EAST TUTTLE RD,IONIA,MI,48846,8615,(616)527-1720,41,Rural: Fringe,No,No,Yes,Yes,339,15.1,22.5,144,25
260282004004,MI-81010-00006,2602820,MI-81010,KG,5,Abbot School,Ann Arbor Public Schools,Washtenaw County,2670 SEQUOIA PKWY,ANN ARBOR,MI,48103,2662,(734)994-1901,12,City: Midsize,No,No,Yes,Yes,301,22.2,13.6,91,20
263582007182,MI-63160-06292,2635820,MI-63160,6,8,Abbott Middle School,West Bloomfield School District,Oakland County,3380 ORCHARD LAKE RD,ORCHARD LAKE,MI,48324,1635,(248)865-3670,21,Suburb: Large,No,No,Yes,No,669,36.16,18.5,205,35
261644008574,MI-41010-02044,2616440,MI-41010,PK,8,Aberdeen Academy,Grand Rapids Public Schools,Kent County,928 Aberdeen St NE,Grand Rapids,MI,49505,,(616)819-2868,12,City: Midsize,No,No,Yes,Yes,218,16,13.6,150,9
261011004497,MI-25150-00002,2610110,MI-25150,KG,4,AC Edgerton Elementary School,Clio Area School District,Genesee County,11218 NORTH LINDEN RD,CLIO,MI,48420,8585,(810)591-7650,41,Rural: Fringe,No,No,Yes,Yes,332,18.5,17.9,149,23
260033004509,MI-56903-09696,2600330,MI-56903,9,12,Academic and Career Education Academy,Academic and Career Education Academy,Midland County,884 EAST ISABELLA RD,MIDLAND,MI,48640,8326,(989)631-5202,41,Rural: Fringe,Yes,No,Yes,Yes,108,5.51,19.6,79,6
260858008255,MI-50010-00896,2608580,MI-50010,KG,12,Academy 21,Center Line Public Schools,Macomb County,26400 Arsenal Avenue,Center Line,MI,48015,,(586)510-2000,21,Suburb: Large,No,Yes,–,–,144,6.34,22.7,91,3
260016601667,MI-82921-09332,2600166,MI-82921,KG,5,Academy for Business and Technology Elementary,Academy for Business and Technology,Wayne County,5277 CALHOUN ST,DEARBORN,MI,48126,3203,(313)581-2223,13,City: Small,Yes,No,Yes,Yes,251,19.1,13.1,231,8
260016601035,MI-82921-08435,2600166,MI-82921,6,12,Academy for Business and Technology High School,Academy for Business and Technology,Wayne County,19625 WOOD ST,MELVINDALE,MI,48122,2201,(313)382-3422,21,Suburb: Large,Yes,No,Yes,Yes,268,12.6,21.3,213,9
262313008413,MI-53010-01355,2623130,MI-53010,11,12,Academy of Science Math and Technology Early College High Sc,Mason County Central Schools,Mason County,2130 W US 10,Ludington,MI,49431,,(231)843-5935,41,Rural: Fringe,No,No,Yes,No,40,1,40,11,0
260110308927,MI-82015-03645,2601103,MI-82015,KG,3,Academy of the Americas at Logan,Detroit Public Schools Community District,Wayne County,3811 CICOTTE ST,DETROIT,MI,48210,2924,(313)873-7441,11,City: Large,No,†,†,†,†,†,†,†,†
260110308803,MI-82015-03276,2601103,MI-82015,4,12,Academy of The Americas High School,Detroit Public Schools Community District,Wayne County,5680 KONKEL ST,DETROIT,MI,48210,3267,(313)335-1310,11,City: Large,No,No,Yes,Yes,123,7,17.6,71,1
260030801884,MI-50911-09602,2600308,MI-50911,KG,8,Academy of Warren,Academy of Warren,Macomb County,13943 EAST 8 MILE RD,WARREN,MI,48089,3351,(586)552-8010,12,City: Midsize,Yes,No,Yes,Yes,678,36,18.8,639,10
263597008491,MI-25210-01915,2635970,MI-25210,5,12,Academy West Alternative Education,Westwood Heights Schools,Genesee County,3223 WEST CARPENTER RD,FLINT,MI,48504,1247,(810)591-0123,21,Suburb: Large,No,No,Yes,Yes,425,12,35.4,372,12
263663008789,MI-81020-03000,2636630,MI-81020,6,12,ACCE,Ypsilanti Community Schools,Washtenaw County,1076 Ecorse Road,Ypsilanti,MI,48198,,(734)221-1691,21,Suburb: Large,No,Yes,Yes,Yes,172,10,17.2,129,1
261452002043,MI-25010-05950,2614520,MI-25010,7,12,Accelerated Learning Academy,Flint School District of the City of,Genesee County,1602 S AVERILL AVE,FLINT,MI,48503,4438,(810)760-1805,13,City: Small,No,No,Yes,Yes,171,13,13.2,158,2
260094308800,MI-82998-03045,2600943,MI-82998,4,12,ACE Academy Jefferson site,ACE Academy (SDA),Wayne County,13330 E Jefferson Avenue,Detroit,MI,48215,,(313)852-7500,11,City: Large,Yes,No,Yes,Yes,13,1.5,8.7,10,0
260094307776,MI-82998-09850,2600943,MI-82998,4,12,ACE Academy SDA Glendale Lincoln Woodward Jefferson,ACE Academy (SDA),Wayne County,330 Glendale,Highland Park,MI,48203,,(313)868-8368,21,Suburb: Large,Yes,No,Yes,Yes,173,4.8,36,170,0
260096307974,MI-82717-00110,2600963,MI-82717,KG,8,Achieve Charter Academy,Achieve Charter Academy,Wayne County,3250 DENTON RD,CANTON,MI,48188,2110,(734)397-0960,41,Rural: Fringe,Yes,No,Yes,No,763,34.5,22.1,102,7
262496001591,MI-38130-07973,2624960,MI-38130,9,12,Ackerson Lake Community Education,Napoleon Community Schools,Jackson County,PO Box 308,Napoleon,MI,49261,308,(517)905-5712,41,Rural: Fringe,No,No,–,–,48,4,12,31,0
263663008476,MI-81020-01925,2636630,MI-81020,9,12,ACTech High School,Ypsilanti Community Schools,Washtenaw County,2095 Packard Road,YPSILANTI,MI,48197,1846,(734)221-1001,21,Suburb: Large,No,No,Yes,Yes,528,34.1,15.5,333,2
260000603854,MI-27010-00003,2600006,MI-27010,7,12,AD Johnston JrSr High School,Bessemer Area School District,Gogebic County,100 WEST LEAD ST,BESSEMER,MI,49911,1007,(906)667-0413,42,Rural: Distant,No,No,Yes,No,200,11.66,17.2,102,3
261461005152,MI-41110-00014,2614610,MI-41110,PK,4,Ada Elementary School,Forest Hills Public Schools,Kent County,731 ADA DR SE,ADA,MI,49301,7502,(616)493-8940,21,Suburb: Large,No,No,–,–,326,20.93,15.6,38,3
261461001312,MI-41110-09069,2614610,MI-41110,KG,4,Ada Vista Elementary School,Forest Hills Public Schools,Kent County,7192 BRADFIELD AVE SE,ADA,MI,49301,9130,(616)493-8970,21,Suburb: Large,No,Yes,–,–,471,23.84,19.8,14,4
262382006050,MI-56010-00016,2623820,MI-56010,PK,5,Adams Elementary School,Midland Public Schools,Midland County,1005 ADAMS DR,MIDLAND,MI,48642,3051,(989)923-6037,13,City: Small,No,Yes,–,–,455,25.3,18,73,19
260001003860,MI-32610-05411,2600010,MI-32610,KG,8,Adams Elementary School,Sigel Township S/D #3F,Huron County,4151 SECTION LINE RD,BAD AXE,MI,48413,9155,(989)269-8944,42,Rural: Distant,No,No,–,–,20,2.34,8.5,5,1
263666008300,MI-70350-01146,2636660,MI-70350,PK,5,Adams Elementary School,Zeeland Public Schools,Ottawa County,7447 ADAMS ST,ZEELAND,MI,49464,9659,(616)748-3476,41,Rural: Fringe,No,No,–,–,355,19.8,17.9,53,35
260001503879,MI-82160-00017,2600015,MI-82160,6,6,Adams Upper Elementary School,Wayne-Westland Community School District,Wayne County,33475 PALMER RD,WESTLAND,MI,48186,4614,(734)419-2375,21,Suburb: Large,No,No,Yes,Yes,741,40.1,18.5,432,17
260095808944,MI-82719-03724,2600958,MI-82719,KG,5,AdamYoungs Building,Washington-Parks Academy,†,13130 GROVE ST,DETROIT,MI,48235,,(734)812-8583,†,N,Yes,†,†,†,†,†,†,†,†
263030002070,MI-63040-09741,2630300,MI-63040,PK,5,Addams Elementary and ECC,Royal Oak Schools,Oakland County,2222 WEST WEBSTER RD,ROYAL OAK,MI,48073,3852,(248)288-3100,21,Suburb: Large,No,No,–,–,443,37.4,11.8,76,10
260192007996,MI-46020-09983,2601920,MI-46020,KG,5,Addison Elementary School,Addison Community Schools,Lenawee County,219 NORTH COMSTOCK ST,ADDISON,MI,49220,9753,(517)547-6124,42,Rural: Distant,No,No,Yes,No,385,24,16,204,35
260192003923,MI-46020-00023,2601920,MI-46020,9,12,Addison High School,Addison Community Schools,Lenawee County,219 NORTH COMSTOCK ST,ADDISON,MI,49220,9753,(517)547-6900,42,Rural: Distant,No,No,Yes,No,240,13.22,18.2,101,15
260192008311,MI-46020-01315,2601920,MI-46020,6,8,Addison Middle School,Addison Community Schools,Lenawee County,219 N COMSTOCK ST,ADDISON,MI,49220,9753,(517)547-6900,42,Rural: Distant,No,No,Yes,No,203,11.3,18,90,18
