NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
230282000046,ME-42-45,2302820,ME-42,PK,3,Abraham Lincoln School,Bangor Public Schools,Penobscot County,45 Forest Avenue,Bangor,ME,4401,,(207)941-6280,13,City: Small,No,No,Yes,Yes,216,17.4,12.4,96,15
231480900933,ME-1508-615,2314809,ME-1508,2,5,Academy Hill School,RSU 09,Franklin County,585 Depot St,Wilton,ME,4294,,(207)645-4488,42,Rural: Distant,No,No,Yes,Yes,190,15.9,11.9,91,16
231483123149,ME-1761-1765,2314831,ME-1761,PK,5,Acadia Academy School,Acadia Academy,Androscoggin County,12 Westminster Street,Lewiston,ME,4240,,(207)333-3765,13,City: Small,Yes,No,–,–,203,13.1,15.5,56,0
230222000001,ME-2-3,2302220,ME-2,PK,8,Acton Elementary School,Acton Public Schools,York County,700 Milton Mills Road,Acton,ME,4001,,(207)636-2100,42,Rural: Distant,No,No,Yes,Yes,234,19.2,12.2,91,16
230408000117,ME-125-126,2304080,ME-125,PK,8,Adams School,Castine Public Schools,Hancock County,PO Box 29,Castine,ME,4421,,(207)326-8608,42,Rural: Distant,No,No,Yes,No,47,8.2,5.7,5,2
231077000354,ME-646-659,2310770,ME-646,PK,6,Agnes Gray School,RSU 17/MSAD 17,Oxford County,170 Main Street,West Paris,ME,4289,,(207)674-2332,42,Rural: Distant,No,No,Yes,Yes,135,10.9,12.4,87,4
230250000007,ME-1038-1039,2302500,ME-1038,PK,8,Airline Community School,Airline CSD,Hancock County,26 Great Pond Road,Aurora,ME,4408,,(207)359-5002,42,Rural: Distant,No,No,Yes,Yes,40,4.8,8.3,20,2
231335000605,ME-480-481,2313350,ME-480,4,5,Albert S Hall School,Waterville Public Schools,Kennebec County,27 Pleasant Street,Waterville,ME,4901,,(207)872-8071,33,Town: Remote,No,No,Yes,Yes,256,21.5,11.9,168,18
231433000691,ME-826-827,2314330,ME-826,PK,6,Albion Elementary School,RSU 49/MSAD 49,Kennebec County,20 School Street,Albion,ME,4910,,(207)437-2616,42,Rural: Distant,No,No,Yes,Yes,104,10.5,9.9,58,12
230228000975,ME-4-5,2302280,ME-4,PK,8,Alexander Elementary,Alexander Public Schools,Washington County,1430 Airline Road,Alexander,ME,4694,,(207)454-2623,43,Rural: Remote,No,No,Yes,Yes,42,4.9,8.6,13,5
231467000999,ME-888-889,2314670,ME-888,PK,5,Alfred Elementary School,RSU 57/MSAD 57,York County,21 Sanford Road,Alfred,ME,4002,,(207)324-3831,41,Rural: Fringe,No,No,Yes,No,207,16.2,12.8,65,12
231478201041,ME-1466-8,2314782,ME-1466,PK,4,Alton Elementary School,RSU 34,Penobscot County,22 Argyle Rd,Alton,ME,4468,,(207)394-2331,42,Rural: Distant,No,No,Yes,Yes,45,5.4,8.3,21,1
230993000271,ME-364-369,2309930,ME-364,PK,5,Amanda C Rowe School,Portland Public Schools,Cumberland County,23 Orono RD,Portland,ME,4102,,(207)874-8205,13,City: Small,No,No,Yes,Yes,429,33.5,12.8,158,30
231482200450,ME-1733-739,2314822,ME-1733,2,5,Ames Elementary School,RSU 71,Waldo County,165 New England Road,Searsmont,ME,4973,,(207)342-5100,42,Rural: Distant,No,No,Yes,Yes,132,10.4,12.7,50,13
231482300505,ME-1734-790,2314823,ME-1734,PK,5,Andover Elementary School,Andover Public Schools,Oxford County,PO Box 70,Andover,ME,4216,,(207)392-4381,42,Rural: Distant,No,No,Yes,Yes,26,3.5,7.4,7,0
230251000906,ME-9-10,2302510,ME-9,KG,8,Appleton Village School,Appleton Public Schools,Knox County,737 Union Road,Appleton,ME,4862,,(207)785-4504,42,Rural: Distant,No,No,Yes,No,154,15.8,9.7,43,16
