NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
464839001338,SD-17002-06,4648390,SD-17002,KG,8,Abbott House Elementary - 06,Mitchell School District 17-2,Davison County,909 Court Merrill St,Mitchell,SD,57301,,(605)996-2486,33,Town: Remote,No,†,–,–,9,3,3,3,0
464839001337,SD-17002-07,4648390,SD-17002,9,12,Abbott House High School - 07,Mitchell School District 17-2,Davison County,909 Court Merrill St,Mitchell,SD,57301,,(605)996-2486,33,Town: Remote,No,†,–,–,22,0.25,88,2,1
460002800013,SD-61001-04,4600028,SD-61001,PK,6,Alcester-Hudson Elementary - 04,Alcester-Hudson School District 61-1,Union County,409 E 6th St,Alcester,SD,57001,,(605)934-2171,43,Rural: Remote,No,†,Yes,Yes,243,16.82,14.4,59,12
460002800014,SD-61001-01,4600028,SD-61001,9,12,Alcester-Hudson High School - 01,Alcester-Hudson School District 61-1,Union County,PO Box 198,Alcester,SD,57001,198,(605)934-1890,43,Rural: Remote,No,†,Yes,No,87,9.59,9.1,21,3
460002800874,SD-61001-03,4600028,SD-61001,7,8,Alcester-Hudson Jr. High - 03,Alcester-Hudson School District 61-1,Union County,PO Box 198,Alcester,SD,57001,198,(605)934-1890,43,Rural: Remote,No,†,Yes,No,56,3.33,16.8,12,6
466627001128,SD-49005-50,4666270,SD-49005,KG,5,All City Elementary - 50,Sioux Falls School District 49-5,Minnehaha County,2511 W Brookings St,Sioux Falls,SD,57104,1726,(605)367-6120,12,City: Midsize,No,†,–,–,150,8.48,17.7,14,2
463954000359,SD-11001-02,4639540,SD-11001,PK,5,Andes Central Elementary - 02,Andes Central School District 11-1,Charles Mix County,1001 High St,Lake Andes,SD,57356,,(605)487-5243,43,Rural: Remote,No,†,Yes,Yes,180,15.95,11.3,180,0
463954000360,SD-11001-01,4639540,SD-11001,9,12,Andes Central High School - 01,Andes Central School District 11-1,Charles Mix County,1001 High St,Lake Andes,SD,57356,40,(605)487-7671,43,Rural: Remote,No,†,Yes,Yes,58,7.29,8,58,0
463954000850,SD-11001-04,4639540,SD-11001,6,8,Andes Central Middle School - 04,Andes Central School District 11-1,Charles Mix County,1001 High St,Lake Andes,SD,57356,,(605)487-5207,43,Rural: Remote,No,†,Yes,Yes,55,7.52,7.3,55,0
466627000770,SD-49005-20,4666270,SD-49005,PK,5,Anne Sullivan Elementary - 20,Sioux Falls School District 49-5,Minnehaha County,3701 E 3rd St,Sioux Falls,SD,57103,6629,(605)367-6084,12,City: Midsize,No,†,Yes,Yes,625,38.14,16.4,350,104
466627001368,SD-49005-71,4666270,SD-49005,KG,12,ARISE Shelter Care - 71,Sioux Falls School District 49-5,Minnehaha County,201 N West Ave,Sioux Falls,SD,57104,,(605)367-7647,12,City: Midsize,No,†,–,–,7,1,7,†,†
460372000021,SD-38001-02,4603720,SD-38001,KG,6,Arlington Elementary - 02,Arlington School District 38-1,Kingsbury County,PO Box 359,Arlington,SD,57212,,(605)983-5741,43,Rural: Remote,No,†,Yes,No,137,10.39,13.2,24,4
460372000022,SD-38001-01,4603720,SD-38001,9,12,Arlington High School - 01,Arlington School District 38-1,Kingsbury County,PO Box 359,Arlington,SD,57212,,(605)983-5598,43,Rural: Remote,No,†,Yes,No,76,9.05,8.4,13,1
460372000877,SD-38001-03,4603720,SD-38001,7,8,Arlington Jr. High - 03,Arlington School District 38-1,Kingsbury County,PO Box 359,Arlington,SD,57212,,(605)983-5598,43,Rural: Remote,No,†,Yes,No,41,2.29,17.9,4,4
460372001381,SD-38001-04,4603720,SD-38001,PK,PK,Arlington Preschool - 04,Arlington School District 38-1,Kingsbury County,PO Box 359,Arlington,SD,57212,,(605)983-5597,43,Rural: Remote,No,†,Yes,No,19,0.47,40.4,2,1
460378000023,SD-21001-02,4603780,SD-21001,KG,5,Armour Elementary - 02,Armour School District 21-1,Douglas County,PO Box 640,Armour,SD,57313,640,(605)724-2698,43,Rural: Remote,No,†,Yes,Yes,81,6.3,12.9,22,9
460378000024,SD-21001-01,4603780,SD-21001,9,12,Armour High School - 01,Armour School District 21-1,Douglas County,PO Box 640,Armour,SD,57313,640,(605)724-2153,43,Rural: Remote,No,†,Yes,No,59,7.07,8.3,11,2
460378000878,SD-21001-03,4603780,SD-21001,6,8,Armour Middle School - 03,Armour School District 21-1,Douglas County,PO Box 640,Armour,SD,57313,640,(605)724-2698,43,Rural: Remote,No,†,Yes,Yes,37,4.77,7.8,6,6
466993001236,SD-46001-17,4669930,SD-46001,KG,8,Atall Elementary - 17,Meade School District 46-1,Meade County,603 Garfield St,Whitewood,SD,57793,,(605)269-2264,43,Rural: Remote,No,†,–,–,11,2.27,4.8,0,0
465571001274,SD-01001-05,4655710,SD-01001,9,12,Aurora Plains Academy High School - 05,Plankinton School District 01-1,Aurora County,1400 E 10th St,Plankinton,SD,57368,,(605)942-5437,43,Rural: Remote,No,†,–,–,31,5.34,5.8,0,0
465571001276,SD-01001-04,4655710,SD-01001,4,8,Aurora Plains Academy Middle School - 04,Plankinton School District 01-1,Aurora County,1400 E 10th St,Plankinton,SD,57368,,(605)942-5437,43,Rural: Remote,No,†,–,–,14,4.66,3,0,0
467437000300,SD-13001-03,4674370,SD-13001,PK,1,Austin Elementary - 03,Vermillion School District 13-1,Clay County,300 High St,Vermillion,SD,57069,2023,(605)677-7010,32,Town: Distant,No,†,Yes,Yes,279,17.68,15.8,73,12
460427000028,SD-04001-02,4604270,SD-04001,KG,6,Avon Elementary - 02,Avon School District 04-1,Bon Homme County,PO Box 407,Avon,SD,57315,407,(605)286-3291,43,Rural: Remote,No,†,Yes,Yes,119,10.6,11.2,29,7
460427000029,SD-04001-01,4604270,SD-04001,9,12,Avon High School - 01,Avon School District 04-1,Bon Homme County,PO Box 407,Avon,SD,57315,407,(605)286-3291,43,Rural: Remote,No,†,Yes,No,69,7.33,9.4,14,7
460427000829,SD-04001-05,4604270,SD-04001,7,8,Avon Jr. High - 05,Avon School District 04-1,Bon Homme County,PO Box 407,Avon,SD,57315,407,(605)286-3291,43,Rural: Remote,No,†,Yes,Yes,40,2.54,15.7,16,2
460427001325,SD-04001-06,4604270,SD-04001,PK,PK,Avon Preschool - 06,Avon School District 04-1,Bon Homme County,PO Box 407,Avon,SD,57315,407,(605)286-3291,43,Rural: Remote,No,†,Yes,No,10,0.6,16.7,0,0
460468000035,SD-49001-02,4604680,SD-49001,PK,5,Baltic Elementary - 02,Baltic School District 49-1,Minnehaha County,PO Box 309,Baltic,SD,57003,309,(605)529-5464,42,Rural: Distant,No,†,Yes,No,256,17.3,14.8,37,12
460468000036,SD-49001-01,4604680,SD-49001,9,12,Baltic High School - 01,Baltic School District 49-1,Minnehaha County,PO Box 309,Baltic,SD,57003,309,(605)529-5461,42,Rural: Distant,No,†,Yes,No,136,10.27,13.2,10,9
460468000986,SD-49001-03,4604680,SD-49001,6,8,Baltic Middle School - 03,Baltic School District 49-1,Minnehaha County,PO Box 309,Baltic,SD,57003,309,(605)529-5461,42,Rural: Distant,No,†,Yes,No,117,7.43,15.7,12,10
466546000573,SD-65001-01,4665460,SD-65001,PK,8,Batesland School - 01,Oglala Lakota County 65-1,Oglala Lakota County,PO Box 49,Batesland,SD,57716,49,(605)454-4210,43,Rural: Remote,No,†,Yes,Yes,188,13,14.5,185,0
