NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
590009200041,BI-D53S02-D53S02,5900092,BI-D53S02,KG,12,Ahfachkee Day School,Ahfachkee Day School,Hendry County,30290 Josie Billie Hwy PMB 1005,Clewiston,FL,33440,,(863)983-6348,43,Rural: Remote,†,No,Yes,Yes,177,35,5.1,177,–
590004600023,BI-D34N27-D34N27,5900046,BI-D34N27,KG,12,Alamo Navajo Community School,Alamo Navajo Community School,Socorro County,PO Box 5907,Alamo,NM,87825,,(575)854-2635,43,Rural: Remote,†,No,Yes,Yes,356,44,8.1,356,–
590007000113,BI-D06A02-D06A02,5900070,BI-D06A02,KG,8,American Horse Elem.,American Horse Elem.,Bennett County,PO Box 660,Allen,SD,57714,,(605)455-1209,43,Rural: Remote,†,No,Yes,Yes,312,73,4.3,312,–
590009400139,BI-D32N02-D32N02,5900094,BI-D32N02,KG,6,Aneth Community School,Aneth Community School,San Juan County,PO Box 600,Montezuma Creek,UT,84534,,(435)651-3271,43,Rural: Remote,†,No,Yes,Yes,144,11,13.1,144,–
590014700140,BI-D32N17-D32N17,5900147,BI-D32N17,KG,6,Atsa Biyaazh Community School,Atsa Biyaazh Community School,San Juan County,PO Box 1809,Shiprock,NM,87420,,(505)368-2202,32,Town: Distant,†,No,Yes,Yes,270,27,10,270,–
590008700024,BI-D34N02-D34N02,5900087,BI-D34N02,KG,6,Baca/Dlo'ay Azhi Community School,Baca/Dlo'ay Azhi Community School,McKinley County,PO Box 509,Prewitt,NM,87045,,(505)972-2769,43,Rural: Remote,†,No,Yes,Yes,314,44,7.1,314,–
590013700042,BI-D56S02-D56S02,5900137,BI-D56S02,KG,8,Beatrice Rafferty School,Beatrice Rafferty School,Washington County,22 Bayview Drive Pleasant Point,Perry,ME,4667,,(207)853-6085,43,Rural: Remote,†,No,Yes,Yes,116,33,3.5,116,–
590018800142,BI-D32N04-D32N04,5900188,BI-D32N04,KG,4,Beclabito Day School,Beclabito Day School,San Juan County,PO Box 1200,Shiprock,NM,87420,,(928)656-3555,43,Rural: Remote,†,No,Yes,Yes,55,6,9.2,55,–
590010200008,BI-D35N23-D35N23,5900102,BI-D35N23,KG,8,Black Mesa Community School,Black Mesa Community School,Navajo County,PO Box 97,Pinon,AZ,86510,,(928)674-3632,43,Rural: Remote,†,No,Yes,Yes,63,7,9,63,–
590014200109,BI-D57H12-D57H12,5900142,BI-D57H12,KG,5,Blackwater Community School,Blackwater Community School,Pinal County,3652 E Blackwater School Road,Coolidge,AZ,85128,,(520)215-5859,42,Rural: Distant,†,No,Yes,Yes,327,44,7.4,327,–
590019400043,BI-D78S21-D78S21,5900194,BI-D78S21,KG,8,Bogue Chitto Elementary School,Bogue Chitto Elementary School,Neshoba County,13241 HWY 491 NORTH,Philadelphia,MS,39350,,(601)389-1000,42,Rural: Distant,†,No,Yes,Yes,280,25,11.2,280,–
590015500027,BI-D34N03-D34N03,5900155,BI-D34N03,KG,8,Borrego Pass,Borrego Pass,McKinley County,PO Box 679,Crownpoint,NM,87313,,(505)786-5237,43,Rural: Remote,†,No,Yes,Yes,153,24,6.4,153,–
590013800025,BI-D34N04-D34N04,5900138,BI-D34N04,KG,3,Bread Springs Day School,Bread Springs Day School,McKinley County,PO Box 1117,Gallup,NM,87305,,(505)778-5665,42,Rural: Distant,†,No,Yes,Yes,117,8,14.6,117,–
590016600081,BI-D53F13-D53F13,5900166,BI-D53F13,KG,12,Bug-O-Nay-Ge-Shig,Bug-O-Nay-Ge-Shig,Cass County,15353 Silver Eagle Dr NW,Bena,MN,56626,,(218)665-3000,43,Rural: Remote,†,No,Yes,Yes,132,26,5.1,132,–
590018600110,BI-D57H13-D57H13,5900186,BI-D57H13,KG,4,Casa Blanca Community School,Casa Blanca Community School,Pinal County,PO Box 10940,Bapchule,AZ,85121,,(520)315-3489,42,Rural: Distant,†,No,Yes,Yes,243,39,6.2,243,–
590004800061,BI-D36N03-D36N03,5900048,BI-D36N03,KG,8,Ch'ooshgai Community School,Ch'ooshgai Community School,McKinley County,PO Box 321,Tohatchi,NM,87325,,(505)733-2700,43,Rural: Remote,†,No,Yes,Yes,357,88,4.1,357,–
590016400120,BI-D02P02-D02P02,5900164,BI-D02P02,9,12,Chemawa Indian School,Chemawa Indian School,Marion County,3700 Chemawa Rd NE,Salem,OR,97305,,(503)399-5721,12,City: Midsize,†,No,Yes,Yes,428,32,13.4,428,–
590006600044,BI-D52S04-D52S04,5900066,BI-D52S04,KG,5,Cherokee Central Elementary School,Cherokee Central Elementary School,Swain County,PO Box 134,Cherokee,NC,28719,,(828)554-5020,42,Rural: Distant,†,No,Yes,Yes,547,148,3.7,547,–
590010100045,BI-D52S03-D52S03,5900101,BI-D52S03,6,12,Cherokee Central High School,Cherokee Central High School,Swain County,PO Box 134,Cherokee,NC,28719,,(828)554-5030,42,Rural: Distant,†,No,Yes,Yes,586,125,4.7,586,–
590005100004,BI-D01A12-D01A12,5900051,BI-D01A12,KG,12,Cheyenne-Eagle Butte School,Cheyenne-Eagle Butte School,Dewey County,PO Box 672,Eagle Butte,SD,57625,,(605)964-8777,33,Town: Remote,†,No,Yes,Yes,897,96,9.3,897,–
590017900026,BI-D34N05-D34N05,5900179,BI-D34N05,KG,8,Chi Chil'tah Comm School,Chi Chil'tah Comm School,McKinley County,831 Cousins Rd,Vanderwagen,NM,87326,,(505)778-5574,43,Rural: Remote,†,No,Yes,Yes,127,13,9.8,127,–
590003600121,BI-D10P15-D10P15,5900036,BI-D10P15,KG,12,Chief Leschi School,Chief Leschi School,Pierce County,5625 52nd Street East,Puyallup,WA,98371,,(253)445-6000,21,Suburb: Large,†,No,Yes,Yes,634,74,8.6,634,–
590005200175,BI-D33N02-D33N02,5900052,BI-D33N02,KG,8,Chilchinbeto Community School,Chilchinbeto Community School,Navajo County,Post Office Box 740,Kayenta,AZ,86033,,(928)697-3800,43,Rural: Remote,†,No,Yes,Yes,126,14,9,126,–
590014600046,BI-D50S09-D50S09,5900146,BI-D50S09,KG,8,Chitimacha Tribal School,Chitimacha Tribal School,St. Mary Parish,3613 Chitimacha Trail,Jeanerette,LA,70544,,(337)923-9960,32,Town: Distant,†,No,Yes,Yes,107,17,6.3,107,–
590003100047,BI-D78S23-D78S23,5900031,BI-D78S23,9,12,Choctaw Central High School,Choctaw Central High School,Neshoba County,150 Recreation Rd,Choctaw,MS,39350,,(601)663-7777,33,Town: Remote,†,No,Yes,Yes,566,54,10.5,566,–
590007800048,BI-D78S24-D78S24,5900078,BI-D78S24,7,8,Choctaw Central Middle School,Choctaw Central Middle School,Neshoba County,150 Recreation Rd,Choctaw,MS,39350,,(601)663-7777,33,Town: Remote,†,No,Yes,Yes,212,16,13.3,212,–
590003800082,BI-D53F14-D53F14,5900038,BI-D53F14,KG,12,Circle of Life Academy,Circle of Life Academy,Becker County,PO Box 447,White Earth,MN,56591,,(218)983-4180,43,Rural: Remote,†,No,Yes,Yes,248,34,7.3,248,–
590009500083,BI-D80F02-D80F02,5900095,BI-D80F02,4,8,Circle of Nations,Circle of Nations,Richland County,832 8th Street North,Wahpeton,ND,58075,,(701)642-3796,32,Town: Distant,†,No,Yes,Yes,131,49,2.7,131,–
590007100122,BI-D05P02-D05P02,5900071,BI-D05P02,KG,8,Coeur d' Alene Tribal School,Coeur d' Alene Tribal School,Benewah County,PO Box 338,Desmet,ID,83824,,(208)686-5808,43,Rural: Remote,†,No,Yes,Yes,116,32,3.6,116,–
590011100050,BI-D78S22-D78S22,5900111,BI-D78S22,KG,8,Conehatta Elementary School,Conehatta Elementary School,Newton County,851 TUSHKA DRIVE,Conehatta,MS,39057,,(601)775-8254,43,Rural: Remote,†,No,Yes,Yes,238,23,10.3,238,–
590003200010,BI-D35N04-D35N04,5900032,BI-D35N04,KG,8,Cottonwood Day School,Cottonwood Day School,Apache County,Navajo Route 4,Chinle,AZ,86503,,(928)725-3235,43,Rural: Remote,†,No,Yes,Yes,190,14,13.6,190,–
590006500143,BI-D32N05-D32N05,5900065,BI-D32N05,KG,6,Cove Day School,Cove Day School,Apache County,PO Box 2000,Red Valley,AZ,86544,,(928)653-4457,43,Rural: Remote,†,No,Yes,Yes,40,4,10,40,–
590011300114,BI-D06A23-D06A23,5900113,BI-D06A23,KG,12,Crazy Horse School,Crazy Horse School,Jackson County,PO Box 260,Wanblee,SD,57577,,(605)462-6792,43,Rural: Remote,†,No,Yes,Yes,365,23,15.9,365,–
590007300019,BI-D14A04-D14A04,5900073,BI-D14A04,6,12,Crow Creek Reservation High School,Crow Creek Reservation High School,Hyde County,103 Chieftain Road,Stephan,SD,57346,,(605)852-2455,43,Rural: Remote,†,No,Yes,Yes,275,45,6.1,275,–
590011800018,BI-D14A02-D14A02,5900118,BI-D14A02,KG,5,Crow Creek Sioux Tribal Elem School,Crow Creek Sioux Tribal Elem School,Hyde County,101 Crow Creek Loop,Stephan,SD,57346,,(605)852-2455,43,Rural: Remote,†,No,Yes,Yes,213,18,11.8,213,–
590009800062,BI-D36N05-D36N05,5900098,BI-D36N05,KG,6,Crystal Boarding School,Crystal Boarding School,San Juan County,PO Box 1288,Navajo,NM,87328,,(505)777-2592,43,Rural: Remote,†,No,Yes,Yes,133,6,22.2,133,–
590009900176,BI-D33N04-D33N04,5900099,BI-D33N04,KG,8,Dennehotso Boarding School,Dennehotso Boarding School,Apache County,PO Box 2570,Dennehotso,AZ,86535,,(928)658-3202,43,Rural: Remote,†,No,Yes,Yes,186,12,15.5,186,–
590013900063,BI-D36N06-D36N06,5900139,BI-D36N06,KG,8,Dilcon Community School,Dilcon Community School,Navajo County,HC 63 Box G,Winslow,AZ,86047,,(928)657-3211,43,Rural: Remote,†,No,Yes,Yes,198,15,13.2,198,–
590014500058,BI-D52H11-D52H11,5900145,BI-D52H11,KG,12,Dishchii'bikoh Community School,Dishchii'bikoh Community School,Navajo County,PO Box 80068,Cibecue,AZ,85911,,(928)332-2444,43,Rural: Remote,†,No,Yes,Yes,558,62,9,558,–
590015300135,BI-D61J03-D61J03,5900153,BI-D61J03,KG,8,Duckwater Shoshone Elementary School,Duckwater Shoshone Elementary School,Nye County,509 Duckwater Falls Rd,Duckwater,NV,89314,,(775)863-0126,43,Rural: Remote,†,No,Yes,Yes,14,2,7,14,–
590014900166,BI-D11A02-D11A02,5900149,BI-D11A02,KG,8,Dunseith Day School,Dunseith Day School,Rolette County,PO Box 759,Dunseith,ND,58329,,(701)263-4636,43,Rural: Remote,†,No,Yes,Yes,276,36,7.7,276,–
590003300029,BI-D34N24-D34N24,5900033,BI-D34N24,KG,8,Dzilth-Na-O-Dith-Hle Community School,Dzilth-Na-O-Dith-Hle Community School,San Juan County,35 Road 7585 # 5003,Bloomfield,NM,87413,,(505)960-0356,42,Rural: Distant,†,No,Yes,Yes,172,23,7.5,172,–
590015400020,BI-D09A03-D09A03,5900154,BI-D09A03,KG,8,Enemy Swim Day School,Enemy Swim Day School,Day County,13525 446th Avenue,Waubay,SD,57273,,(605)947-4605,43,Rural: Remote,†,No,Yes,Yes,161,30,5.4,161,–
590012100078,BI-D65H11-D65H11,5900121,BI-D65H11,KG,6,First Mesa Elementary School,First Mesa Elementary School,Navajo County,PO Box 750,Polacca,AZ,86042,,(928)737-2581,43,Rural: Remote,†,No,Yes,Yes,149,11,13.5,149,–
590002700084,BI-D70A02-D70A02,5900027,BI-D70A02,9,12,Flandreau Indian Boarding School,Flandreau Indian Boarding School,Moody County,1132 N Crescent Street,Flandreau,SD,57028,,(605)997-3773,43,Rural: Remote,†,No,Yes,Yes,332,17,19.5,332,–
590013500085,BI-D53F15-D53F15,5900135,BI-D53F15,KG,12,Fond du Lac Ojibwe School,Fond du Lac Ojibwe School,Carlton County,49 University Road,Cloquet,MN,55720,,(218)878-7242,41,Rural: Fringe,†,No,Yes,Yes,142,34,4.2,142,–
590019200111,BI-D57H14-D57H14,5900192,BI-D57H14,KG,8,Gila Crossing Community School,Gila Crossing Community School,Maricopa County,4665 W Pecos Road,Laveen,AZ,85339,,(520)550-4834,41,Rural: Fringe,†,No,Yes,Yes,480,56,8.6,480,–
590018200064,BI-D36N08-D36N08,5900182,BI-D36N08,KG,8,Greasewood Springs Community School Inc,Greasewood Springs Community School Inc,Navajo County,HC 58 Box 60,Ganado,AZ,86505,,(928)654-3331,43,Rural: Remote,†,No,Yes,Yes,191,30,6.4,191,–
590013300178,BI-D33N22-D33N22,5900133,BI-D33N22,9,12,Greyhills Academy High School,Greyhills Academy High School,Coconino County,PO Box 160,Tuba City,AZ,86045,,(928)283-6271,33,Town: Remote,†,No,Yes,Yes,275,22,12.5,275,–
590007400030,BI-D34N06-D34N06,5900074,BI-D34N06,KG,KG,Hanaa'dli Community School,Hanaa'dli Community School,San Juan County,P.O. Box 639,Bloomfield,NM,87413,,(505)960-3411,42,Rural: Distant,†,No,Yes,Yes,7,4,1.8,†,†
590018700086,BI-D60F07-D60F07,5900187,BI-D60F07,KG,12,Hannahville Indian School,Hannahville Indian School,Menominee County,N14911 Hannahville B-1 Rd,Wilson,MI,49896,,(906)466-2952,43,Rural: Remote,†,No,Yes,Yes,156,24,6.5,156,–
590016500072,BI-D65H23-D65H23,5900165,BI-D65H23,KG,8,Havasupai Elementary School,Havasupai Elementary School,Coconino County,PO Box 40,Supai,AZ,86435,,(928)448-2901,43,Rural: Remote,†,No,Yes,Yes,65,8,8.1,65,–
590002900073,BI-D65H13-D65H13,5900029,BI-D65H13,KG,6,Hopi Day School,Hopi Day School,Navajo County,PO Box 42,Kykotsmovi,AZ,86039,,(928)734-2468,43,Rural: Remote,†,No,Yes,Yes,138,12,11.5,138,–
590007200074,BI-D65H22-D65H22,5900072,BI-D65H22,7,12,Hopi Jr/Sr High School,Hopi Jr/Sr High School,Navajo County,PO Box 337,Keams Canyon,AZ,86034,,(928)738-5111,43,Rural: Remote,†,No,Yes,Yes,511,49,10.4,511,–
590013100075,BI-D65H14-D65H14,5900131,BI-D65H14,KG,8,Hotevilla Bacavi Community School,Hotevilla Bacavi Community School,Navajo County,PO Box 48,Hotevilla,AZ,86030,,(928)734-2462,43,Rural: Remote,†,No,Yes,Yes,131,14,9.4,131,–
