NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
390471702692,OH-047175-017178,3904717,OH-047175,KG,4,A J Jordak Elementary School,Cardinal Local,Geauga County,16000 E High St # 188,Middlefield,OH,44062,9401,(440)632-0261,32,Town: Distant,No,–,Yes,Yes,300,19,15.8,106,27
390030504842,OH-000556-000556,3900305,OH-000556,KG,8,A+ Arts Academy,A+ Arts Academy,Franklin County,1395 Fair Ave,Columbus,OH,43205,1543,(614)725-1305,11,City: Large,Yes,–,Yes,Yes,701,6,116.8,279,7
390148005718,OH-013232-013232,3901480,OH-013232,KG,5,A+ Children's Academy,A+ Children's Academy,Franklin County,114 Obetz Rd,Columbus,OH,43207,4031,(614)491-8502,11,City: Large,Yes,–,Yes,Yes,130,10,13,122,3
390443800365,OH-044388-115873,3904438,OH-044388,6,8,A. I. Root Middle School,Medina City SD,Medina County,333 W Sturbridge Dr,Medina,OH,44256,3891,(330)636-3500,21,Suburb: Large,No,–,Yes,No,842,40.81,20.6,122,19
390443005353,OH-044305-009030,3904430,OH-044305,PK,1,Abraham Lincoln School,Maple Heights City,Cuyahoga County,6009 Dunham Rd,Maple Heights,OH,44137,4407,(216)438-6030,21,Suburb: Large,No,–,Yes,Yes,557,25,22.3,–,–
390437504258,OH-043752-145581,3904375,OH-043752,PK,8,Academy for Multilingual Immersion Studies,Cincinnati Public Schools,Hamilton County,1908 Seymour Ave,Cincinnati,OH,45237,4007,(513)363-1800,11,City: Large,No,–,Yes,Yes,491,33.5,14.7,–,–
390147205727,OH-013249-013249,3901472,OH-013249,9,12,Academy for Urban Scholars Youngstown,Academy for Urban Scholars Youngstown,Mahoning County,3405 Market St,Youngstown,OH,44507,1765,(330)744-9070,13,City: Small,Yes,–,Yes,Yes,207,4,51.8,–,–
390150205733,OH-013195-013195,3901502,OH-013195,KG,6,Academy of Educational Excellence,Academy of Educational Excellence,Lucas County,728 Parkside Blvd,Toledo,OH,43607,,(419)340-5666,11,City: Large,Yes,–,Yes,No,140,5.25,26.7,–,–
390160105988,OH-017212-017212,3901601,OH-017212,KG,8,Academy of Junior Scholars,Academy of Junior Scholars,Hamilton County,608 E Mcmillan St,Cincinnati,OH,45206,1959,(513)304-8210,11,City: Large,Yes,–,–,–,32,3.25,9.8,–,–
390437504280,OH-043752-094623,3904375,OH-043752,PK,8,Academy Of World Languages School,Cincinnati Public Schools,Hamilton County,2030 Fairfax Ave,Cincinnati,OH,45207,1943,(513)363-7800,11,City: Large,No,–,Yes,Yes,507,39,13,–,–
390136205524,OH-011507-011507,3901362,OH-011507,9,12,Achieve Career Preparatory Academy,Achieve Career Preparatory Academy,Lucas County,3891 Martha Ave,Toledo,OH,43612,1250,(419)243-8559,11,City: Large,Yes,–,Yes,Yes,158,11,14.4,–,–
390160205984,OH-017275-017275,3901602,OH-017275,9,12,AchievePoint Career Academy - Cincinnati,AchievePoint Career Academy - Cincinnati,Hamilton County,5098 Glencrossing Way,Cincinnati,OH,45238,2105,(513)334-3607,11,City: Large,Yes,–,–,–,72,3,24,50,3
390451802112,OH-045187-000059,3904518,OH-045187,PK,6,Ada Elementary School,Ada Exempted Village,Hardin County,435 Grand Ave,Ada,OH,45810,1013,(419)634-2341,41,Rural: Fringe,No,–,Yes,Yes,464,26,17.8,–,–
390451802113,OH-045187-000067,3904518,OH-045187,7,12,Ada High School,Ada Exempted Village,Hardin County,435 Grand Ave,Ada,OH,45810,1013,(419)634-2746,41,Rural: Fringe,No,–,Yes,No,401,24,16.7,196,67
390488703434,OH-048876-000117,3904887,OH-048876,PK,6,Adamsville Elementary School,Tri-Valley Local,Muskingum County,7950 East St,Adamsville,OH,43802,9024,(740)796-2153,42,Rural: Distant,No,–,Yes,Yes,258,15.1,17.1,132,23
390656804128,OH-065680-000141,3906568,OH-065680,PK,5,Addaville Elementary School,Gallia County Local,Gallia County,1333 Brick School Rd,Gallipolis,OH,45631,8782,(740)367-7283,42,Rural: Distant,No,–,Yes,Yes,329,22.15,14.9,–,–
