NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
560147000454,WY-0301000-0301002,5601470,WY-0301000,KG,6,4-J Elementary School,Campbell County School District #1,Campbell County,P.O. Box 3033,Gillette,WY,82717,3033,(307)682-3076,43,Rural: Remote,No,No,–,–,40,4.3,9.3,3,0
560198000480,WY-1101000-1101027,5601980,WY-1101000,PK,6,Afflerbach Elementary,Laramie County School District #1,Laramie County,400 West Wallick Road,Cheyenne,WY,82007,9324,(307)771-2300,23,Suburb: Small,No,No,Yes,Yes,401,32.2,12.5,291,66
560406000204,WY-1202000-1202001,5604060,WY-1202000,PK,3,Afton Elementary,Lincoln County School District #2,Lincoln County,333 East 1st Avenue,Afton,WY,83110,,(307)885-8002,43,Rural: Remote,No,No,Yes,Yes,438,30.9,14.2,82,62
560412000208,WY-1102000-1102001,5604120,WY-1102000,KG,6,Albin Elementary,Laramie County School District #2,Laramie County,P.O. Box 38,Albin,WY,82050,38,(307)245-4090,43,Rural: Remote,No,No,Yes,No,44,7.03,6.3,14,11
560451000235,WY-1301000-1301001,5604510,WY-1301000,KG,5,Alcova Elementary,Natrona County School District #1,Natrona County,P.O. Box 106,Alcova,WY,82620,106,(307)472-2079,42,Rural: Distant,No,No,–,–,6,1,6,†,†
560583000337,WY-2001000-2001001,5605830,WY-2001000,KG,5,Alta Elementary,Teton County School District #1,Teton County,Route 1 Box 3480,Alta,WY,83414,,(307)353-2472,43,Rural: Remote,No,No,–,–,49,6.02,8.1,2,1
560198000096,WY-1101000-1101001,5601980,WY-1101000,PK,6,Alta Vista Elementary,Laramie County School District #1,Laramie County,1514 East 16th Street,Cheyenne,WY,82001,4999,(307)771-2310,13,City: Small,No,No,Yes,Yes,288,24.29,11.9,151,41
560198000438,WY-1101000-1101026,5601980,WY-1101000,KG,4,Anderson Elementary,Laramie County School District #1,Laramie County,2204 Plain View Road,Cheyenne,WY,82009,4433,(307)771-2606,13,City: Small,No,No,–,–,312,19.87,15.7,63,28
560096000367,WY-0738000-0738055,5600960,WY-0738000,9,12,Arapahoe Charter High School,Fremont County School District #38,Fremont County,445 Little Wind River Bottom Road,Arapahoe,WY,82510,,(307)856-3862,42,Rural: Distant,Yes,No,Yes,Yes,27,3.26,8.3,24,0
560096000162,WY-0738000-0738001,5600960,WY-0738000,PK,8,Arapahoe Elementary,Fremont County School District #38,Fremont County,445 Little Wind River Bottom Road,Arapahoe,WY,82510,211,(307)856-9333,42,Rural: Distant,No,No,Yes,Yes,458,35.22,13,455,0
560198000097,WY-1101000-1101002,5601980,WY-1101000,PK,6,Arp Elementary,Laramie County School District #1,Laramie County,1216 Reiner Court,Cheyenne,WY,82007,2617,(307)771-2365,23,Suburb: Small,No,No,Yes,Yes,347,29.48,11.8,223,36
560568000309,WY-1703000-1703001,5605680,WY-1703000,KG,6,Arvada Elementary,Sheridan County School District #3,Sheridan County,P.O. Box 125,Clearmont,WY,82835,,(307)758-4412,43,Rural: Remote,No,No,–,–,6,1.58,3.8,†,†
560522000571,WY-0725000-0725002,5605220,WY-0725000,1,3,Ashgrove Elementary,Fremont County School District #25,Fremont County,121 North 5th Street,Riverton,WY,82501,,(307)856-2626,33,Town: Remote,No,No,Yes,Yes,170,11.5,14.8,75,12
