NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
490001700904,UT-83-83700,4900017,UT-83,9,12,Academy for Math Engineering & Science,Academy for Math Engineering & Science,Salt Lake County,5715 S 1300 E,SALT LAKE CITY,UT,84121,,(801)278-9460,21,Suburb: Large,Yes,Yes,Yes,No,484,22.51,21.5,148,–
490036000196,UT-12-12102,4900360,UT-12,PK,6,Academy Park School,Granite District,Salt Lake County,4580 WESTPOINT DR,WEST VALLEY CITY,UT,84120,,(385)646-4750,21,Suburb: Large,No,No,Yes,Yes,501,23.83,21,306,64
490021000793,UT-07-07102,4900210,UT-07,PK,6,Adams School,Davis District,Davis County,2200 E 2500 N,LAYTON,UT,84041,,(801)402-3100,21,Suburb: Large,No,No,–,–,626,25.41,24.6,98,30
490051000343,UT-39-39104,4900510,UT-39,PK,5,Adams School,Logan City District,Cache County,415 E 500 N,LOGAN,UT,84321,,(435)755-2320,13,City: Small,No,No,Yes,Yes,364,15,24.3,201,34
490021000103,UT-07-07104,4900210,UT-07,KG,6,Adelaide School,Davis District,Davis County,731 W 3600 S,BOUNTIFUL,UT,84010,,(801)402-1250,21,Suburb: Large,No,No,Yes,Yes,516,18.14,28.4,197,26
490019801524,UT-1M-1M100,4900198,UT-1M,–,–,Advantage Arts Academy,Advantage Arts Academy,Davis County,454 S. 500 E.,FARMINGTON,UT,84025,,(801)558-6705,21,Suburb: Large,Yes,†,†,†,†,†,†,†,†
490090000526,UT-25-25308,4900900,UT-25,6,8,Albert R. Lyman Middle,San Juan District,San Juan County,535 N 100 E,BLANDING,UT,84511,,(435)678-1398,33,Town: Remote,No,No,Yes,Yes,336,18.65,18,337,–
490014200815,UT-42-42401,4900142,UT-42,6,8,Albion Middle,Canyons District,Salt Lake County,2755 E NEWCASTLE DR,SANDY,UT,84093,,(801)826-6700,21,Suburb: Large,No,No,–,–,946,37.15,25.5,91,28
490003001154,UT-01-01299,4900030,UT-01,KG,8,Alpine Online School,Alpine District,Utah County,575 N 100 E,AMERICAN FORK,UT,84003,,(801)756-8400,21,Suburb: Large,No,No,–,–,117,–,†,6,–
490003000001,UT-01-01104,4900030,UT-01,PK,6,Alpine School,Alpine District,Utah County,400 E 300 N,ALPINE,UT,84004,,(801)610-8700,21,Suburb: Large,No,No,–,–,726,27.75,26.2,23,4
490014200659,UT-42-42702,4900142,UT-42,8,12,Alta High,Canyons District,Salt Lake County,11055 South Hawk Hwy,SANDY,UT,84094,,(801)826-5600,21,Suburb: Large,No,No,–,–,2137,87.2,24.5,307,70
490014200286,UT-42-42104,4900142,UT-42,KG,5,Alta View School,Canyons District,Salt Lake County,10333 CROCUS ST,SANDY,UT,84094,,(801)826-7600,21,Suburb: Large,No,No,–,–,598,25.01,23.9,118,32
490024000158,UT-08-08704,4900240,UT-08,7,12,Altamont High,Duchesne District,Duchesne County,200 W MAIN,ALTAMONT,UT,84001,,(435)738-1345,43,Rural: Remote,No,No,–,–,274,17.5,15.7,51,12
490024000159,UT-08-08104,4900240,UT-08,KG,6,Altamont School,Duchesne District,Duchesne County,190 W MAIN,ALTAMONT,UT,84001,,(435)738-1375,43,Rural: Remote,No,No,Yes,No,326,17,19.2,72,25
490014200718,UT-42-42103,4900142,UT-42,KG,5,Altara School,Canyons District,Salt Lake County,800 E 11000 S,SANDY,UT,84094,,(801)826-7675,21,Suburb: Large,No,No,–,–,482,26,18.5,88,20
490081000584,UT-38-38100,4900810,UT-38,KG,6,Amelia Earhart School,Provo District,Utah County,2585 W 200 S,PROVO,UT,84601,,(801)370-4630,12,City: Midsize,No,No,Yes,Yes,520,27.3,19,282,42
490018601483,UT-8K-8K700,4900186,UT-8K,6,12,American Academy of Innovation,American Academy of Innovation,Salt Lake County,5410 W South Jordan Parkway,South Jordan,UT,84009,,(801)810-4786,41,Rural: Fringe,Yes,No,Yes,No,302,16.94,17.8,59,10
490003000002,UT-01-01704,4900030,UT-01,10,12,American Fork High,Alpine District,Utah County,510 N 600 E,AMERICAN FORK,UT,84003,,(801)610-8800,21,Suburb: Large,No,No,–,–,2303,89.64,25.7,296,69
490003000003,UT-01-01404,4900030,UT-01,7,9,American Fork Jr High,Alpine District,Utah County,20 W 1120 N,AMERICAN FORK,UT,84003,,(801)610-8750,21,Suburb: Large,No,No,–,–,1964,64.58,30.4,278,76
490003301056,UT-8B-8B100,4900033,UT-8B,KG,12,American Leadership Academy,American Leadership Academy,Utah County,898 W 1100 S,SPANISH FORK,UT,84660,,(801)794-2226,21,Suburb: Large,Yes,No,Yes,No,1818,83.02,21.9,619,166
490000501404,UT-74-74110,4900005,UT-74,KG,12,American Preparatory Academy - Accelerated School,American Preparatory Academy,Salt Lake County,3636 W 3100 S,WEST VALLEY CITY,UT,84120,,(385)351-3090,21,Suburb: Large,Yes,No,Yes,Yes,1457,68.63,21.2,635,156
490000500801,UT-74-74100,4900005,UT-74,KG,6,American Preparatory Academy - Draper #1,American Preparatory Academy,Salt Lake County,12892 S PONY EXPRESS RD,DRAPER,UT,84020,,(801)553-8500,21,Suburb: Large,Yes,No,–,–,572,26.12,21.9,72,17
490000501446,UT-74-74130,4900005,UT-74,KG,6,American Preparatory Academy - Draper #2,American Preparatory Academy,Salt Lake County,11938 South Lone Peak Parkway,DRAPER,UT,84020,,(801)810-3590,21,Suburb: Large,Yes,No,–,–,1255,44.19,28.4,186,46
490000501471,UT-74-74700,4900005,UT-74,7,12,American Preparatory Academy - Draper #3,American Preparatory Academy,Salt Lake County,11938 LONE PEAK PARKWAY,DRAPER,UT,84020,,(801)810-3590,21,Suburb: Large,Yes,No,–,–,601,37.64,16,87,25
490000501520,UT-74-74140,4900005,UT-74,KG,10,American Preparatory Academy - Salem,American Preparatory Academy,Utah County,1195 S. Elk Ridge Drive,SALEM,UT,84653,,(801)465-4434,21,Suburb: Large,Yes,No,Yes,No,514,24.36,21.1,126,45
490000501372,UT-74-74120,4900005,UT-74,KG,9,American Preparatory Academy - The School for New Americans,American Preparatory Academy,Salt Lake County,1255 W CRYSTAL AVE.,WEST VALLEY CITY,UT,84119,,(801)839-3613,21,Suburb: Large,Yes,No,Yes,Yes,612,33.01,18.5,328,95
490105000578,UT-30-30140,4901050,UT-30,PK,6,Anna Smith School,Tooele District,Tooele County,P O BOX 879,WENDOVER,UT,84083,,(435)665-0470,33,Town: Remote,No,No,Yes,Yes,222,14,15.9,221,–
490021000869,UT-07-07106,4900210,UT-07,PK,6,Antelope School,Davis District,Davis County,1810 S MAIN,CLEARFIELD,UT,84015,,(801)402-2100,13,City: Small,No,No,Yes,Yes,760,29.5,25.8,234,64
490030000183,UT-10-10104,4900300,UT-10,KG,6,Antimony School,Garfield District,Garfield County,PO BOX 120026,ANTIMONY,UT,84712,,(435)624-3221,43,Rural: Remote,No,No,Yes,Yes,13,1,13,7,2
490063001518,UT-19-19102,4900630,UT-19,PK,6,Apple Valley School,Nebo District,Utah County,105 E 770 N,SANTAQUIN,UT,84655,,(801)354-7400,31,Town: Fringe,No,No,–,–,647,27.5,23.5,179,80
490036000198,UT-12-12103,4900360,UT-12,PK,6,Arcadia School,Granite District,Salt Lake County,3461 W 4850 S,TAYLORSVILLE,UT,84118,,(385)646-4756,21,Suburb: Large,No,No,–,–,463,19.11,24.2,234,52
490114001057,UT-33-33111,4901140,UT-33,PK,5,Arrowhead School,Washington District,Washington County,545 ARROWHEAD TRAIL,SANTA CLARA,UT,84765,,(435)674-2027,23,Suburb: Small,No,No,–,–,682,30.88,22.1,167,37
490063000660,UT-19-19100,4900630,UT-19,PK,6,Art City School,Nebo District,Utah County,121 N 900 E,SPRINGVILLE,UT,84663,,(801)489-2820,21,Suburb: Large,No,No,–,–,530,21.5,24.7,137,36
490017401523,UT-2J-2J330,4900174,UT-2J,KG,12,Ascent Academies of Utah - West Valley,Ascent Academies of Utah,Salt Lake County,5662 W 8200 S,WEST JORDAN,UT,84081,,(801)685-0228,21,Suburb: Large,Yes,No,–,–,414,17.7,23.4,220,51
490017401453,UT-2J-2J300,4900174,UT-2J,KG,9,Ascent Academies of Utah Farmington,Ascent Academies of Utah,Davis County,22 South 650 West,FARMINGTON,UT,84025,,(385)220-2200,21,Suburb: Large,Yes,No,–,–,494,26.3,18.8,87,30
490017401490,UT-2J-2J320,4900174,UT-2J,KG,9,Ascent Academies of Utah Lehi,Ascent Academies of Utah,Utah County,2199 W 900 N,LEHI,UT,84043,,(385)374-9641,21,Suburb: Large,Yes,No,Yes,No,635,31.48,20.2,138,42
490017401472,UT-2J-2J310,4900174,UT-2J,KG,9,Ascent Academies of Utah West Jordan,Ascent Academies of Utah,Salt Lake County,5662 W 8200 S,WEST JORDAN,UT,84081,,(385)275-0909,21,Suburb: Large,Yes,No,Yes,No,815,36.19,22.5,180,57
490108000580,UT-31-31100,4901080,UT-31,KG,5,Ashley School,Uintah District,Uintah County,350 N 1150 W,VERNAL,UT,84078,,(435)781-3170,33,Town: Remote,No,No,Yes,Yes,620,25,24.8,312,53
490108001302,UT-31-31750,4901080,UT-31,8,12,Ashley Valley Educ. Ctr.,Uintah District,Uintah County,559 N 1700 W,VERNAL,UT,84078,,(435)781-4675,41,Rural: Fringe,No,No,–,–,130,2.9,44.8,56,8
490093000538,UT-26-26104,4900930,UT-26,KG,2,Ashman School,Sevier District,Sevier County,70 N 200 W,RICHFIELD,UT,84701,,(435)896-8415,33,Town: Remote,No,No,Yes,Yes,474,19.5,24.3,236,–
490003000740,UT-01-01105,4900030,UT-01,PK,6,Aspen School,Alpine District,Utah County,945 W 2000 N,OREM,UT,84057,,(801)610-8100,13,City: Small,No,No,–,–,426,21.47,19.8,114,25
490018101473,UT-4K-4K300,4900181,UT-4K,KG,12,Athenian eAcademy,Athenian eAcademy,Utah County,765 E. 340 S. Suite 203,AMERICAN FORK,UT,84003,,(385)715-5400,21,Suburb: Large,Yes,No,Yes,No,571,25.76,22.2,162,–
490018901503,UT-1L-1L300,4900189,UT-1L,KG,8,Athlos Academy of Utah,Athlos Academy of Utah,Salt Lake County,12309 South Mustang Trail Way,HERRIMAN,UT,84096,,(801)438-4619,21,Suburb: Large,Yes,No,Yes,No,953,52.18,18.3,145,43
490087000474,UT-36-36104,4900870,UT-36,PK,6,Backman School,Salt Lake District,Salt Lake County,601 N 1500 W,SALT LAKE CITY,UT,84116,,(801)578-8100,12,City: Midsize,No,Yes,Yes,Yes,472,27.72,17,400,31
490063000689,UT-19-19104,4900630,UT-19,PK,6,Barnett School,Nebo District,Utah County,456 N 300 E,PAYSON,UT,84651,,(801)465-6000,21,Suburb: Large,No,No,Yes,Yes,448,24.1,18.6,182,35
490003000004,UT-01-01106,4900030,UT-01,PK,6,Barratt School,Alpine District,Utah County,168 N 900 E,AMERICAN FORK,UT,84003,,(801)610-8701,21,Suburb: Large,No,No,–,–,529,19.13,27.7,51,41
490042001498,UT-14-14173,4900420,UT-14,KG,6,Bastian School,Jordan District,Salt Lake County,5692 W. Big Bend Park Drive,HERRIMAN,UT,84096,,(801)567-8920,21,Suburb: Large,No,No,–,–,835,34.54,24.2,119,39
490120000612,UT-35-35100,4901200,UT-35,KG,6,Bates School,Weber District,Weber County,850 E 3100 N,OGDEN,UT,84414,,(801)452-4580,21,Suburb: Large,No,No,–,–,795,33.25,23.9,105,53
490087000475,UT-36-36108,4900870,UT-36,KG,6,Beacon Heights School,Salt Lake District,Salt Lake County,1850 S 2500 E,SALT LAKE CITY,UT,84108,,(801)481-4814,12,City: Midsize,No,No,–,–,494,21.44,23,87,11
490014601375,UT-3G-3G100,4900146,UT-3G,KG,8,Bear River Charter School,Bear River Charter School,Cache County,75 S 400 W,LOGAN,UT,84321,,(435)753-8811,13,City: Small,Yes,No,Yes,No,173,10.8,16,52,–
490009000043,UT-03-03704,4900090,UT-03,10,12,Bear River High,Box Elder District,Box Elder County,1450 S MAIN,GARLAND,UT,84312,,(435)257-2500,32,Town: Distant,No,No,–,–,974,41.73,23.3,204,87
490009000044,UT-03-03404,4900090,UT-03,8,10,Bear River Middle,Box Elder District,Box Elder County,300 E 1500 S,GARLAND,UT,84312,,(435)257-2540,32,Town: Distant,No,No,–,–,765,36.17,21.2,191,81
490006000036,UT-02-02704,4900060,UT-02,7,12,Beaver High,Beaver District,Beaver County,195 E CENTER,BEAVER,UT,84713,,(435)438-2301,33,Town: Remote,No,No,–,–,462,19.75,23.4,127,52
490006001257,UT-02-02100,4900060,UT-02,PK,PK,Beaver Preschool,Beaver District,Beaver County,290 N MAIN,BEAVER,UT,84713,,(435)438-2291,33,Town: Remote,No,No,–,–,40,1,40,14,–
490036000853,UT-12-12107,4900360,UT-12,PK,6,Beehive School,Granite District,Salt Lake County,5655 S 5220 W,KEARNS,UT,84118,,(385)646-4768,21,Suburb: Large,No,No,–,–,617,24.23,25.5,350,73
490002301060,UT-3B-3B700,4900023,UT-3B,6,12,Beehive Science & Technology Academy,Beehive Science & Technology Academy,Salt Lake County,830 E 9400 S,SANDY,UT,84094,,(801)576-0070,21,Suburb: Large,Yes,Yes,Yes,No,295,17.55,16.8,91,23
490002301570,UT-3B-3B100,4900023,UT-3B,–,–,Beehive Science & Technology Academy Elementary,Beehive Science & Technology Academy,†,830 E 9400 South,SANDY,UT,84094,,(801)576-0070,†,N,Yes,†,†,†,†,†,†,†,†
490006000037,UT-02-02104,4900060,UT-02,KG,6,Belknap School,Beaver District,Beaver County,500 N 650 E,BEAVER,UT,84713,,(435)438-2281,33,Town: Remote,No,No,Yes,Yes,476,22.83,20.8,185,63
490014200287,UT-42-42105,4900142,UT-42,KG,5,Bell View School,Canyons District,Salt Lake County,9800 S 800 E,SANDY,UT,84094,,(801)826-7750,21,Suburb: Large,No,No,–,–,315,14.5,21.7,122,21
490014200288,UT-42-42106,4900142,UT-42,KG,5,Bella Vista School,Canyons District,Salt Lake County,2131 E 7000 S,Salt Lake City,UT,84121,,(801)826-7825,21,Suburb: Large,No,No,–,–,248,17.5,14.2,67,13
490003001545,UT-01-01114,4900030,UT-01,PK,6,Belmont School,Alpine District,Utah County,4051 North Maple Hollow Blvd,LEHI,UT,84043,,(801)610-8734,41,Rural: Fringe,No,No,–,–,791,30.42,26,41,11
490072001281,UT-37-37703,4900720,UT-37,10,12,Ben Lomond High,Ogden City District,Weber County,1080 9TH STREET,OGDEN,UT,84404,,(801)737-7900,13,City: Small,No,No,Yes,Yes,1255,62.25,20.2,699,120
490036000715,UT-12-12400,4900360,UT-12,7,9,Bennion Jr High,Granite District,Salt Lake County,6055 S 2700 W,TAYLORSVILLE,UT,84118,,(385)646-5114,21,Suburb: Large,No,No,–,–,1031,43.81,23.5,338,95
490036000199,UT-12-12106,4900360,UT-12,KG,6,Bennion School,Granite District,Salt Lake County,5775 S SIERRA GRANDE DR,SALT LAKE CITY,UT,84118,,(385)646-4774,21,Suburb: Large,No,No,–,–,568,23.5,24.2,215,48
490048000953,UT-16-16712,4900480,UT-16,7,12,Big Water High,Kane District,Kane County,P O BOX 410126,BIG WATER,UT,84741,,(435)675-5821,43,Rural: Remote,No,No,–,–,23,1,23,10,6
490048000887,UT-16-16110,4900480,UT-16,KG,6,Big Water School,Kane District,Kane County,P O BOX 410126,BIG WATER,UT,84741,,(435)675-5821,43,Rural: Remote,No,No,Yes,Yes,38,2,19,16,4
490042000289,UT-14-14704,4900420,UT-14,10,12,Bingham High,Jordan District,Salt Lake County,2160 W 10400 S,SOUTH JORDAN,UT,84095,,(801)256-5100,21,Suburb: Large,No,No,–,–,2589,101.89,25.4,172,81
490012001392,UT-04-04106,4900120,UT-04,PK,6,Birch Creek School,Cache District,Cache County,675 W 220 N,SMITHFIELD,UT,84335,,(435)792-7692,23,Suburb: Small,No,No,Yes,Yes,644,28.59,22.5,143,117
490003001461,UT-01-01115,4900030,UT-01,PK,6,Black Ridge School,Alpine District,Utah County,9358 N. Sunset Drive,EAGLE MOUNTAIN,UT,84005,,(801)610-8729,21,Suburb: Large,No,No,–,–,1104,38.65,28.6,129,40
490042001480,UT-14-14127,4900420,UT-14,KG,6,Blackridge School,Jordan District,Salt Lake County,14131 South Rosecrest Road,HERRIMAN,UT,84096,,(801)254-0326,21,Suburb: Large,No,No,–,–,1083,43,25.2,52,12
490090000527,UT-25-25104,4900900,UT-25,PK,5,Blanding School,San Juan District,San Juan County,302 S 100 W,BLANDING,UT,84511,,(435)678-1871,33,Town: Remote,No,No,Yes,Yes,581,27,21.5,581,–
490006901140,UT-41-41211,4900069,UT-41,PK,12,Blind Region 2,Utah Schools for Deaf & Blind,Salt Lake County,1655 East 3300 South,SALT LAKE CITY,UT,84106,,(801)464-0840,21,Suburb: Large,No,No,–,–,16,7.5,2.1,5,–
490006901531,UT-41-41411,4900069,UT-41,PK,6,Blind South,Utah Schools for Deaf & Blind,Utah County,424 South 350 East,OREM,UT,84058,,(801)629-4718,13,City: Small,No,No,–,–,4,–,†,†,†
490114000347,UT-33-33105,4901140,UT-33,PK,5,Bloomington Hills School,Washington District,Washington County,919 E BRIGHAM RD,ST GEORGE,UT,84790,,(435)674-6495,13,City: Small,No,No,–,–,555,24.36,22.8,191,44
490114000841,UT-33-33102,4901140,UT-33,PK,5,Bloomington School,Washington District,Washington County,425 MAN OF WAR ROAD,ST GEORGE,UT,84790,,(435)673-6266,13,City: Small,No,No,–,–,600,28.15,21.3,107,40
490105000698,UT-30-30740,4901050,UT-30,KG,12,Blue Peak High,Tooele District,Tooele County,211 S TOOELE BLVD,TOOELE,UT,84074,,(435)833-8700,41,Rural: Fringe,No,No,–,–,2765,14.37,192.4,423,36
490021000649,UT-07-07153,4900210,UT-07,PK,6,Bluff Ridge School,Davis District,Davis County,2680 S 775 W,SYRACUSE,UT,84075,,(801)402-2850,21,Suburb: Large,No,No,–,–,996,37.32,26.7,61,26
490090000528,UT-25-25108,4900900,UT-25,PK,5,Bluff School,San Juan District,San Juan County,P O BOX 130,BLUFF,UT,84512,,(435)678-1296,43,Rural: Remote,No,No,Yes,Yes,91,7.57,12,91,–
490042001541,UT-14-14421,4900420,UT-14,–,–,Bluffdale Middle School #1,Jordan District,Salt Lake County,15410 S Harmon Day Dr.,BLUFFDALE,UT,84065,,(801)567-8750,21,Suburb: Large,No,†,†,†,†,†,†,†,†
490042000338,UT-14-14109,4900420,UT-14,KG,6,Bluffdale School,Jordan District,Salt Lake County,14323 S 2700 W,BLUFFDALE,UT,84065,,(801)254-8090,21,Suburb: Large,No,No,–,–,1070,39.75,26.9,153,57
490019501507,UT-6L-6L300,4900195,UT-6L,KG,8,Bonneville Academy,Bonneville Academy,Tooele County,800 W Montauk Lane,STANSBURY PARK,UT,84074,,(435)315-2080,41,Rural: Fringe,Yes,No,–,–,607,30.23,20.1,92,64
490120000613,UT-35-35701,4901200,UT-35,10,12,Bonneville High,Weber District,Weber County,251 E LAKER WAY,OGDEN,UT,84405,,(801)452-4050,21,Suburb: Large,No,No,–,–,1331,63.6,20.9,366,98
490036000200,UT-12-12402,4900360,UT-12,7,8,Bonneville Jr High,Granite District,Salt Lake County,5330 S 1660 E,SALT LAKE CITY,UT,84117,,(385)646-5124,21,Suburb: Large,No,No,–,–,482,19.35,24.9,170,51
490003000005,UT-01-01107,4900030,UT-01,PK,6,Bonneville School,Alpine District,Utah County,1245 N 800 W,OREM,UT,84057,,(801)610-8101,13,City: Small,No,No,Yes,Yes,635,26.7,23.8,72,11
490072001266,UT-37-37103,4900720,UT-37,KG,6,Bonneville School,Ogden City District,Weber County,490 GRAMERCY AVE,OGDEN,UT,84404,,(801)737-8900,13,City: Small,No,No,Yes,Yes,472,23.76,19.9,476,–
490087000476,UT-36-36112,4900870,UT-36,KG,6,Bonneville School,Salt Lake District,Salt Lake County,1145 S 1900 E,SALT LAKE CITY,UT,84108,,(801)584-2913,12,City: Midsize,No,No,–,–,517,22.5,23,32,4
490027000173,UT-09-09124,4900270,UT-09,PK,6,Book Cliff School,Emery District,Emery County,P O BOX 448,GREEN RIVER,UT,84525,,(435)564-8102,43,Rural: Remote,No,No,Yes,No,121,8.62,14,78,12
490030000825,UT-10-10108,4900300,UT-10,KG,6,Boulder School,Garfield District,Garfield County,P O BOX 1447,BOULDER,UT,84716,,(435)335-7322,43,Rural: Remote,No,No,–,–,23,1.1,20.9,8,–
490021000104,UT-07-07108,4900210,UT-07,PK,6,Boulton School,Davis District,Davis County,2611 S ORCHARD DR,BOUNTIFUL,UT,84010,,(801)402-1300,21,Suburb: Large,No,No,–,–,555,24.36,22.8,91,33
490021000105,UT-07-07704,4900210,UT-07,10,12,Bountiful High,Davis District,Davis County,695 S ORCHARD DR,BOUNTIFUL,UT,84010,,(801)402-3900,21,Suburb: Large,No,No,–,–,1489,60.08,24.8,172,44
490021000106,UT-07-07404,4900210,UT-07,7,9,Bountiful Jr High,Davis District,Davis County,30 W 400 N,BOUNTIFUL,UT,84010,,(801)402-6000,21,Suburb: Large,No,No,–,–,630,24.68,25.5,112,24
