NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
320006000935,NV-02-02061,3200060,NV-02,PK,5,Abston Sandra B ES,CLARK COUNTY SCHOOL DISTRICT,Clark County,9950 W Tompkins Ave,Las Vegas,NV,89147,,(702)799-0000,21,Suburb: Large,No,†,†,†,†,†,†,†,†
320048000664,NV-16-16611,3200480,NV-16,9,12,Academy of Art Careers and Technology,WASHOE COUNTY SCHOOL DISTRICT,Washoe County,380 Edison Way,Reno,NV,89502,,(775)861-4418,12,City: Midsize,No,Yes,–,–,574,29,19.8,98,29
320048000562,NV-16-16608,3200480,NV-16,9,12,Academy of Career Education Charter School,WASHOE COUNTY SCHOOL DISTRICT,Washoe County,2800 Vassar Street,Reno,NV,89502,,(775)324-3900,12,City: Midsize,Yes,No,–,–,191,–,†,45,1
320006000458,NV-02-02161,3200060,NV-02,PK,5,Addeliar Guy Elementary School,CLARK COUNTY SCHOOL DISTRICT,Clark County,4028 La Madre Way,North Las Vegas,NV,89031,,(702)799-3150,21,Suburb: Large,No,No,Yes,Yes,550,32,17.2,523,24
320012000326,NV-04-04503,3200120,NV-04,5,8,Adobe Middle School,ELKO COUNTY SCHOOL DISTRICT,Elko County,3375 Jennings Way,Elko,NV,89801,,(775)738-7236,41,Rural: Fringe,No,No,Yes,Yes,708,12,59,203,41
320012000854,NV-04-04902,3200120,NV-04,AE,AE,Adult Education,ELKO COUNTY SCHOOL DISTRICT,Elko County,1020 Elm Street,Elko,NV,89801,,(775)753-2233,33,Town: Remote,No,No,–,–,2,–,†,†,†
320006000419,NV-02-02420,3200060,NV-02,9,12,Advanced Technologies Academy,CLARK COUNTY SCHOOL DISTRICT,Clark County,2501 Vegas Dr.,Las Vegas,NV,89106,,(702)799-7870,11,City: Large,No,Yes,Yes,Yes,1165,54,21.6,388,166
320006000436,NV-02-02150,3200060,NV-02,PK,5,Aggie Roberts Elementary School,CLARK COUNTY SCHOOL DISTRICT,Clark County,227 Charter Oak St,Henderson,NV,89074,,(702)799-1320,11,City: Large,No,No,Yes,Yes,675,29,23.3,645,30
320048000201,NV-16-16221,3200480,NV-16,PK,6,Agnes Risley Elementary School,WASHOE COUNTY SCHOOL DISTRICT,Washoe County,1900 Sullivan Lane,Sparks,NV,89431,,(775)353-5760,21,Suburb: Large,No,No,Yes,Yes,477,25,19.1,474,0
320039000282,NV-13-13207,3200390,NV-13,PK,5,Al Seeliger Elementary School,CARSON CITY SCHOOL DISTRICT,Carson City,2800 South Saliman Road,Carson City,NV,89706,,(775)283-2200,13,City: Small,No,No,Yes,Yes,580,35,16.6,215,41
320021000149,NV-07-07501,3200210,NV-07,9,12,Albert M Lowry High School,HUMBOLDT COUNTY SCHOOL DISTRICT,Humboldt County,5375 Kluncy Canyon Road,Winnemucca,NV,89445,,(775)623-8130,33,Town: Remote,No,No,–,–,934,67,13.9,297,75
320006000655,NV-02-02194,3200060,NV-02,PK,5,Aldeane Comito Ries Elementary,CLARK COUNTY SCHOOL DISTRICT,Clark County,9805 S. Lindell Rd.,Las Vegas,NV,89141,,(702)799-1240,21,Suburb: Large,No,No,Yes,Yes,856,45,19,300,70
320048000388,NV-16-16260,3200480,NV-16,PK,6,Alice L Smith Elementary School,WASHOE COUNTY SCHOOL DISTRICT,Washoe County,1070 Beckwourth Drive,Reno,NV,89506,,(775)677-5410,12,City: Midsize,No,No,Yes,Yes,766,41,18.7,428,52
320048000202,NV-16-16222,3200480,NV-16,PK,6,Alice Maxwell Elementary School,WASHOE COUNTY SCHOOL DISTRICT,Washoe County,2300 North Rock Boulevard,Sparks,NV,89431,,(775)353-5580,21,Suburb: Large,No,No,Yes,Yes,512,28,18.3,512,–
320000100800,NV-18-76412,3200001,NV-18,9,12,Alpine Academy High School,STATE-SPONSORED CHARTER SCHOOLS,Washoe County,605 Boxington Way Suite 112,Sparks,NV,89434,,(775)356-1166,21,Suburb: Large,Yes,No,–,–,113,7,16.1,15,16
320048000390,NV-16-16265,3200480,NV-16,PK,6,Alyce Savage Taylor Elementary School,WASHOE COUNTY SCHOOL DISTRICT,Washoe County,252 Egyptian Way,Sparks,NV,89431,,(775)425-7700,21,Suburb: Large,No,No,–,–,773,41,18.9,152,20
320036000564,NV-12-12316,3200360,NV-12,6,8,Amargosa Middle School,NYE COUNTY SCHOOL DISTRICT,Nye County,HC 15 Box 401Z,Amargosa,NV,89020,,(775)372-5324,43,Rural: Remote,No,No,Yes,Yes,51,3,17,51,–
320036000185,NV-12-12106,3200360,NV-12,PK,5,Amargosa Valley Elementary School,NYE COUNTY SCHOOL DISTRICT,Nye County,777 E. Farm Road,Amargosa,NV,89020,,(775)372-5324,43,Rural: Remote,No,No,Yes,Yes,116,6,19.3,108,8
320000100848,NV-18-50431,3200001,NV-18,KG,12,American Preparatory Academy LV,STATE-SPONSORED CHARTER SCHOOLS,Clark County,8377 West Patrick Lane,Las Vegas,NV,89113,,(702)970-6800,21,Suburb: Large,Yes,No,–,–,1657,30,55.2,232,7
