NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
370001201488,NC-740-302,3700012,NC-740,6,8,A G Cox Middle,Pitt County Schools,Pitt County,2657 Church Street,Winterville,NC,28590,,(252)756-3105,22,Suburb: Midsize,No,No,Yes,Yes,805,46.1,17.5,360,29
370333001392,NC-650-384,3703330,NC-650,KG,5,A H Snipes Academy of Arts/Des,New Hanover County Schools,New Hanover County,2150 Chestnut Street,Wilmington,NC,28405,,(910)251-6175,12,City: Midsize,No,Yes,Yes,Yes,391,35.13,11.1,388,0
370243001039,NC-132-304,3702430,NC-132,9,12,A L Brown High,Kannapolis City Schools,Cabarrus County,415 E 1st Street,Kannapolis,NC,28083,4501,(704)932-6125,22,Suburb: Midsize,No,No,–,–,1616,98.14,16.5,1608,0
370348001441,NC-680-304,3703480,NC-680,6,8,A L Stanback Middle,Orange County Schools,Orange County,3700 NC 86 South,Hillsborough,NC,27278,2032,(919)644-3200,41,Rural: Fringe,No,No,Yes,Yes,648,45.63,14.2,294,32
370053000208,NC-130-304,3700530,NC-130,KG,5,A T Allen Elementary,Cabarrus County Schools,Cabarrus County,3939 Abilene Rd,Concord,NC,28025,443,(704)260-6050,41,Rural: Fringe,No,No,Yes,Yes,873,55.92,15.6,435,60
370037203324,NC-13C-000,3700372,NC-13C,KG,8,A.C.E. Academy,A.C.E. Academy,Cabarrus County,7807 Caldwell Road,Harrisburg,NC,28075,,(704)456-7153,22,Suburb: Midsize,Yes,No,Yes,Yes,409,22.54,18.1,199,31
370472003241,NC-920-303,3704720,NC-920,PK,5,Abbotts Creek Elementary,Wake County Schools,Wake County,9900 Durant Road,Raleigh,NC,27614,,(919)694-0555,11,City: Large,No,No,–,–,858,53.37,16.1,172,36
370309001315,NC-630-308,3703090,NC-630,3,5,Aberdeen Elementary,Moore County Schools,Moore County,503 Sandhills Blvd N,Aberdeen,NC,28315,2111,(910)944-1124,32,Town: Distant,No,No,Yes,Yes,297,23.4,12.7,230,15
370309001314,NC-630-304,3703090,NC-630,PK,2,Aberdeen Primary,Moore County Schools,Moore County,310 Keyser St,Aberdeen,NC,28315,3499,(910)944-1523,32,Town: Distant,No,No,Yes,Yes,308,22.4,13.8,238,4
370003002972,NC-010-303,3700030,NC-010,9,13,ABSS Early College at ACC,Alamance-Burlington Schools,Alamance County,PO Box 8000,Graham,NC,27253,,(336)506-4001,41,Rural: Fringe,No,No,Yes,Yes,228,6.9,33,77,22
370192002889,NC-410-545,3701920,NC-410,9,12,Academy at Smith,Guilford County Schools,Guilford County,2225 South Holden Road,Greensboro,NC,27407,,(336)316-5866,11,City: Large,No,Yes,–,–,185,16.43,11.3,123,24
370045903534,NC-43D-000,3700459,NC-43D,–,–,Achievement Charter Academy,Achievement Charter Academy,†,25 Buttonwood Ct,Fuquay Varina,NC,27526,,(919)552-5446,†,N,Yes,†,†,†,†,†,†,†,†
370096000357,NC-240-308,3700960,NC-240,PK,5,Acme Delco Elementary,Columbus County Schools,Columbus County,PO Box 704,Riegelwood,NC,28456,704,(910)655-2957,42,Rural: Distant,No,No,Yes,Yes,318,21.77,14.6,315,0
370096000358,NC-240-304,3700960,NC-240,6,8,Acme Delco Middle,Columbus County Schools,Columbus County,PO Box 40,Delco,NC,28436,40,(910)655-3200,42,Rural: Distant,No,No,Yes,Yes,131,9.6,13.6,128,0
370472001826,NC-920-304,3704720,NC-920,PK,5,Adams Elementary,Wake County Schools,Wake County,805 Cary Towne Blvd,Cary,NC,27511,,(919)460-3431,21,Suburb: Large,No,No,Yes,Yes,652,44,14.8,265,42
370465001993,NC-910-368,3704650,NC-910,6,12,AdVance Academy,Vance County Schools,Vance County,219 Charles Street,Henderson,NC,27536,,(252)438-8407,32,Town: Distant,No,No,Yes,Yes,136,9.66,14.1,133,0
370231003432,NC-490-307,3702310,NC-490,9,13,Agriculture and Science Early College,Iredell-Statesville Schools,Iredell County,158 Raider Rd,Olin,NC,28660,,(704)876-4056,42,Rural: Distant,No,No,Yes,No,153,5.92,25.8,34,9
370216000931,NC-460-308,3702160,NC-460,4,5,Ahoskie Elementary,Hertford County Schools,Hertford County,200 N Talmage St,Ahoskie,NC,27910,2546,(252)332-2588,32,Town: Distant,No,No,Yes,Yes,296,19,15.6,293,0
370046703528,NC-01F-000,3700467,NC-01F,–,–,Alamance Community School,Alamance Community School,†,1024 Mebane Oaks Road,Mebane,NC,27302,,(919)504-1388,†,N,Yes,†,†,†,†,†,†,†,†
370192000814,NC-410-304,3701920,NC-410,PK,5,Alamance Elementary,Guilford County Schools,Guilford County,3600 Williams Dairy Road,Greensboro,NC,27406,9632,(336)697-3177,21,Suburb: Large,No,No,–,–,525,32.1,16.4,166,29
370432000022,NC-840-302,3704320,NC-840,9,12,Albemarle High,Stanly County Schools,Stanly County,311 Park Ridge Road,Albemarle,NC,28001,2818,(704)961-3000,32,Town: Distant,No,No,Yes,Yes,410,29.23,14,246,22
370432000023,NC-840-303,3704320,NC-840,6,8,Albemarle Middle,Stanly County Schools,Stanly County,1811 Badin Road,Albemarle,NC,28001,,(704)961-3400,32,Town: Distant,No,No,Yes,Yes,369,30.75,12,362,0
370297001186,NC-600-300,3702970,NC-600,KG,5,Albemarle Road Elementary,Charlotte-Mecklenburg Schools,Mecklenburg County,7800 Riding Trail Rd,Charlotte,NC,28212,4616,(980)343-6414,11,City: Large,No,No,Yes,Yes,885,62.29,14.2,880,1
370297001187,NC-600-301,3702970,NC-600,6,8,Albemarle Road Middle,Charlotte-Mecklenburg Schools,Mecklenburg County,6900 Democracy Drive,Charlotte,NC,28212,3821,(980)343-6420,11,City: Large,No,Yes,Yes,Yes,1154,68.09,16.9,1144,0
370331000380,NC-250-304,3703310,NC-250,KG,5,Albert H Bangert Elementary,Craven County Schools,Craven County,3712 Canterbury Road,New Bern,NC,28562,4506,(252)514-6415,23,Suburb: Small,No,No,Yes,Yes,440,30.4,14.5,215,14
370001100414,NC-260-364,3700011,NC-260,PK,5,Alderman Road Elementary,Cumberland County Schools,Cumberland County,2860 Alderman Road,Fayetteville,NC,28306,,(910)321-0398,41,Rural: Fringe,No,No,Yes,Yes,700,50,14,697,0
370009000028,NC-020-302,3700090,NC-020,9,12,Alexander Central High,Alexander County Schools,Alexander County,223 School Drive,Taylorsville,NC,28681,2399,(828)632-7063,31,Town: Fringe,No,No,Yes,Yes,1219,86.26,14.1,397,62
370009003396,NC-020-303,3700090,NC-020,9,12,Alexander Early College,Alexander County Schools,Alexander County,700 Liledoun Road,Taylorsville,NC,28681,,(828)632-8221,31,Town: Fringe,No,No,Yes,Yes,195,7.89,24.7,40,12
370297001188,NC-600-399,3702970,NC-600,6,8,Alexander Graham Middle,Charlotte-Mecklenburg Schools,Mecklenburg County,1800 Runnymede Lane,Charlotte,NC,28211,2652,(980)343-5810,11,City: Large,No,No,–,–,1420,77.41,18.3,365,22
370003000001,NC-010-304,3700030,NC-010,PK,5,Alexander Wilson Elementary,Alamance-Burlington Schools,Alamance County,2518 NC 54,Graham,NC,27253,,(336)578-1366,22,Suburb: Midsize,No,No,Yes,Yes,626,38.37,16.3,251,57
370001102981,NC-260-374,3700011,NC-260,9,12,Alger B. Wilkins High School,Cumberland County Schools,Cumberland County,1429 Skibo Road,Fayetteville,NC,28303,,(910)864-5438,12,City: Midsize,No,No,Yes,Yes,139,8.74,15.9,136,0
