NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
173081003429,IL-07-016-1630-02-0701616302008,1730810,IL-07-016-1630-02,KG,3,21st Century Primary Center,Park Forest SD 163,Cook County,240 S Orchard Dr,Park Forest,IL,60466,2045,(708)668-9490,21,Suburb: Large,No,No,Yes,Yes,147,15.81,9.3,124,0
170804006232,IL-50-082-1870-26-5008218701014,1708040,IL-50-082-1870-26,6,8,7th Grade Academy,Cahokia CUSD 187,St. Clair County,1900 Mousette Ln,Cahokia,IL,62206,2922,(618)332-5901,21,Suburb: Large,No,No,Yes,Yes,229,12.2,18.8,219,0
170804006210,IL-50-082-1870-26-5008218701015,1708040,IL-50-082-1870-26,7,8,8th Grade Academy,Cahokia CUSD 187,St. Clair County,1900 Mousette Ln,Cahokia,IL,62206,2922,(618)332-4705,21,Suburb: Large,No,No,Yes,Yes,243,13.6,17.9,228,0
170654000339,IL-07-016-2180-16-0701621800007,1706540,IL-07-016-2180-16,9,12,A B Shepard High Sch (Campus),CHSD 218,Cook County,13049 S Ridgeland Ave,Palos Heights,IL,60463,2625,(708)371-1111,21,Suburb: Large,No,No,Yes,Yes,1753,117.76,14.9,1101,0
170002404632,IL-07-016-8060-60-0701680606001,1700024,IL-07-016-8060-60,–,–,A E R O Educational Center,A E R O Spec Educ Coop,Cook County,7600 Mason Ave,Burbank,IL,60459,1200,(708)496-3330,21,Suburb: Large,No,No,–,–,100,27.6,3.6,45,0
173399003491,IL-06-016-0960-02-0601609602001,1733990,IL-06-016-0960-02,PK,5,A F Ames Elem School,Riverside SD 96,Cook County,86 Southcote Rd,Riverside,IL,60546,1633,(708)447-0759,21,Suburb: Large,No,No,Yes,No,360,27.19,13.2,76,0
170011004814,IL-34-049-1870-26-3404918702008,1700110,IL-34-049-1870-26,4,5,A J Katzenmaier Academy,North Chicago SD 187,Lake County,1829 Kennedy Dr,North Chicago,IL,60064,2335,(847)689-6330,21,Suburb: Large,No,No,–,–,399,23,17.3,394,0
172058002323,IL-56-099-0860-05-5609908602011,1720580,IL-56-099-0860-05,KG,5,A O Marshall Elem School,Joliet PSD 86,Will County,319 Harwood St,Joliet,IL,60432,2716,(815)727-4919,21,Suburb: Large,No,No,Yes,Yes,473,28,16.9,467,0
174007004037,IL-56-099-365U-26-56099365U1003,1740070,IL-56-099-365U-26,6,8,A Vito Martinez Middle School,Valley View CUSD 365U,Will County,590 Belmont Dr,Romeoville,IL,60446,1400,(815)886-6100,21,Suburb: Large,No,No,Yes,Yes,796,54.66,14.6,401,61
170010505359,IL-01-009-2620-26-0100926202001,1700105,IL-01-009-2620-26,PK,4,A-C Central Elementary School,A-C Central CUSD 262,Cass County,191 S Bluff St,Chandlerville,IL,62627,9128,(217)476-3312,43,Rural: Remote,No,No,Yes,No,166,11.37,14.6,68,12
170010505357,IL-01-009-2620-26-0100926200002,1700105,IL-01-009-2620-26,9,12,A-C Central High School,A-C Central CUSD 262,Cass County,PO Box 260,Ashland,IL,62612,260,(217)476-3312,42,Rural: Distant,No,No,Yes,Yes,129,12.22,10.6,29,24
170010500245,IL-01-009-2620-26-0100926201002,1700105,IL-01-009-2620-26,5,8,A-C Central Middle School,A-C Central CUSD 262,Cass County,PO Box 260,Ashland,IL,62612,260,(217)476-3312,42,Rural: Distant,No,No,Yes,No,117,8.91,13.1,37,15
170002406574,IL-07-016-8060-60-0701680606004,1700024,IL-07-016-8060-60,–,–,A.E.R.O-Connect Prog-Satellite,A E R O Spec Educ Coop,Cook County,7600 Mason Ave,Burbank,IL,60459,1200,(708)496-3330,21,Suburb: Large,No,No,–,–,–,7,†,–,–
170002406575,IL-07-016-8060-60-0701680606005,1700024,IL-07-016-8060-60,–,–,A.E.R.O-Functional Acad Learning-,A E R O Spec Educ Coop,Cook County,7600 Mason Ave,Burbank,IL,60459,1200,(708)496-3330,21,Suburb: Large,No,No,–,–,–,5,†,–,–
170002406581,IL-07-016-8060-60-0701680606006,1700024,IL-07-016-8060-60,–,–,A.E.R.O-STAR (Autism)-Satellite,A E R O Spec Educ Coop,Cook County,7600 Mason Ave,Burbank,IL,60459,1200,(708)496-3330,21,Suburb: Large,No,No,–,–,–,9,†,–,–
