NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
550951002818,WI-3549-0800,5509510,WI-3549,KG,12,21st Century eSchool,Middleton-Cross Plains Area School District,Dane County,2429 Clark St,Middleton,WI,53562,2619,(608)829-9027,21,Suburb: Large,Yes,No,–,–,12,1,12,3,0
550004502575,WI-8110-0100,5500045,WI-8110,PK,8,21st Century Preparatory School,21st Century Preparatory School Agency,Racine County,1220 Mound Ave,Racine,WI,53404,,(262)598-0026,13,City: Small,Yes,No,Yes,Yes,543,29,18.7,394,31
550747003029,WI-2835-0150,5507470,WI-2835,PK,PK,4K Center for Literacy,Kimberly Area School District,Outagamie County,614 E Kimberly Ave,Kimberly,WI,54136,1513,(920)423-4190,22,Suburb: Midsize,No,No,–,–,333,8.59,38.8,46,11
550189002987,WI-0777-0150,5501890,WI-0777,PK,PK,4K Community School,Burlington Area School District,Racine County,100 N Kane St,Burlington,WI,53105,1896,(262)763-0210,31,Town: Fringe,No,No,–,–,46,1,46,17,1
551266002889,WI-4753-0150,5512660,WI-4753,PK,PK,4K Community-Based,Reedsburg School District,Sauk County,401 Alexander Ave,Reedsburg,WI,53959,1592,(608)768-8934,32,Town: Distant,No,No,–,–,110,0.5,220,44,6
550891002902,WI-3381-0150,5508910,WI-3381,PK,PK,4K McFarland,McFarland School District,Dane County,6009 Johnson St,McFarland,WI,53558,,(608)838-4602,21,Suburb: Large,No,No,–,–,162,4.5,36,27,4
550852002475,WI-3269-0190,5508520,WI-3269,PK,PK,4K PK Off Site,Madison Metropolitan School District,Dane County,545 W Dayton St,Madison,WI,53703,,(608)204-6561,11,City: Large,No,No,–,–,811,49.5,16.4,364,2
550753002950,WI-2849-0440,5507530,WI-2849,9,12,7 Rivers Community High,La Crosse School District,La Crosse County,Hogan Administrative Center,La Crosse,WI,54601,,(608)789-7700,13,City: Small,Yes,No,Yes,No,31,4.34,7.1,10,4
550003000001,WI-0007-0020,5500030,WI-0007,PK,5,Abbotsford Elementary,Abbotsford School District,Clark County,510 W Hemlock St,Abbotsford,WI,54405,,(715)223-4281,41,Rural: Fringe,No,No,Yes,Yes,369,26.42,14,214,59
550003000002,WI-0007-0040,5500030,WI-0007,6,12,Abbotsford Middle/Senior High,Abbotsford School District,Clark County,307 N 4th Ave,Abbotsford,WI,54405,,(715)223-2386,41,Rural: Fringe,No,No,Yes,Yes,391,27.55,14.2,179,69
