NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
120066004849,FL-22-0056,1200660,FL-22,PK,8,"""PEMAYETV EMAHAKV CHARTER """"OUR WAY SCHOOL""""""",GLADES,Glades County,100 E HARNEY POND RD NE,OKEECHOBEE,FL,34974,2867,(863)467-2501,43,Rural: Remote,Yes,No,–,–,197,26,7.6,3,0
120144008827,FL-48-1471,1201440,FL-48,–,–,113-H-W-4,ORANGE,†,445 W AMELIA ST,ORLANDO,FL,32801,1129,(407)317-3200,†,N,No,†,†,†,†,†,†,†,†
120144008872,FL-48-1015,1201440,FL-48,–,–,132-M-W-4,ORANGE,†,445 W AMELIA ST,ORLANDO,FL,32801,1129,(407)317-3200,†,N,No,†,†,†,†,†,†,†,†
120144008801,FL-48-0932,1201440,FL-48,–,–,80-H-SW-4,ORANGE,†,445 W AMELIA ST,ORLANDO,FL,32801,1129,(407)317-3200,†,N,No,†,†,†,†,†,†,†,†
120144008699,FL-48-0510,1201440,FL-48,–,–,83-E-SE-3,ORANGE,Orange County,445 W AMELIA ST,ORLANDO,FL,32801,1129,(407)317-3200,11,City: Large,No,†,†,†,†,†,†,†,†
120144008686,FL-48-0520,1201440,FL-48,–,–,85-E-W-4,ORANGE,Orange County,445 W AMELIA ST,ORLANDO,FL,32801,1129,(407)317-3200,11,City: Large,No,†,†,†,†,†,†,†,†
120144008845,FL-48-0472,1201440,FL-48,–,–,89-E-W-4,ORANGE,†,445 W AMELIA ST,ORLANDO,FL,32801,1129,(407)317-3200,†,N,No,†,†,†,†,†,†,†,†
120144008786,FL-48-1026,1201440,FL-48,–,–,90-K8-N-7,ORANGE,†,445 W AMELIA ST,ORLANDO,FL,32801,1129,(407)317-3200,†,N,No,†,†,†,†,†,†,†,†
120009000067,FL-03-0491,1200090,FL-03,9,12,A. CRAWFORD MOSLEY HIGH SCHOOL,BAY,Bay County,501 MOSLEY DR,LYNN HAVEN,FL,32444,5609,(850)767-4400,22,Suburb: Midsize,No,No,–,–,1802,83,21.7,519,62
120051000811,FL-17-0501,1200510,FL-17,PK,5,A. K. SUTER ELEMENTARY SCHOOL,ESCAMBIA,Escambia County,501 PICKENS AVE,PENSACOLA,FL,32503,6476,(850)595-6810,13,City: Small,No,No,Yes,No,568,36,15.8,220,19
120003000018,FL-01-0221,1200030,FL-01,6,8,A. L. MEBANE MIDDLE SCHOOL,ALACHUA,Alachua County,16401 NW 140TH ST,ALACHUA,FL,32615,4422,(386)462-1648,31,Town: Fringe,No,No,Yes,Yes,363,17.66,20.6,187,7
