NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
292826001741,MO-100063-3050100063,2928260,MO-100063,5,6,5TH AND 6TH GRADE CTR.,SIKESTON R-6,Scott County,100 TWITTY DR,SIKESTON,MO,63801,3202,(573)471-0792,32,Town: Distant,No,No,Yes,Yes,539,32.97,16.3,311,26
293144003207,MO-085046-3010085046,2931440,MO-085046,6,6,6TH GRADE CENTER,WAYNESVILLE R-VI,Pulaski County,810 Roosevelt Street,Waynesville,MO,65583,2196,(573)842-2300,33,Town: Remote,No,No,Yes,Yes,465,28.28,16.4,139,81
292826001737,MO-100063-2050100063,2928260,MO-100063,7,8,7TH AND 8TH GRADE CTR.,SIKESTON R-6,Scott County,510 LINDENWOOD AVE,SIKESTON,MO,63801,4675,(573)471-1720,32,Town: Distant,No,No,Yes,Yes,513,37.77,13.6,237,22
291365000587,MO-064075-4020064075,2913650,MO-064075,KG,5,A. D. STOWELL ELEM.,HANNIBAL 60,Marion County,500 UNION,HANNIBAL,MO,63401,5111,(573)221-0980,33,Town: Remote,No,No,Yes,Yes,244,22,11.1,144,25
291122000385,MO-067055-4060067055,2911220,MO-067055,3,6,A. J. MARTIN ELEM.,EAST PRAIRIE R-II,Mississippi County,PO BOX 10,EAST PRAIRIE,MO,63845,1899,(573)649-3521,32,Town: Distant,No,No,Yes,Yes,361,25,14.4,222,42
291548003210,MO-048077-6130048077,2915480,MO-048077,2,5,ABRAHAM MALLINSON ELEMENTARY,INDEPENDENCE 30,Jackson County,709 NORTH FOREST AVE,SUGAR CREEK,MO,64054,2319,(816)521-5530,21,Suburb: Large,No,No,Yes,Yes,377,24.5,15.4,287,29
291640001718,MO-048078-5670048078,2916400,MO-048078,PK,8,AC PREP ELEMENTARY,KANSAS CITY 33,Jackson County,6410 SWOPE PARKWAY,KANSAS CITY,MO,64132,1212,(816)418-7704,11,City: Large,No,No,Yes,Yes,423,26.42,16,420,0
292928003215,MO-115115-3250115115,2929280,MO-115115,6,8,ACAD OF ENTRE STDY@LOUVERTURE,ST. LOUIS CITY,St. Louis city,3021 HICKEY ST,ST. LOUIS,MO,63104,,(314)932-1465,11,City: Large,No,No,Yes,Yes,317,25,12.7,314,0
290001703331,MO-048914-1910048914,2900017,MO-048914,6,9,ACADEMIE LAFAYETTE - ARMOUR,ACADEMIE LAFAYETTE,Jackson County,201 E Armour Blvd,KANSAS CITY,MO,64111,1205,(816)800-8771,11,City: Large,Yes,†,†,†,†,†,†,†,†
290001703259,MO-048914-6941048914,2900017,MO-048914,KG,5,ACADEMIE LAFAYETTE-CHERRY,ACADEMIE LAFAYETTE,Jackson County,3421 CHERRY ST,KANSAS CITY,MO,64109,2269,(816)888-7400,11,City: Large,Yes,No,Yes,Yes,338,21.15,16,56,16
290001702753,MO-048914-6940048914,2900017,MO-048914,KG,5,ACADEMIE LAFAYETTE-OAK,ACADEMIE LAFAYETTE,Jackson County,6903 OAK,KANSAS CITY,MO,64113,2530,(816)361-7735,11,City: Large,Yes,No,Yes,Yes,457,31.1,14.7,68,26
290060403209,MO-048927-6995048927,2900604,MO-048927,PK,6,ACADEMY FOR INTEGRATED ARTS,ACADEMY FOR INTEGRATED ARTS,Jackson County,7910 Troost Ave,Kansas City,MO,64131,2824,(816)444-1720,11,City: Large,Yes,No,Yes,Yes,230,13.78,16.7,227,0
292676001588,MO-096119-4029096119,2926760,MO-096119,KG,8,ACKERMAN SCH.,SPECL. SCH. DST. ST. LOUIS CO.,St. Louis County,1550 DERHAKE RD,FLORISSANT,MO,63033,6416,(314)989-7200,21,Suburb: Large,No,No,Yes,Yes,157,36.17,4.3,154,0
292298001314,MO-001090-4020001090,2922980,MO-001090,PK,6,ADAIR CO. ELEM.,ADAIR CO. R-I,Adair County,600 ROMBAUER AVE,NOVINGER,MO,63559,2477,(660)488-6412,42,Rural: Distant,No,No,Yes,Yes,120,6.1,19.7,62,16
290579000124,MO-001092-4020001092,2905790,MO-001092,KG,6,ADAIR CO. ELEM.,ADAIR CO. R-II,Adair County,205 W DEWEY,BRASHEAR,MO,63533,2429,(660)323-5272,42,Rural: Distant,No,No,Yes,Yes,69,10.44,6.6,24,6
290579000125,MO-001092-1050001092,2905790,MO-001092,7,12,ADAIR CO. HIGH,ADAIR CO. R-II,Adair County,205 W DEWEY,BRASHEAR,MO,63533,2429,(660)323-5272,42,Rural: Distant,No,No,Yes,Yes,79,11.56,6.8,20,9
292298001315,MO-001090-1050001090,2922980,MO-001090,7,12,ADAIR CO. HIGH,ADAIR CO. R-I,Adair County,600 ROMBAUER AVE,NOVINGER,MO,63559,2477,(660)488-6411,42,Rural: Distant,No,No,Yes,Yes,99,12.15,8.1,41,17
292928002789,MO-115115-4000115115,2929280,MO-115115,PK,6,ADAMS ELEM.,ST. LOUIS CITY,St. Louis city,1311 TOWER GROVE AVE,ST LOUIS,MO,63110,3837,(314)535-3910,11,City: Large,No,No,Yes,Yes,258,20,12.9,255,0
290738003131,MO-017125-4000017125,2907380,MO-017125,PK,1,ADAMS PRIMARY SCHOOL,CARROLLTON R-VII,Carroll County,306 N JEFFERSON,CARROLLTON,MO,64633,1763,(660)542-2926,33,Town: Remote,No,No,Yes,Yes,161,5.37,30,66,24
290285000001,MO-007123-4020007123,2902850,MO-007123,PK,5,ADRIAN ELEM.,ADRIAN R-III,Bates County,PO BOX 98,ADRIAN,MO,64720,98,(816)297-2158,42,Rural: Distant,No,No,Yes,Yes,341,24.59,13.9,106,40
290285000002,MO-007123-1050007123,2902850,MO-007123,6,12,ADRIAN SR. HIGH,ADRIAN R-III,Bates County,PO BOX 98,ADRIAN,MO,64720,98,(816)297-4460,42,Rural: Distant,No,No,Yes,No,356,31.06,11.5,101,32
290288000003,MO-103129-4020103129,2902880,MO-103129,KG,6,ADVANCE ELEM.,ADVANCE R-IV,Stoddard County,201 SCHOOL STREET,ADVANCE,MO,63730,370,(573)722-3564,42,Rural: Distant,No,No,Yes,Yes,226,18.84,12,98,21
290288000004,MO-103129-1050103129,2902880,MO-103129,7,12,ADVANCE HIGH,ADVANCE R-IV,Stoddard County,201 SCHOOL STREET,ADVANCE,MO,63730,370,(573)722-3584,42,Rural: Distant,No,No,Yes,Yes,205,15.61,13.1,69,31
290288003340,MO-103129-7500103129,2902880,MO-103129,PK,PK,ADVANCE PRESCHOOL,ADVANCE R-IV,Stoddard County,201 SCHOOL STREET,ADVANCE,MO,63730,8317,(573)722-3098,42,Rural: Distant,No,†,†,†,†,†,†,†,†
290291000009,MO-096098-1050096098,2902910,MO-096098,9,12,AFFTON HIGH,AFFTON 101,St. Louis County,8309 MACKENZIE RD,ST LOUIS,MO,63123,3455,(314)638-6330,21,Suburb: Large,No,No,Yes,No,782,49.5,15.8,181,52
290297000010,MO-038046-1050038046,2902970,MO-038046,9,12,ALBANY HIGH,ALBANY R-III,Gentry County,101 W JEFFERSON ST,ALBANY,MO,64402,1237,(660)726-3911,43,Rural: Remote,No,No,Yes,Yes,115,10.08,11.4,50,17
290297001478,MO-038046-3000038046,2902970,MO-038046,6,8,ALBANY MIDDLE,ALBANY R-III,Gentry County,101 W JEFFERSON ST,ALBANY,MO,64402,1237,(660)726-3912,43,Rural: Remote,No,No,Yes,Yes,99,8.36,11.8,48,19
291854001004,MO-024090-4020024090,2918540,MO-024090,KG,5,ALEXANDER DONIPHAN ELEM.,LIBERTY 53,Clay County,1900 CLAY DR,LIBERTY,MO,64068,3244,(816)736-5400,21,Suburb: Large,No,No,–,–,343,33.97,10.1,40,21
292836001749,MO-097130-4020097130,2928360,MO-097130,PK,8,ALEXANDER ELEM.,SLATER,Saline County,515 N ELM,SLATER,MO,65349,1405,(660)529-2278,42,Rural: Distant,No,No,Yes,Yes,234,22.43,10.4,231,0
292355001366,MO-083005-4080083005,2923550,MO-083005,KG,5,ALFRED L. RENNER ELEM.,PARK HILL,Platte County,7401 NW BARRY RD,KANSAS CITY,MO,64153,1725,(816)359-4350,11,City: Large,No,No,Yes,Yes,448,35,12.8,118,41
290003002980,MO-002017-1049002017,2900030,MO-002017,7,12,ALGOA CORRECTIONAL CENTER,DEPARTMENT OF CORRECTIONS,Cole County,8501 No More Victims Rd.,Jefferson City,MO,65101,4567,(573)751-3911,13,City: Small,No,No,†,†,0,–,†,–,–
290002502748,MO-048909-6915048909,2900025,MO-048909,3,5,ALLEN VILLAGE ELEMENTARY,ALLEN VILLAGE,Jackson County,706 W 42nd St,KANSAS CITY,MO,64111,3120,(816)931-0177,11,City: Large,Yes,No,Yes,Yes,127,7.49,17,106,6
290002503233,MO-048909-1980048909,2900025,MO-048909,9,12,ALLEN VILLAGE HIGH SCHOOL,ALLEN VILLAGE,Jackson County,706 W 42nd St,KANSAS CITY,MO,64111,3120,(816)931-0177,11,City: Large,Yes,No,Yes,Yes,179,10.92,16.4,128,22
290002503325,MO-048909-3930048909,2900025,MO-048909,6,8,ALLEN VILLAGE JUNIOR,ALLEN VILLAGE,Jackson County,706 W 42ND ST.,KANSAS CITY,MO,64111,3120,(816)931-0177,11,City: Large,Yes,†,†,†,†,†,†,†,†
290002503327,MO-048909-6905048909,2900025,MO-048909,KG,2,ALLEN VILLAGE PRIMARY,ALLEN VILLAGE,Jackson County,706 W 42ND ST.,KANSAS CITY,MO,64111,3120,(816)931-0177,11,City: Large,Yes,†,†,†,†,†,†,†,†
290712000184,MO-016096-4020016096,2907120,MO-016096,KG,4,ALMA SCHRADER ELEM.,CAPE GIRARDEAU 63,Cape Girardeau County,1360 RANDOL,CAPE GIRARDEAU,MO,63701,2834,(573)335-5310,13,City: Small,No,No,–,–,389,28.79,13.5,386,0
290100003152,MO-010093-4030010093,2901000,MO-010093,PK,5,ALPHA HART LEWIS,COLUMBIA 93,Boone County,5801 ARBOR POINTE PKWY,COLUMBIA,MO,65202,89,(573)214-3200,12,City: Midsize,No,No,Yes,Yes,431,31.56,13.7,428,0
292706002445,MO-011082-6000011082,2927060,MO-011082,KG,12,ALT. RESOURCE CTR.,ST. JOSEPH,Buchanan County,3510 FREDERICK AVE,ST JOSEPH,MO,64506,3407,(816)387-2320,13,City: Small,No,No,†,†,0,–,†,–,–
290304000014,MO-079078-4020079078,2903040,MO-079078,KG,8,ALTENBURG ELEM.,ALTENBURG 48,Perry County,PO BOX 127,ALTENBURG,MO,63732,127,(573)824-5857,42,Rural: Distant,No,No,Yes,No,98,10.9,9,19,7
290000901287,MO-347347-1084347347,2900009,MO-347347,6,12,ALTERNATIVE RESOURCE CTR.,DIVISION OF YOUTH SERVICE,Jackson County,3100 MAIN ST STE 206,KANSAS CITY,MO,64111,,(816)759-4662,11,City: Large,No,No,–,–,4,2,2,†,†
290306000015,MO-075087-4020075087,2903060,MO-075087,KG,6,Alton Elementary,ALTON R-IV,Oregon County,500 School Street,Alton,MO,65606,9677,(417)778-7217,43,Rural: Remote,No,No,Yes,Yes,408,32.86,12.4,237,39
290306000016,MO-075087-1050075087,2903060,MO-075087,7,12,Alton High,ALTON R-IV,Oregon County,505 School Street,Alton,MO,65606,9677,(417)778-7215,43,Rural: Remote,No,No,Yes,Yes,315,27.64,11.4,165,29
292757001688,MO-002097-4010002097,2927570,MO-002097,KG,5,AMAZONIA ELEM.,SAVANNAH R-III,Andrew County,845 6TH ST,AMAZONIA,MO,64421,38,(816)475-2161,42,Rural: Distant,No,No,Yes,Yes,93,10.45,8.9,47,6
292928002570,MO-115115-4250115115,2929280,MO-115115,PK,5,AMES VISUAL/PERF. ARTS,ST. LOUIS CITY,St. Louis city,2900 HADLEY,ST LOUIS,MO,63107,3911,(314)241-7165,11,City: Large,No,Yes,Yes,Yes,311,22.9,13.6,308,0
292061001100,MO-060077-4020060077,2920610,MO-060077,PK,5,ANDERSON ELEM.,MCDONALD CO. R-I,McDonald County,512 CHAPMAN ST,ANDERSON,MO,64831,373,(417)845-3488,42,Rural: Distant,No,No,Yes,Yes,543,42.25,12.9,310,52
292061003007,MO-060077-3000060077,2920610,MO-060077,6,8,ANDERSON MIDDLE,MCDONALD CO. R-I,McDonald County,135 MUSTANG DR,ANDERSON,MO,64831,7317,(417)845-1805,42,Rural: Distant,No,No,Yes,Yes,271,18.5,14.6,149,40
290100000841,MO-010093-3000010093,2901000,MO-010093,6,8,ANN HAWKINS GENTRY MIDDLE,COLUMBIA 93,Boone County,4200 BETHEL ST,COLUMBIA,MO,65203,4412,(573)214-3240,12,City: Midsize,No,No,–,–,925,62.55,14.8,131,53
292280001258,MO-024093-3000024093,2922800,MO-024093,7,8,ANTIOCH MIDDLE,NORTH KANSAS CITY 74,Clay County,2100 NE 65TH ST,GLADSTONE,MO,64118,3734,(816)321-5260,21,Suburb: Large,No,No,–,–,873,58.58,14.9,357,90
291230000497,MO-050012-4010050012,2912300,MO-050012,KG,5,ANTONIA ELEM.,FOX C-6,Jefferson County,3901 HWY M,IMPERIAL,MO,63052,2954,(636)942-2181,41,Rural: Fringe,No,No,–,–,533,36.19,14.7,107,29
