NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
540045001186,WV-2900000-29210,5400450,WV-2900000,PK,4,A. T. ALLISON ELEMENTARY SCHOOL,HANCOCK COUNTY SCHOOLS,Hancock County,600 RAILROAD STREET,CHESTER,WV,26034,,(304)387-1915,31,Town: Fringe,†,No,Yes,Yes,439,32.5,13.5,–,–
540123000977,WV-7400000-74701,5401230,WV-7400000,–,–,ACADEMY OF CAREERS AND TECHNOLOGY,RALEIGH COUNTY SCHOOLS,Raleigh County,390 STANAFORD ROAD,BECKLEY,WV,25801,,(304)256-4615,13,City: Small,†,No,–,–,–,18,†,–,–
540051101471,WV-3400000-34138,5400511,WV-3400000,–,–,ACADEMY PROGRAMS,INSTITUTIONAL EDUCATIONAL PROGRAMS,Marion County,#5 CROSSWIND DRIVE,FAIRMONT,WV,26554,,(304)363-3348,32,Town: Distant,†,No,–,–,†,–,†,–,–
540051000282,WV-3300000-33201,5400510,WV-3300000,PK,5,ADAMSTON ELEMENTARY SCHOOL,HARRISON COUNTY SCHOOLS,Harrison County,1636 W PIKE ST,CLARKSBURG,WV,26301,,(304)326-7070,32,Town: Distant,†,No,Yes,Yes,277,28.08,9.9,–,–
540060000353,WV-3900000-39201,5400600,WV-3900000,PK,5,ALBAN ELEMENTARY SCHOOL,KANAWHA COUNTY SCHOOLS,Kanawha County,2030 HARRISON AVENUE,ST. ALBANS,WV,25177,,(304)722-0234,22,Suburb: Midsize,†,No,–,–,311,20,15.6,–,–
540039000224,WV-2600000-26201,5400390,WV-2600000,PK,5,ALDERSON ELEMENTARY,GREENBRIER COUNTY SCHOOLS,Greenbrier County,RR1 BOX 162F,ALDERSON,WV,24910,,(304)445-7241,32,Town: Distant,†,No,Yes,Yes,235,19.7,11.9,–,–
540018000088,WV-1200000-12203,5400180,WV-1200000,PK,5,ALTIZER ELEMENTARY SCHOOL,CABELL COUNTY SCHOOLS,Cabell County,250 THIRD STREET ALTIZER,HUNTINGTON,WV,25705,,(304)528-5100,13,City: Small,†,No,Yes,Yes,263,19.67,13.4,–,–
540060000354,WV-3900000-39202,5400600,WV-3900000,PK,5,ALUM CREEK ELEMENTARY SCHOOL,KANAWHA COUNTY SCHOOLS,Kanawha County,RT 7 BOX 279A,SO CHARLESTON,WV,25309,,(304)348-1935,22,Suburb: Midsize,†,No,Yes,Yes,179,14.5,12.3,–,–
540081000633,WV-6000000-60203,5400810,WV-6000000,KG,5,ANAWALT ELEMENTARY SCHOOL,MCDOWELL COUNTY SCHOOLS,McDowell County,POST OFFICE BOX 230,ANAWALT,WV,24808,,(304)383-4849,42,Rural: Distant,†,No,–,–,56,4,14,–,–
540060000355,WV-3900000-39402,5400600,WV-3900000,6,8,ANDREW JACKSON MIDDLE SCHOOL,KANAWHA COUNTY SCHOOLS,Kanawha County,5445 BIG TYLER ROAD,CHARLESTON,WV,25313,,(304)776-3310,22,Suburb: Midsize,†,No,–,–,564,37,15.2,–,–
540060000356,WV-3900000-39203,5400600,WV-3900000,PK,5,ANDREWS HEIGHTS ELEMENTARY SCHOOL,KANAWHA COUNTY SCHOOLS,Kanawha County,7776 COAL RIVER ROAD,TORNADO,WV,25202,,(304)722-0232,22,Suburb: Midsize,†,No,–,–,317,18.6,17,–,–
540138001050,WV-8300000-83201,5401380,WV-8300000,PK,4,ANNA JARVIS ELEMENTARY SCHOOL,TAYLOR COUNTY SCHOOLS,Taylor County,650 N. PIKE STREET,GRAFTON,WV,26354,,(304)304-4090,41,Rural: Fringe,†,No,Yes,Yes,611,38.33,15.9,–,–
540060000357,WV-3900000-39204,5400600,WV-3900000,PK,5,ANNE BAILEY ELEMENTARY SCHOOL,KANAWHA COUNTY SCHOOLS,Kanawha County,405 WINFIELD ROAD,ST. ALBANS,WV,25177,,(304)722-0230,22,Suburb: Midsize,†,No,Yes,Yes,267,21,12.7,–,–
540030000167,WV-2000000-20201,5400300,WV-2000000,PK,5,ANSTED ELEMENTARY,FAYETTE COUNTY SCHOOLS,Fayette County,PO BOX 609,ANSTED,WV,25812,,(304)658-5961,41,Rural: Fringe,†,No,Yes,Yes,220,16.1,13.7,–,–
540051100118,WV-3400000-34102,5400511,WV-3400000,–,–,ANTHONY CENTER,INSTITUTIONAL EDUCATIONAL PROGRAMS,Greenbrier County,HC 70 ROUTE 92,WHITE SULPHUR SPRINGS,WV,24986,,(304)536-4151,43,Rural: Remote,†,No,–,–,†,–,†,–,–
540021000139,WV-1400000-14201,5400210,WV-1400000,PK,4,ARNOLDSBURG SCHOOL,CALHOUN COUNTY SCHOOLS,Calhoun County,90 SPRING RUN ROAD,ARNOLDSBURG,WV,25234,,(304)655-8616,42,Rural: Distant,†,No,Yes,Yes,228,16.25,14,–,–
