NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
360010206477,NY-343000010000-343000010300,3600102,NY-343000010000,KG,8,30TH AVENUE SCHOOL (THE) (G & T CITYWIDE),NEW YORK CITY GEOGRAPHIC DISTRICT #30,Queens County,28-37 29TH ST,ASTORIA,NY,11102,,(718)726-0501,11,City: Large,No,No,–,–,512,30.02,17.1,111,16
360007705767,NY-310200010000-310200010347,3600077,NY-310200010000,PK,8,47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE),NEW YORK CITY GEOGRAPHIC DISTRICT # 2,New York County,223 E 23RD ST,NEW YORK,NY,10010,,(914)326-6609,11,City: Large,No,No,Yes,Yes,196,42.01,4.7,133,0
362343003270,NY-051101040000-051101040001,3623430,NY-051101040000,PK,6,A A GATES ELEMENTARY SCHOOL,PORT BYRON CENTRAL SCHOOL DISTRICT,Cayuga County,30 MAPLE AVE,PORT BYRON,NY,13140,9647,(315)776-5728,41,Rural: Fringe,No,No,Yes,Yes,417,33,12.6,161,11
362367003299,NY-512902060000-512902060004,3623670,NY-512902060000,5,8,A A KINGSTON MIDDLE SCHOOL,POTSDAM CENTRAL SCHOOL DISTRICT,St. Lawrence County,29 LEROY ST,POTSDAM,NY,13676,1787,(315)265-2000,33,Town: Remote,No,No,Yes,Yes,390,28.39,13.7,144,8
360558000286,NY-261801060000-261801060005,3605580,NY-261801060000,6,8,A D OLIVER MIDDLE SCHOOL,BROCKPORT CENTRAL SCHOOL DISTRICT,Monroe County,40 ALLEN ST,BROCKPORT,NY,14420,2296,(585)637-1860,31,Town: Fringe,No,No,Yes,Yes,773,71.52,10.8,301,55
360273000048,NY-031701060000-031701060004,3602730,NY-031701060000,PK,8,A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,WINDSOR CENTRAL SCHOOL DISTRICT,Broome County,213 MAIN ST,WINDSOR,NY,13865,4134,(607)655-8247,42,Rural: Distant,No,No,Yes,Yes,591,55.02,10.7,291,34
361656001462,NY-141401060000-141401060008,3616560,NY-141401060000,KG,5,A J SCHMIDT ELEMENTARY SCHOOL,EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),Erie County,9455 LAKE SHORE RD,ANGOLA,NY,14006,9400,(716)926-2351,21,Suburb: Large,No,No,Yes,Yes,288,27,10.7,39,23
362778003761,NY-261001060000-261001060005,3627780,NY-261001060000,6,8,A M COSGROVE MIDDLE SCHOOL,SPENCERPORT CENTRAL SCHOOL DISTRICT,Monroe County,2749 SPENCERPORT RD,SPENCERPORT,NY,14559,1991,(585)349-5302,21,Suburb: Large,No,No,Yes,No,828,72.2,11.5,234,45
362019001853,NY-500108030000-500108030003,3620190,NY-500108030000,7,8,A MACARTHUR BARR MIDDLE SCHOOL,NANUET UNION FREE SCHOOL DISTRICT,Rockland County,143 CHURCH ST,NANUET,NY,10954,3089,(845)627-4044,21,Suburb: Large,No,No,Yes,No,357,20,17.9,72,11
362019006553,NY-500108030000-500108030005,3620190,NY-500108030000,5,6,A MACARTHUR BARR MIDDLE SCHOOL 5-6 ACADEMY FOR EXCELLENCE,NANUET UNION FREE SCHOOL DISTRICT,Rockland County,143 CHURCH ST,NANUET,NY,10954,3089,(845)627-4046,21,Suburb: Large,No,No,Yes,No,371,20.71,17.9,77,14
360008304305,NY-310600010000-310600011540,3600083,NY-310600010000,9,12,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 6,New York County,433 W 135TH ST,NEW YORK,NY,10031,,(212)690-6800,11,City: Large,No,No,Yes,Yes,1525,82.04,18.6,1262,43
360011901913,NY-331400010000-331400011610,3600119,NY-331400010000,9,12,A-TECH HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #14,Kings County,50 BEDFORD AVE,BROOKLYN,NY,11222,3906,(718)218-9301,11,City: Large,No,No,Yes,Yes,334,32.99,10.1,268,8
361716001518,NY-280205030000-280205030002,3617160,NY-280205030000,KG,5,ABBEY LANE SCHOOL,LEVITTOWN UNION FREE SCHOOL DISTRICT,Nassau County,239 GARDINERS AVE,LEVITTOWN,NY,11756,3750,(516)434-7402,21,Suburb: Large,No,No,Yes,No,635,49,13,71,32
361563001352,NY-061700010000-061700010011,3615630,NY-061700010000,PK,4,ABRAHAM LINCOLN ELEMENTARY SCHOOL,JAMESTOWN CITY SCHOOL DISTRICT,Chautauqua County,301 FRONT ST,JAMESTOWN,NY,14701,6286,(716)483-4412,32,Town: Distant,No,No,Yes,Yes,384,30.5,12.6,184,0
360015201906,NY-332100010000-332100011410,3600152,NY-332100010000,9,12,ABRAHAM LINCOLN HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #21,Kings County,2800 OCEAN PKWY,BROOKLYN,NY,11235,7962,(718)333-7400,11,City: Large,No,No,Yes,Yes,1914,121.03,15.8,1411,44
360231000002,NY-630918080000-630918080001,3602310,NY-630918080000,KG,6,ABRAHAM WING SCHOOL,GLENS FALLS COMMON SCHOOL DISTRICT,Warren County,120 LAWRENCE ST,GLENS FALLS,NY,12801,3758,(518)792-3231,13,City: Small,No,No,Yes,Yes,163,15.74,10.4,112,8
360798000568,NY-010500010000-010500010005,3607980,NY-010500010000,KG,5,ABRAM LANSING SCHOOL,COHOES CITY SCHOOL DISTRICT,Albany County,26 JAMES ST,COHOES,NY,12047,3299,(518)237-5044,21,Suburb: Large,No,No,Yes,Yes,384,30.01,12.8,221,6
360009505916,NY-331700010000-331700011382,3600095,NY-331700010000,6,12,ACAD FOR COLLEGE PREP AND CAREER EXP,NEW YORK CITY GEOGRAPHIC DISTRICT #17,Kings County,911 FLATBUSH AVE,BROOKLYN,NY,11226,,(718)564-2566,11,City: Large,No,No,Yes,Yes,359,22.01,16.3,292,7
360008805810,NY-321100010000-321100011270,3600088,NY-321100010000,9,12,ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,NEW YORK CITY GEOGRAPHIC DISTRICT #11,Bronx County,921 E 228TH ST,BRONX,NY,10466,,(718)696-3840,11,City: Large,No,No,Yes,Yes,363,27.83,13,261,7
360100106154,NY-320700860957-320700860957,3601001,NY-320700860957,KG,8,ACADEMIC LEADERSHIP CHARTER SCHOOL,ACADEMIC LEADERSHIP CHARTER SCHOOL,Bronx County,677 E 141ST ST,BRONX,NY,10454,,(718)585-4215,11,City: Large,Yes,No,Yes,Yes,523,20,26.2,464,22
360099706131,NY-280201860934-280201860934,3600997,NY-280201860934,PK,12,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Nassau County,117 N FRANKLIN AVE,HEMPSTEAD,NY,11550,1314,(516)408-2200,21,Suburb: Large,Yes,No,Yes,Yes,1356,95,14.3,945,211
360116906639,NY-280202861142-280202861142,3601169,NY-280202861142,KG,3,ACADEMY CHARTER SCHOOL-UNIONDALE,ACADEMY CHARTER SCHOOL-UNIONDALE,Nassau County,100 CHARLES LINDBERGH BLVD,UNIONDALE,NY,11553,,(516)408-2200,21,Suburb: Large,Yes,No,Yes,Yes,180,12,15,129,13
